p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
31,1232.1121331749,1312.83686045084,1746.37776411484,2154.63174953373,2454.56188278613,2674.64374945603,2832.52913912303,2940.25865718706,2956.63261925216,2971.45076541227,2984.78578286166,2996.71125997107,3007.30162937192,3016.63190802156,3024.77722971113,3031.81234099531,3037.81096469189,3042.84519893358,3046.98495192721,3050.29745266175,3052.84685749588,3054.69396074284,3055.89595570518,3056.50654463051,3056.57563289631,3056.1495765043,3055.27124497079,3053.98016942094,3042.50664884941,3025.05397204265,3003.92518485124,2980.60620124173,2956.07018834862,2930.96589541315,2905.73244182103,2880.66984811775,2855.98376138962,2831.8140888837,2808.25419937551,2785.3640561318,2763.17918200737,2741.71751806875,2720.98397926316,2700.97402957063,2681.67637041976,2663.07465010552,2645.14936664691,2627.87870338374,2611.23945781978,2595.20768386743,2579.75917358275,2564.86981678455,2550.51585930248,2536.67410015033,2523.32202049636
32,1234.46664579157,1315.15519095906,1746.39466920608,2154.67496304925,2454.7614611888,2675.15622200202,2833.4892361182,2941.74022776871,2958.21934138079,2973.14086188843,2986.57657781818,2998.59922399007,3009.28245459782,3018.7006067074,3026.92826061436,3034.03973456307,3040.1084590641,3045.20636961629,3049.40333104656,3052.76663361166,3055.36058617172,3057.24619539423,3058.48092886499,3059.11879913097,3059.21004358761,3058.80136282137,3057.93597365402,3056.65375001776,3045.17425744917,3027.6563110881,3006.42766870671,2982.99030476983,2958.32757829075,2933.09466805347,2907.73470770296,2882.55017451839,2857.74815054508,2833.4692997069,2809.80729691926,2786.82211409544,2764.54909060974,2743.00586382492,2722.19697545279,2702.11748151191,2682.75566436198,2664.09475656804,2646.11485636286,2628.7937676381,2612.10793271201,2596.0330761742,2580.54468762155,2565.61837572646,2551.2301357152,2537.35653441523,2523.97484303021
33,1236.75604890691,1317.41605948869,1746.41190216901,2154.71623858746,2454.95223359822,2675.64699989626,2834.41066906439,2943.16546214206,2959.74646784597,2974.7682674609,2988.30177479935,3000.41888955921,3011.19249990698,3020.69627183235,3029.00422856416,3036.1902579464,3042.32749018976,3047.48768732204,3051.74065807722,3055.15374025742,3057.79137411437,3059.71472225346,3060.98166971278,3061.64637641492,3061.75943713986,3061.36789347111,3060.51529998748,3059.24186478879,3047.75708350473,3030.17573575596,3008.84983886643,2985.29713768926,2960.51098944738,2935.15284520371,2909.66982978431,2884.36674177258,2859.4520758749,2835.06722169656,2811.306140205,2788.22880007341,2765.87035146102,2744.24812688407,2723.36629704208,2703.21951439396,2683.79564841423,2665.07752313908,2647.04484475178,2629.67504610688,2612.94422167087,2596.82777472135,2581.30089809062,2566.33893145835,2551.91762223103,2538.01331256211,2524.60306966692
34,1238.98401394313,1319.62241915105,1746.42947063031,2154.7557190554,2455.13494049826,2676.11759885062,2835.2960481678,2944.53802631827,2961.2178484206,2976.33700288733,2989.96555192312,3002.1745780945,3013.03621590667,3022.6234610205,3031.00979866428,3038.2686651592,3044.47288921707,3049.69404945902,3054.00188672293,3057.46377300361,3060.14427068279,3062.10473519655,3063.40329630435,3064.09440041101,3064.22895149095,3063.85431541276,3063.01437543035,3061.74966559406,3050.2602313962,3032.61724395187,3011.19654980933,2987.53138818957,2962.62489299352,2937.14479487978,2911.54189897767,2886.12349488755,2861.09929782745,2836.61143585776,2812.75413712605,2789.58735599783,2767.14604819014,2745.44724047034,2724.49473476643,2704.28278452374,2684.79885213754,2666.02536011851,2647.9416300268,2630.5247305473,2613.75041734107,2597.59377932927,2582.02972074519,2567.03331734048,2552.58007601624,2538.64612032958,2525.20831917143
35,1241.15390550982,1321.77699725715,1746.44738138233,2154.79353306057,2455.30993954136,2676.56938892095,2836.14773920061,2945.8612518095,2962.63698331629,2977.85072552544,2991.57171132507,3003.87022370362,3014.81765577866,3024.48634556166,3032.9492246864,3040.27929263607,3046.54906446256,3051.82992615642,3056.19153969876,3059.70130021648,3062.42387893708,3064.42081053732,3065.75045607385,3066.46754688251,3066.62327547131,3066.26532594046,3065.43790156955,3064.18185452962,3052.68836011593,3034.98539715324,3013.4722314377,2989.6972993265,2964.67347667654,2939.0744284365,2913.35476663569,2887.82402906095,2862.69324234359,2838.10520363392,2814.15439050235,2790.9007326874,2768.37898669803,2746.60587291487,2725.58482675829,2705.30970689355,2685.76757469865,2666.94045773569,2648.80730007871,2631.34481398558,2614.52842293946,2598.33290896448,2582.73289456912,2567.70319811148,2553.21909214465,2539.25648739178,2525.79205978386
36,1243.26881393145,1323.88231787874,1746.46564048631,2154.82979670053,2455.47785540696,2677.00361213362,2836.96789247944,2947.13817452205,2964.00706368787,2979.31277130783,2993.12372245668,3005.50941765415,3016.54052079647,3026.28871931228,3034.82639343837,3042.22610370437,3048.56004577353,3053.89940486323,3058.31375381279,3061.87049914179,3064.63440966028,3066.66718749856,3068.02741794364,3068.77008646808,3068.94669954505,3068.60522347174,3067.79018091758,3066.54273470472,3055.0457335371,3037.28436969322,3015.68093707291,2991.79885166397,2966.66046316392,2940.94536473497,2915.11183497922,2889.47162959927,2864.23703911654,2839.5515035452,2815.50973314648,2792.17162340343,2769.57172726152,2747.72645821223,2726.63888760418,2706.30248369426,2686.70391232089,2667.8248126311,2649.64375808146,2632.13711154901,2615.2799713467,2599.04681943082,2583.41200314108,2568.35008966545,2553.83612306558,2539.84580670588,2526.3556286496
37,1245.33158794847,1325.94072166069,1746.48427990615,2154.86461508635,2455.63915696038,2677.42139740707,2837.75846772434,2948.37156819989,2965.33100647819,2980.72619086038,2994.62475935682,3007.09544669005,3018.20819956759,3028.03406203948,3036.64486550196,3044.11272991689,3050.50952661894,3055.90623220346,3060.37232092017,3063.97520006747,3066.77972495765,3068.84775412083,3070.23808633363,3071.00595533883,3071.20315958928,3070.87795136875,3070.07516074484,3068.83625405458,3057.33626379012,3039.51799128449,3017.82638486336,2993.83960038227,2968.58930102125,2942.76089802703,2916.81625363801,2891.06930631837,2865.73355455097,2840.95306273727,2816.82275804027,2793.40249266916,2770.72661205652,2748.81122255965,2727.65903381042,2707.26312792195,2687.60978065783,2668.68024900655,2650.45274242164,2632.90328116538,2616.00664509458,2599.73702262841,2584.06849219772,2568.97537062196,2554.43248837353,2540.41534237041,2526.90023764434
38,1247.34484897872,1327.95438327616,1746.50325284447,2154.8980836449,2455.79427056478,2677.82381460742,2838.52125547031,2949.56397330526,2966.6114845187,2982.09378072087,2996.07773288058,3008.63132616071,3019.82380196192,3029.72556826365,3038.40791048382,3045.94250692615,3052.4009000471,3057.85385080007,3062.37072595695,3066.01892361591,3068.863375113,3070.96608488557,3072.38605497624,3073.17876188054,3073.39627104243,3073.08713590854,3072.29647105981,3071.06604330618,3059.56354884962,3041.68978386595,3019.91199365997,2995.82284458922,2970.46315988,2944.52406347495,2918.47093631993,2892.61981595687,2867.18542028,2842.31238426445,2818.09584441937,2794.59560125543,2771.84578906478,2749.86220697845,2728.64720533858,2708.19348428907,2688.486934835,2669.50843785727,2651.23584518131,2633.64483949242,2616.70989119442,2600.4049002642,2584.70368220382,2569.58031939053,2555.00941537488,2540.96627418069,2527.42702241929
39,1249.31102942277,1329.9253268519,1746.52258879886,2154.93028923744,2455.94358492246,2678.21172502385,2839.2578951522,2950.71772205965,2967.85095264135,2983.41811042676,2997.48531866981,3010.11982878329,3021.39018857858,3031.36617734513,3040.11853103371,3047.71850546743,3054.23729036954,3059.74543118993,3064.31217893616,3068.00491311102,3070.88863115389,3073.02547343797,3074.47463552982,3075.29182746925,3075.52936956743,3075.23611931466,3074.45745765029,3073.23544900716,3061.73090523719,3043.80299365709,3021.94091422234,2997.75162410947,2972.28495960784,2946.23765639863,2920.07854462347,2894.12572054104,2868.59505146543,2843.63177079643,2819.3311804439,2795.75302779307,2772.93123269367,2750.88128710585,2729.60518453196,2709.09524724817,2689.33698667386,2670.31091291,2651.99452720008,2634.36318343675,2617.39104362071,2601.05172758997,2585.31879364854,2570.16609001826,2555.56800773387,2541.49965836499,2527.93699449132
40,1251.23238139989,1331.85543964079,1746.54229163307,2154.96131112408,2456.08745525779,2678.58602814957,2839.96989316575,2951.8349591981,2969.05166908829,2984.70154610893,2998.84998152453,3011.56350971167,3022.9099964355,3032.95859972513,3041.77951594554,3049.44355857028,3056.02158063504,3061.58389960644,3066.19964298758,3069.93616283208,3072.85851328096,3075.02896115688,3076.50688625695,3077.34822336411,3077.60554751437,3077.32798530238,3076.56121093672,3075.34756236881,3063.84139657722,3045.86061914917,3023.91605646608,2999.6287458755,2974.05739577207,2947.90425705409,2921.64153995231,2895.58935488301,2869.9646961355,2844.91333860937,2820.53078293209,2796.87668764535,2773.98476180684,2751.87019039618,2730.53461242667,2709.96997651837,2690.16141945908,2671.08908729519,2652.73013482526,2635.05959250542,2618.05132244003,2601.67866892164,2585.91493854116,2570.73375054415,2556.1092883023,2542.01647544904,2528.43109471974
