p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
42,498.129763860227,544.062232023761,521.343140845769,485.051952975661,458.102137126435,437.682863494893,422.038552157914,410.03873208081,408.004420877899,406.079495667249,404.259045833954,402.538297343117,400.912582036967,399.377317642131,397.927999149464,396.560202941266,395.269580875812,394.051895909348,392.903023145415,391.818970875703,390.795896542844,389.830119493169,388.918134551498,388.056614782325,387.242417662401,386.47258488727,385.744343216545,385.055086892753,382.114190058537,379.8466565713,378.078666385418,376.687937314983,375.586816675811,374.711107556636,374.012846244836,373.455564895185,373.011138377824,372.657612994168,372.377683173357,372.157595210836,371.986344244271,371.855069677253,371.756601813181,371.685111866588,371.635841591671,371.604891044748,371.589053921506,371.585684858666,371.592595084752,371.607968697339,371.630295399288,371.65831622958,371.690979604472,371.727405576154,371.766856668631
43,497.76077579149,543.741315539065,521.339444348486,485.050565493584,458.096454785111,437.668628650928,422.012145110441,409.997866395855,407.960567005797,406.032673013461,404.20929892699,402.485696234099,400.857221663834,399.319316335131,397.867496232104,396.497355700967,395.204560725298,393.984884789501,392.834209574419,391.748546281327,390.724051946208,389.757042654524,388.844007589587,387.981612354763,387.166705599429,386.396319271242,385.667669905581,384.978141083608,382.037553281156,379.772297938052,378.007706267518,376.620939295905,375.523994682523,374.652460838867,373.95824560993,373.404807603606,372.963983432091,372.613803706369,372.336961357929,372.119709995002,371.951057732868,371.822159389641,371.725862049752,371.656353918376,371.608893291393,371.579595948477,371.565270238923,371.563284311544,371.571461738564,371.587997821677,371.611392386314,371.640395586845,371.673964029188,371.711225112583,371.751447946482
44,497.399364802694,543.426403712255,521.335672719161,485.049218675771,458.090951673602,437.654847302041,421.986544008026,409.958184886765,407.917969313481,405.987175724183,404.160943156911,402.434548054325,400.803371608334,399.262878020278,397.808604087307,396.436162063505,395.141232113158,393.919598395876,392.767149387077,391.679899463166,390.654005547286,389.68578076969,388.771708976787,387.908448605152,387.092839755014,386.321904885001,385.592850543966,384.903049869122,381.962749487395,379.699721606561,377.93846029745,376.555577257648,375.462725463915,374.595282031408,373.905028672382,373.355352010951,372.918051243859,372.571142422262,372.297316887475,372.082836021528,371.91672064832,371.79014102395,371.695960848805,371.628385109532,371.582688409331,371.555002004885,371.542148651308,371.541509766633,371.550921033385,371.568588736248,371.593022616119,371.622981750163,371.657430756149,371.69550421687,371.73647767748
45,497.04521210541,543.117260027274,521.331825943979,485.047910201306,458.085631289506,437.641495409143,421.961707453498,409.919628815105,407.876565940291,405.942939016751,404.113911004356,402.384782775985,400.750959563567,399.207928343263,397.751246541726,396.376540598542,395.079515878616,393.855956374786,392.701761218424,391.612948211785,390.58567444457,389.616250383686,388.701154830333,387.837039336838,387.020735721763,386.249257203687,385.519800573877,384.829728735009,381.889695298099,379.628846413017,377.870850183119,376.491776165308,375.402937446112,374.53950310236,373.853130937426,373.307137024061,372.87328460913,372.529574628864,372.258698304675,372.046924859032,371.88328730654,371.758971475365,371.666857519781,371.601167004073,371.557190611283,371.531074836671,371.519656601891,371.520330359882,371.53094367871,371.549713613435,371.575159621333,371.606049517561,371.64135576112,371.680219961671,371.721923956623
46,496.698018982367,542.813661968127,521.327904021832,485.04663792578,458.080477543928,437.628550695584,421.937597012444,409.882143541825,407.836299326199,405.899902576411,404.068139592127,402.336335200415,400.699918151539,399.154397998995,397.695352576975,396.318426022789,395.019338186941,393.793883765878,392.637969153287,391.547615814189,390.518981270643,389.548373605137,388.63226685332,387.767305954642,386.950314703287,386.178297317599,385.448437603026,384.758098776046,381.818312838595,379.559596579808,377.804802837135,376.42946598358,375.344563838043,374.48506058127,373.802492226772,373.260105917415,372.829629486082,372.489050015303,372.221058328566,372.01193122764,371.850714957007,371.728610361994,371.638514182366,371.574663827602,371.532366085348,371.507782458527,371.497763803978,371.49971738354,371.511502434184,371.531346576633,371.557778793146,371.589575459269,371.62571671147,371.665351035969,371.7077664249
47,496.357505120861,542.515399937942,521.323906963316,485.045399864349,458.07548174073,437.615992483552,421.914176943294,409.845678160376,407.797115821243,405.85801016722,404.023570275091,402.289144385864,400.650184490216,399.102222289239,397.640855879016,396.26174701763,394.960630065582,393.733310533127,392.575702253009,391.483830576994,390.453853712585,389.482077624599,388.564971851385,387.699174980418,386.881503029239,386.108951447033,385.378694648935,384.688086211778,381.748529367577,379.491901250427,377.740249926653,376.368581244273,375.287542216769,374.43189515492,373.753056404212,373.214205432266,372.787035700679,372.449520956718,372.184351933966,371.97781343786,371.818964416122,371.699020864179,371.610895370277,371.548842063149,371.508183129542,371.485094856301,371.47644181219,371.479643849677,371.492571665876,371.513463249998,371.540856925089,371.573537456281,371.610492813657,371.650877599182,371.693986129596
48,496.023407116652,542.222276256306,521.319834789866,485.044194176812,458.070635808256,437.603801548652,421.891409647864,409.810185169719,407.758965346429,405.817209277913,403.980148273967,402.243153506694,400.601699851039,399.051340727396,397.587694435455,396.206440227409,394.903326989544,393.674171145593,392.514894132317,391.421525400132,390.390224083121,389.417294283692,388.499201300452,387.632577619874,386.814231721528,386.04115050836,385.310499210682,384.619621953236,381.680276681366,379.425694073454,377.677127471024,376.309060659126,375.23181415652,374.379951343198,373.704768823518,373.169385868444,372.745456332953,372.41094320043,372.148537407997,371.944531881413,371.78799826253,371.67016760138,371.583968471362,371.523670997116,371.484612800864,371.462984736419,371.455664867122,371.460085425075,371.47412836564,371.496041856384,371.524373383636,371.557915937878,371.595664534724,371.636780992297,371.680565223857
49,495.695477127769,541.93410427201,521.315687532953,485.04301915432,458.065932242662,437.591959990454,421.869272603305,409.775620182606,407.721801088989,405.777450805165,403.937822347674,402.198309350214,400.554409127202,399.001696684545,397.535810174891,396.152446310029,394.847368509959,393.616404201695,392.455482580116,391.360637394789,390.328028936219,389.353959688936,388.434890959197,387.56744937412,386.74843610543,385.974829724983,385.243786476718,384.552641214598,381.613490844227,379.36091277134,377.615375481003,376.250846772696,375.177324895536,374.329177129965,373.657584279486,373.125600674096,372.70484744487,372.373275314747,372.113575703915,371.912049767366,371.757781828898,371.642017897846,371.557702382383,371.499121218707,371.461627261845,371.441425721941,371.435407946964,371.441018340269,371.456149924874,371.479060863375,371.508307634471,371.542691295752,371.581214095901,371.623044307022,371.667487614459
50,495.373481660449,541.65070754281,521.311465233353,485.041873207532,458.061364057448,437.580451119304,421.847732587508,409.741941664116,407.685579229088,405.738688769471,403.896544499394,402.154562057513,400.508260815634,398.95323707173,397.485148643094,396.099709607826,394.792697920396,393.559952091776,392.397409218787,391.301107540039,390.267208721703,389.292013864718,388.371980520858,387.503729690668,386.684055460103,385.909928277678,385.178495592823,384.487079767098,381.548111828085,379.297499054132,377.554937634478,376.193885650452,375.124023039912,374.279523718434,373.611454555121,373.082806187494,372.665167835559,372.336478457364,372.079430222622,371.880332617191,371.728282631703,371.614541139874,371.532068236185,371.475165487593,371.439200785523,371.420393492209,371.415648038384,371.422420810145,371.43861570206,371.462500694691,371.492641094131,371.527845872573,371.567124361733,371.609651165509,371.654737626411
51,495.057200471944,541.371919108676,521.307167940548,485.040754856086,458.0569247384,437.569259341917,421.82676247146,409.709110696785,407.650258694322,405.700880059849,403.856269712293,402.111864851125,400.463206531554,398.905912093941,397.435658711572,396.048177851376,394.739261956556,393.504760694273,392.340619197533,391.242880373811,390.207707474226,389.2314004408,388.310413299618,387.441361649087,386.621032703747,385.846388989648,385.114569347041,384.422887153128,381.484083189771,379.235397915318,377.495760984503,376.138126598195,375.071860289939,374.230945261539,373.566336249036,373.040961404681,372.626378820847,372.300516166611,372.046066615276,371.849348077912,371.699470194434,371.587708608396,371.50703895704,371.451778263821,371.417309262717,371.399865269701,371.396363600709,371.40427242918,371.421506343271,371.446342970512,371.477356285255,371.513363027248,371.553379476127,371.596586443984,371.642300817787
