p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
11,1.25497575253802,1.31027291357028,1.27249766924763,1.24273381697632,1.2236717821243,1.21081716358848,1.20194770733706,1.19581291839153,1.19483865531545,1.19393569004144,1.1930990991272,1.19232423079894,1.19160669513715,1.19094236233743,1.19032735845923,1.18975806147972,1.1892310960572,1.18874332657818,1.18829184843028,1.18787397768977,1.18748723953533,1.18712935588081,1.18679823235055,1.18649194528663,1.18620872699976,1.18594696027088,1.18570515623216,1.18548194955914,1.18460435861841,1.18404063677432,1.18370705765334,1.18354577674584,1.18351559546757,1.18358634955183,1.18373540849295,1.18394546309876,1.18420303986294,1.18449751831683,1.1848204372792,1.18516500087951,1.18552571700545,1.18589812842164,1.18627860580588,1.18666418915925,1.1870524653095,1.18744146511463,1.18782958659537,1.1882155300737,1.18859824588746,1.18897689274969,1.18935079769388,1.18971943446158,1.19008239423638,1.19043936694921,1.1907901245937
12,1.25401801239087,1.30934511117594,1.27249590797828,1.24272443599945,1.2236360165254,1.21073918532136,1.20182005977929,1.19563674153679,1.19465366816953,1.19374233624368,1.1928978578022,1.19211561668162,1.19139124510518,1.1907206250168,1.1900998846786,1.1895253959262,1.18899377032552,1.18850185366763,1.18804671863562,1.18762565575345,1.18723616293964,1.18687593394897,1.18654284620298,1.18623494828676,1.18595044558353,1.18568769523703,1.18544518397897,1.1852215235778,1.18434476897428,1.18378560817716,1.18345889186894,1.18330585071607,1.18328467998549,1.18336481393783,1.18352334589202,1.18374278467216,1.18400953018468,1.18431287800505,1.184644312853,1.18499700642051,1.18536544996655,1.18574518120937,1.18613257410151,1.18652467849023,1.18691909273397,1.1873138656592,1.18770741243378,1.18809845204906,1.18848595381042,1.18886909387177,1.1892472218943,1.18961982507181,1.18998651298928,1.19034699164907,1.19070104819502
13,1.25312826659609,1.30846884567749,1.27249414506955,1.24271612765549,1.22360424029921,1.21066948008199,1.20170523662222,1.19547730130339,1.1944860651032,1.19356695333182,1.19271513079759,1.19192600498554,1.19119523527075,1.1905187176434,1.18989258534151,1.18931320711463,1.18877718461217,1.18828134819889,1.18782275092214,1.18739866068012,1.18700655080371,1.1866440894355,1.18630912806364,1.18599968795742,1.18571395435546,1.18545025554662,1.1852070570247,1.1849829490228,1.18410689319438,1.18355195244787,1.18323162573272,1.18308626875543,1.18307349890024,1.18316236746609,1.18332972001381,1.1835578823232,1.18383313095153,1.18414469829883,1.18448401379979,1.18484422019339,1.185219794607,1.18560627141321,1.18600002890651,1.18639812673035,1.18679817673277,1.1871982437179,1.18759676018263,1.18799246317576,1.18838434022068,1.18877158568209,1.18915356609091,1.1895297860005,1.18989987082006,1.1902635460019,1.1906206048506
14,1.25229704306674,1.3076386594867,1.27249236808252,1.2427087045943,1.22357575480509,1.21060664780151,1.20160114177085,1.19533194595143,1.19433310504871,1.19340673073237,1.19254802770147,1.19175244502868,1.19101565916722,1.19033358461985,1.18970236184613,1.18911835904245,1.18857817061527,1.18807861419997,1.18761672584764,1.1871897533293,1.18679514775636,1.18643055382978,1.18609379909677,1.18578288092831,1.18549596124534,1.18523134577249,1.18498747849545,1.18476292931405,1.18388745742913,1.18333644262022,1.18302210142807,1.1828839472699,1.18287905088421,1.18297610140512,1.18315170094116,1.18338801119773,1.18367120859023,1.18399043069639,1.18433708076524,1.18470427004071,1.18508646364372,1.18547919402615,1.18587884469396,1.18628248550848,1.18668774187708,1.18709269436986,1.18749579239463,1.18789579047945,1.18829169466263,1.18868271476071,1.18906823482157,1.18944777525276,1.1898209766543,1.19018757441054,1.19054738325058
15,1.251516755147,1.30684989090637,1.27249056558083,1.24270201563506,1.22355001420259,1.21054960299594,1.20150613578672,1.1951985924532,1.19419263585398,1.19325944949476,1.19239428069506,1.19159261007329,1.19085014733791,1.1901628165003,1.18952676970972,1.18893837672763,1.18839422698958,1.1878911277214,1.18742610025643,1.18699637443288,1.18659938120144,1.18623274373242,1.18589426738606,1.18558192723577,1.1852938633282,1.18502836013389,1.18478384131036,1.18455885748579,1.1836838725228,1.18313653151056,1.18282781984754,1.1826964491828,1.18269896678323,1.18280371584408,1.18298706732145,1.18323102783704,1.18352167040233,1.18384807368441,1.18420157794067,1.18457528993439,1.18496365890754,1.18536221659673,1.18576735243378,1.18617614681817,1.1865862387291,1.18699572451723,1.18740306967006,1.18780704583722,1.18820667495319,1.18860118511599,1.1889899743176,1.1893725817217,1.18974865868972,1.19011795533713,1.19048029903121
16,1.25078122529743,1.30609851225994,1.27248872932492,1.24269594710038,1.22352661223436,1.21049748871191,1.20141891948213,1.19507557893953,1.1940629369362,1.19312333676976,1.19225206734211,1.19144464314221,1.1906967976962,1.19000448074576,1.18936384742268,1.18877127341989,1.18822334514896,1.18771686143419,1.18724883088699,1.18681646733727,1.18641718339428,1.18604858239079,1.18570844905772,1.18539473759449,1.18510556745882,1.18483920303477,1.18459404870306,1.1843686367675,1.18349405589728,1.18295016642612,1.18264677253788,1.18252181469644,1.18253134275529,1.18264336444152,1.18283403177545,1.18308520412662,1.18338285695933,1.18371600596642,1.1840759610702,1.18445579466385,1.18484994216321,1.18525395422784,1.18566421870045,1.1860778266866,1.1864924307391,1.18690614225255,1.18731744324083,1.18772512158539,1.18812821551005,1.1885259689788,1.18891779522882,1.18930324796031,1.18968199213654,1.19005379074725,1.19041848313764
17,1.2500853592449,1.30538104859554,1.2724868526673,1.24269040332222,1.22350520580326,1.21044961773433,1.20133844339899,1.19496155673187,1.19394260953295,1.19299695291673,1.19211990873511,1.19130702769181,1.1905540698827,1.18985700183367,1.18921199771686,1.18861543069472,1.18806388835096,1.18755416286191,1.18708325187262,1.18664835490929,1.18624686785814,1.18587637572528,1.18553464400583,1.18521960730095,1.18492936563271,1.18466216434708,1.18441638949244,1.18419055589942,1.18331630777165,1.18277567347457,1.18247732081053,1.18235844943686,1.18237462668972,1.18249354271009,1.18269113874551,1.18294913394281,1.18325341140817,1.18359292769607,1.18395895700474,1.18434455265892,1.1847441457871,1.18515328319532,1.18556836192014,1.18598648409896,1.18640531573252,1.18682298325466,1.18723798439834,1.18764912297863,1.18805545295519,1.18845623356129,1.18885089265843,1.18923899670553,1.18962022708682,1.1899943556086,1.19036123414386
18,1.24942490423709,1.30469448039911,1.2724849304277,1.24268531309675,1.22348552042064,1.21040543137076,1.20126384965258,1.19485542082881,1.19383051219317,1.19287911555544,1.19199658747574,1.19117851662711,1.19042068793484,1.18971908772665,1.18906990067529,1.1884695131476,1.18791450565394,1.18740166770635,1.18692798753842,1.18649065189196,1.18608704137906,1.18571472403649,1.18537144737828,1.18505512755808,1.18476384620392,1.18449583057112,1.1842494492298,1.18402320030733,1.18314922297404,1.18261166905434,1.18231811053889,1.18220503237441,1.18222753689347,1.18235300883245,1.18255718737465,1.18282165779471,1.18313221551953,1.18347776141227,1.18384953646061,1.18424057237138,1.18464530937911,1.18505927964864,1.18547889355227,1.18590126431478,1.18632407133067,1.18674545582031,1.18716393086521,1.18757831575605,1.18798767967182,1.18839129656223,1.18878860834266,1.18917919476624,1.18956274973275,1.18993905664322,1.19030797824742
19,1.24879626306456,1.30403617028031,1.27248295835398,1.24268061638991,1.2234673396529,1.21036446990066,1.20119442868531,1.19475624706091,1.19372568542138,1.19276883228909,1.19188109145632,1.1910580727653,1.19029559235359,1.18958965456791,1.18893646199575,1.18833240401168,1.18777406934658,1.18725823680748,1.18678188896481,1.18634220113779,1.185936539969,1.18556245775217,1.18521768368759,1.18490012093247,1.18460782925985,1.18433902016474,1.1840920455158,1.18386538743763,1.18299162673874,1.18245699656665,1.18216801000979,1.18206046104859,1.18208900295036,1.18222072613313,1.18243117563779,1.18270180863721,1.18301833712142,1.18336961228958,1.1837468332258,1.18414303248916,1.18455263392434,1.18497117536466,1.18539507494143,1.18582145705638,1.18624801439424,1.18667290270932,1.18709465007533,1.18751209082577,1.18792430887624,1.18833059238051,1.18873039678074,1.18912331459514,1.18950905171574,1.18988740263113,1.19025824047568
20,1.24819637240168,1.30340379396865,1.27248093296053,1.24267626386592,1.22345047681387,1.21032635096502,1.20112958747304,1.19466326502789,1.19362732951269,1.19266528254229,1.19177256469827,1.19094481778021,1.1901778847838,1.1894677929729,1.18881075470734,1.18820317014059,1.18764163033148,1.18712291132594,1.18664398901657,1.18620202852839,1.18579438371382,1.18541859223569,1.18507236747262,1.18475359615995,1.18446032145477,1.18419073841941,1.18394318293056,1.18371612175011,1.18284253007016,1.18231067946228,1.18202606389883,1.1819238051104,1.18195812188015,1.18209582044856,1.18231225895812,1.18258877175006,1.18291099359695,1.18326771946952,1.1836501319526,1.18405122803269,1.18446544781345,1.18488832489592,1.18531628577776,1.18574646609499,1.18617657170581,1.18660477264831,1.18702961164601,1.18744993766576,1.18786484890747,1.18827364725173,1.18867580117953,1.18907091548605,1.1894587064735,1.18983898255598,1.19021162349964
