p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_6_6,of_6_7,of_6_8,of_6_9,of_7,of_7_1,of_7_2,of_7_3,of_7_4,of_7_5,of_7_6,of_7_7,of_7_8,of_7_9,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
55,1449.78786394426,1683.6024536505,1911.24321353626,2100.08792816248,2297.52251809283,2632.95217908996,2898.33663324098,3102.76539360937,3250.73095498517,3346.78258893081,3401.07204828561,3408.07858224023,3414.03981725579,3419.04750196672,3423.18721297406,3426.53775482924,3429.17151585254,3431.15461691315,3432.54723235957,3433.40397297001,3433.77430019565,3433.70294924443,3433.23034531091,3432.39300255076,3431.22389939585,3429.75282672913,3428.00670754974,3426.00988807994,3423.78440134922,3421.35020472243,3418.72539323608,3403.26757419437,3384.97114340688,3364.8486845415,3343.56368670523,3321.56318410237,3299.15626767536,3276.56167819809,3253.93736016395,3231.39950585354,3209.03473928407,3186.90870528104,3165.07145482922,3143.5613887104,3122.40798666099,3101.63375888311,3081.25572485576,3061.28622722985,3041.73410327755,3022.60504662079,3003.90221273029,2985.6264633985,2967.77681935189,2950.3508102217,2933.34457432914
56,1450.89228747674,1684.13383007554,1911.45824162771,2100.19849659431,2297.58561893029,2633.10214336554,2898.69084147078,3103.41087415391,3251.73314738068,3348.13881182495,3402.70091020281,3409.74925845424,3415.74817376575,3420.78957742477,3424.95925381908,3428.33623358317,3430.99314084936,3432.99633338243,3434.40621758739,3435.2776273679,3435.66023572929,3435.59897633429,3435.13445903054,3434.30336871408,3433.13884094536,3431.67081069741,3429.92633273806,3427.92987358725,3425.70357594824,3423.2674971002,3420.63982307035,3405.15564285309,3386.81810184186,3366.64493137912,3345.30300341662,3323.24164714634,3300.77156295167,3278.11265540971,3255.42373158388,3232.82163744506,3210.39349779966,3188.20534703942,3166.30753750819,3144.7387015587,3123.52849343539,3102.69955030566,3082.26897909398,3062.24917403257,3042.64899707646,3023.47414131846,3004.72774191352,2986.41057687616,2968.52175039796,2951.05859470155,2934.01722230799
57,1451.98156369587,1684.66160700557,1911.67262404693,2100.30865837851,2297.64786787319,2633.24833444167,2899.03646951547,3104.04147552696,3252.71354778401,3349.46734558179,3404.29824220783,3411.38787145402,3417.42400008657,3422.49871643221,3426.69800721469,3430.10112403235,3432.78092207051,3434.8039916252,3436.23096718918,3437.11690220401,3437.51167799918,3437.46042379187,3437.00393148185,3436.17905437643,3435.01908307589,3433.55409476718,3431.8112743169,3429.8152070328,3427.58814393798,3425.15024100759,3422.5197741617,3407.00972367591,3388.63173777713,3368.40863649647,3347.01063600996,3324.88933459049,3302.35702399167,3279.6347595495,3256.88220116868,3234.21684101662,3211.72629876707,3189.47699355242,3167.5195750825,3145.89290392534,3124.62680599166,3103.74404447912,3083.26180731681,3063.19254305964,3043.54513546403,3024.32527608345,3005.53607893791,2987.17828239275,2969.25093984044,2951.75131998311,2934.67546500046
58,1453.05612718947,1685.18581546098,1911.88636749783,2100.4184260013,2297.70930490033,2633.39091033134,2899.37386564001,3104.6577816223,3253.67298110181,3350.76920374491,3405.86517183937,3412.99556404571,3419.06845226301,3424.17608643735,3428.40465035807,3431.83361163195,3434.53605188729,3436.5787897208,3438.02268386456,3438.9230038179,3439.32983610055,3439.28850266925,3438.83997495213,3438.02127240498,3436.86583864194,3435.40389124715,3433.66274355655,3431.66709820301,3429.43931321471,3426.99964207956,3424.36644954412,3408.83100245793,3390.41321499065,3370.14093815039,3348.68769499705,3326.50732772787,3303.91370191508,3281.1290109802,3258.3137582135,3235.58607469286,3213.03406919929,3190.72454091165,3168.70843301996,3147.0248310426,3125.70373015001,3104.76801393449,3084.23495844714,3064.11705388292,3044.4232107302,3025.15911662881,3006.32786369948,2987.93015015939,2969.96497831664,2952.42955329559,2935.31984705506
59,1454.11639355639,1685.70655084392,1912.09950148577,2100.52781122316,2297.76996757305,2633.53003820582,2899.70335841182,3105.26034412687,3254.61222786769,3352.04534647871,3407.40276803308,3414.57341974562,3420.68262645776,3425.82279449941,3430.0802996266,3433.53482065562,3436.25966118932,3438.32186402258,3439.78250839267,3440.69707647928,3441.11585694996,3441.08436176818,3440.64373943899,3439.83117337026,3438.68025822155,3437.22135020985,3435.481889558,3433.48669480314,3431.25822970152,3428.81684410452,3426.18099054947,3410.62060441037,3392.16363751327,3371.84291610794,3350.33523375848,3328.09665214553,3305.442593604,3282.59637732144,3259.71934077899,3236.93024687713,3214.31768789921,3191.94883850099,3169.87493157034,3148.13527448369,3126.76002817361,3105.77219663235,3085.18913721571,3065.02338937428,3045.2838784326,3025.97629325102,3007.10370196029,2988.66676215462,2970.66442479107,2953.09383137197,2935.9508837635
60,1455.16276051547,1686.22384232302,1912.31198690802,2100.63682513328,2297.82989121651,2633.66582244341,2900.02525812091,3105.84968479733,3255.5320273203,3353.29668421666,3408.91204509224,3416.12246679289,3422.26756300007,3427.4398913677,3431.72601468312,3435.20581832219,3437.95282352934,3440.03429331678,3441.51152380242,3442.44020656661,3442.87082946994,3442.84909182759,3442.41631684025,3441.60984973349,3440.46343429966,3439.00756367419,3437.26980342897,3435.27508662473,3433.04598150477,3430.60293316707,3427.96448093323,3412.37959780071,3393.88405364573,3373.51559558148,3351.95425239026,3329.65828147885,3306.94464536204,3284.03777701244,3261.09983915646,3238.2502196191,3215.57798872909,3193.15069216945,3171.01984886417,3149.22498474544,3127.79642448488,3106.7572897428,3086.12501749053,3065.91219213417,3046.12776097479,3026.777404964,3007.86416770507,2989.38866974599,2971.34980875037,2953.74466256623,2936.56906310279
61,1456.19560893376,1686.73773940981,1912.52385213593,2100.74547819927,2297.88910908591,2633.79841324745,2900.33985807596,3106.42629752723,3256.43308022083,3354.52408100469,3410.39396632874,3417.64368182909,3423.82425009863,3429.0283752228,3433.34280224095,3436.84761858078,3439.61655892453,3441.7171026373,3443.21075919755,3444.15342640013,3444.59578842732,3444.58372936581,3444.15874479717,3443.35833968989,3442.21640510973,3440.7635694438,3439.02752211785,3437.03330937389,3434.80360273567,3432.35894146189,3429.71795067976,3414.10899809693,3395.57545996716,3375.15995083826,3353.54570123236,3331.19310378968,3308.42075627071,3285.45408257928,3262.45609904561,3239.54681170237,3216.81576360879,3194.33086714521,3172.14392362775,3150.29467470098,3128.81360605086,3107.72395487437,3087.04323603146,3066.78407761511,3046.95544511581,3027.56301400704,3008.60980644946,2990.09639748742,2972.02163221287,2954.38252879182,2937.17484760433
62,1457.21530378119,1687.24829050034,1912.73510302385,2100.85378031238,2297.94766740516,2633.92793581759,2900.64743578949,3106.99065123367,3257.31605143671,3355.72835756967,3411.8494474064,3419.13799327726,3425.35362725127,3430.58919511261,3434.93161952219,3438.46118558767,3441.25183734866,3443.37126677008,3444.88119327072,3445.83771776311,3446.2917179598,3446.28926021013,3445.87201022554,3445.07763069958,3443.94015816301,3442.49035463336,3440.75603193601,3438.76234818849,3436.53207702133,3434.08585079769,3431.44237950596,3415.80977069784,3397.23880320194,3376.77690866662,3355.1104845363,3332.70207247717,3309.87178127187,3286.84612363579,3263.78892447273,3240.82080148011,3218.03176526974,3195.49009068091,3173.24785796975,3151.34502149626,3129.81222550465,3108.67282067955,3087.94439796576,3067.63962773696,3047.767492519,3028.33366142684,3009.34113193722,2990.79043716227,2972.6803725923,2955.00788872779,2937.76867800931
63,1458.22219501774,1687.75554290968,1912.94577759595,2100.96174082866,2298.00556620706,2634.05450855723,2900.94825406278,3107.54318784466,3258.1815723133,3356.91029413921,3413.27935953467,3420.60628444959,3426.85658838119,3432.12325411274,3436.49337743854,3440.04743690419,3442.85958194421,3444.99771347675,3446.52375753607,3447.49401514125,3447.95955482005,3447.96662274393,3447.55705256417,3446.76866273604,3445.63563349557,3444.1888589131,3442.45627179851,3440.46314087411,3438.23234073595,3435.78459582238,3433.13870004324,3417.4828352712,3398.87498610318,3378.36735076648,3356.64946158451,3334.18598833856,3311.29853400341,3288.21468964356,3265.09908047467,3242.07292948245,3219.22670978039,3196.62905455674,3174.33231958174,3152.37666907598,3130.79290343091,3109.60448477109,3088.82907842134,3068.47939564845,3048.56443488958,3029.0898580444,3010.05863728764,2991.47126342585,2973.32647970907,2955.62117294571,2938.35096606873
64,1459.21661841897,1688.25954290515,1913.15581761641,2101.06936860674,2298.06284802089,2634.17824354186,2901.24256198064,3108.0843294336,3259.03024285515,3358.07063303749,3414.68453177806,3422.04939640915,3428.33398472502,3433.6314122372,3438.02894352114,3441.60724644251,3444.44067198132,3446.597326464,3448.1393393071,3449.12320870678,3449.60019136438,3449.61671089816,3449.21476676769,3448.4323312788,3447.30372665972,3445.85997749787,3444.12913620973,3442.13658088548,3439.90528597289,3437.45606698759,3434.80780086284,3419.12906768385,3400.48486795937,3379.93211766694,3358.16345252339,3335.64564939168,3312.70178941087,3289.56053245388,3266.3872955703,3243.30390081763,3220.40127888776,3197.74841729775,3175.39794400571,3153.39023030043,3131.75623036275,3110.51951577073,3089.69782456514,3069.30390755637,3049.34677800134,3029.83208975524,3010.76278909623,2992.13932414866,2973.9603857119,2956.22279692061,2938.92211135072
