p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_6_6,of_6_7,of_6_8,of_6_9,of_7,of_7_1,of_7_2,of_7_3,of_7_4,of_7_5,of_7_6,of_7_7,of_7_8,of_7_9,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
35,1.20913222000857,1.24885713154028,1.27134606649626,1.2867719092318,1.29782014015,1.28284442827269,1.27111444076183,1.26247161117524,1.25624575388083,1.25197825021154,1.24918266387267,1.24875759406332,1.24836927506171,1.24801475196611,1.24769130852456,1.24739644397742,1.24712787255272,1.24688350809261,1.24666144984899,1.24645996784766,1.24627748839323,1.24611258010186,1.24596394070592,1.24583038476878,1.24571083237098,1.24560429877698,1.24550988505574,1.24542677190225,1.2453542026632,1.24529149075898,1.24523800384524,1.24509013481963,1.24510246974194,1.24523528860619,1.24546055063081,1.24575784414508,1.24611190579031,1.24651104012532,1.24694609875074,1.24740978754142,1.2478962050474,1.24840050465601,1.24891865994301,1.24944729232209,1.24998354472915,1.2505249799501,1.25106951627861,1.25161536429393,1.2521609854143,1.25270504939,1.25324641739833,1.2537841041824,1.25431727261236,1.25484519977778,1.25536727964617
36,1.20890512071291,1.24874861367223,1.27130056566654,1.28674778859846,1.29780350303775,1.28283269139512,1.27109060469084,1.26243201622529,1.25618834957926,1.25190414843652,1.24909598769146,1.248668975304,1.24827889344486,1.24792277833912,1.24759790399399,1.24730175946612,1.24703204873208,1.2467866755679,1.24656372952333,1.24636147140212,1.24617831883515,1.24601283234583,1.24586370216181,1.24572973591907,1.2456098473257,1.24550304579882,1.24540842705134,1.24532516691641,1.24525250417975,1.24518974820814,1.24513626291327,1.24498897706237,1.24500262935693,1.24513727877718,1.2453647349598,1.24566448145755,1.24602117906614,1.2464230755462,1.24686097876972,1.24732756004846,1.24781689015172,1.2483240997463,1.24884514366386,1.24937662777391,1.24991568080916,1.25045985904266,1.25100706806774,1.2515555129539,1.25210364979631,1.25265014431497,1.25319385494863,1.25373379468052,1.25426912565579,1.25479912487037,1.2553231869497
37,1.20868250235376,1.24864096988321,1.27125520796659,1.28672373651304,1.29778709082969,1.28282138034758,1.27106763852676,1.26239380650582,1.25613284959375,1.25183237242672,1.24901191199844,1.24858299637859,1.24819118665291,1.24783351054133,1.24750723265737,1.24720983219888,1.24693900318976,1.24669263961281,1.24646882156334,1.2462658008471,1.24608198662333,1.24591593150466,1.24576631837787,1.245631948099,1.24551172813645,1.2454046621796,1.24530984069315,1.24522643237321,1.24515367864996,1.24509087779937,1.24503739243349,1.24489067026479,1.244905606205,1.24504204238499,1.24527164161461,1.24557378459485,1.24593305766148,1.24633765280934,1.24677833497528,1.24724774153767,1.24773991599693,1.24824996672703,1.24877383017822,1.24930809700474,1.24984988335463,1.250396735168,1.250946549628,1.25149752513053,1.25204811261695,1.25259697392647,1.25314296488655,1.25368509682778,1.25422252877355,1.25475454515056,1.2552805339266
38,1.20846417862636,1.24853418477655,1.27120999176501,1.28669976153083,1.29777089143964,1.28281046799259,1.27104548867214,1.26235689943275,1.25607914405211,1.25176279163347,1.24893029372683,1.24849951245073,1.24810600828469,1.24774680079257,1.24741914552405,1.24712051212724,1.24684858495796,1.24660124846574,1.24637657352767,1.24617280316511,1.24598833825844,1.24582172368319,1.2456716351416,1.2455368668505,1.24541632016531,1.24530899316188,1.24521397115969,1.2451304181448,1.24505757127346,1.24499472481001,1.24494123780136,1.24479506089557,1.24481124850845,1.24494942985269,1.24518112355484,1.2454856093016,1.2458474002918,1.24625463374069,1.24669803240808,1.24717020034111,1.24766515426075,1.24817798065767,1.24870459795093,1.24924158188078,1.24978603627709,1.25033549698166,1.25088785297606,1.25144129616601,1.25199427250076,1.25254544008153,1.25309365224355,1.25363791876835,1.25417739806924,1.25471137476581,1.25523923753791
39,1.20824997502165,1.24842824338402,1.27116491551203,1.28667585536972,1.29775489356776,1.28279992956706,1.27102410608907,1.26232121930107,1.2560271320333,1.25169528610037,1.24885100111851,1.24841839010846,1.24802322350354,1.24766251297264,1.24733350534684,1.24703366101901,1.2467606549481,1.24651236229843,1.2462868449543,1.24608233735672,1.24589723229132,1.24573006706245,1.24557951033715,1.24544434982756,1.24532348089721,1.24521589611754,1.24512067576125,1.24503697919327,1.2449640393758,1.24490114663528,1.24484765651903,1.24470200745473,1.24471941637964,1.24485930332835,1.24509304527628,1.24539982265209,1.24576407678261,1.24617389104651,1.24661994675188,1.24709481519087,1.24759248677385,1.2481080265003,1.24863733509274,1.24917697366762,1.24972403399125,1.25027604203186,1.25083087874412,1.2513867297646,1.25194203618482,1.25249545250152,1.25304582967531,1.25359217602387,1.25413364945906,1.25466953483356,1.25519922159299
40,1.20803972783135,1.24832313114912,1.27111997773108,1.28665201559356,1.29773908699032,1.28278974242067,1.27100344581854,1.26228669653146,1.25597672063428,1.25162974522775,1.24877391267737,1.24833950633687,1.24794270785604,1.24758052143117,1.24725018542427,1.24694915125367,1.2466750847404,1.24642585200054,1.24619950614102,1.24599427321753,1.24580853809701,1.24564083067134,1.24548981271527,1.24535426556487,1.24523307870765,1.24512523931507,1.24502982270724,1.24494598371303,1.24487295117708,1.24481001155846,1.24475651696757,1.24461137926926,1.24462998060694,1.24477153549322,1.24500728163747,1.24531630189715,1.24568296693768,1.24609530720409,1.24654396324741,1.24702147415699,1.24752180448194,1.24803999810661,1.24857193837797,1.24911417206709,1.24966377911868,1.25021827584694,1.25077553541936,1.25133373728093,1.25189131613656,1.25244692815607,1.25299941688589,1.25354779100923,1.25409120796879,1.25462895292982,1.25516041614902
41,1.20783328325706,1.24821883391135,1.27107517701145,1.28662823584352,1.29772346218172,1.28277988578865,1.27098346655192,1.26225326714223,1.25592782415434,1.25156606683579,1.24869891594607,1.24826274723945,1.24786434622186,1.24750070994527,1.2471690685512,1.24686686476712,1.24659175552359,1.24634159811498,1.24611443707694,1.24590849026657,1.24572213480064,1.24555389331051,1.24540242081548,1.2452664923988,1.24514499178293,1.24503690083937,1.24494129002591,1.24485730971679,1.24478418237457,1.24472119767193,1.24466769732903,1.24452305536013,1.24454282162524,1.24468600851371,1.24492371681967,1.24523493345376,1.24560395954759,1.24601877348996,1.24646997574098,1.2469500737168,1.24745300653653,1.24797379733042,1.24850831237807,1.24905308437236,1.24960518167579,1.25016211114699,1.25072173832822,1.25128223667936,1.25184203633851,1.25239979017845,1.25295433952726,1.25350469181806,1.25405000411466,1.25458956194028,1.2551227564052
42,1.20763049661048,1.24811533789116,1.27103051200203,1.28660452235905,1.29770801031983,1.28277034059393,1.27096413025561,1.26222087200851,1.25588036337973,1.25150415634045,1.24862590679507,1.24818800734366,1.24778803197567,1.24742297078668,1.24709004609676,1.24678669212434,1.24651055716286,1.24625948990192,1.24603152650332,1.2458248768043,1.2456379103331,1.24546914260616,1.24531722201856,1.24518091751885,1.24505910717088,1.2449507676421,1.24485496461447,1.24477084408581,1.24469762451183,1.2446345919286,1.24458108463868,1.24443692355857,1.244457828529,1.24460261313967,1.24484224108151,1.24515561200697,1.24552695151819,1.24594418912579,1.24639788584826,1.24688051793716,1.24738599949583,1.24790933324735,1.24844636870019,1.2489936247264,1.24954815832871,1.25010746711326,1.25066940917172,1.2512321521335,1.25179412170432,1.25235396757912,1.25291052896683,1.25346281213222,1.25400997382897,1.25455129999064,1.25508618262082
43,1.2074312315938,1.24801262967576,1.27098597623477,1.28658086907023,1.29769272321826,1.2827610892741,1.27094540184192,1.26218945651653,1.25583426495426,1.25144392602609,1.24855478856761,1.24811518873617,1.24771366606142,1.24734720399021,1.2470130171744,1.24670853170144,1.24643138737803,1.24617942451354,1.24595067108516,1.24574332908185,1.24555576059825,1.24538647417565,1.2452341117108,1.24509743613095,1.24497531994349,1.24486673470391,1.24477074140138,1.24468648173229,1.24461317021339,1.24455008930515,1.244496573949,1.24435287965389,1.2443748983044,1.24452124786587,1.24476275941507,1.2450782397722,1.24545184709054,1.24587146052525,1.24632760221707,1.24681271775343,1.2473206966202,1.24784652146704,1.24838602531629,1.24893571346625,1.24949263177706,1.25005426879326,1.25061847532521,1.25118341332028,1.25174750418174,1.25230939453872,1.25286791985684,1.25342209047177,1.2539710577314,1.25451410974895,1.25505063945854
44,1.20723535965054,1.24791069620555,1.27094157862529,1.28655727422538,1.29767759326424,1.28275211562961,1.27092724887979,1.26215897008878,1.25578946082385,1.25138529440282,1.2484854713881,1.24804420036357,1.24764115638362,1.24727331650631,1.24693788799928,1.24663228894662,1.24635415101653,1.24610130626384,1.24587177467857,1.24566375056606,1.24547558873615,1.24530579088921,1.24515299254461,1.24501595071724,1.24489353245617,1.24478470429336,1.24468852260505,1.24460412485826,1.24453072169595,1.24446759206166,1.24441406758994,1.24427082665973,1.24429393507855,1.24444181823872,1.24468517664756,1.24500272572253,1.24537855721424,1.24580050061629,1.24625903985037,1.24674659033193,1.24725701724934,1.24778528352511,1.24832720596996,1.24887927654652,1.24943853018115,1.25000244654062,1.25056886931689,1.25113595491787,1.25170212056907,1.25226600994109,1.25282645655228,1.25338246977165,1.25393320071549,1.25447793557631,1.25501607558154
