p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_6_6,of_6_7,of_6_8,of_6_9,of_7,of_7_1,of_7_2,of_7_3,of_7_4,of_7_5,of_7_6,of_7_7,of_7_8,of_7_9,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
16,408.756749460425,409.798045462343,405.629051843665,401.990479148218,399.109155627192,377.205566853019,359.744947071212,346.191353809096,335.688839671451,327.577663820247,321.248475817131,320.149800415028,319.098629071615,318.091938524949,317.126936735828,316.201047194714,315.311899093278,314.457304326318,313.635249510417,312.843871236966,312.081456485871,311.346420499516,310.637297564792,309.952730365897,309.291460290757,308.652318637809,308.034218659864,307.436148377708,306.857164095564,306.29638455262,305.752985648641,303.271298213788,301.126216417241,299.257344894368,297.618472078625,296.173442583702,294.89344204722,293.755137105139,292.739387231897,291.830302635048,291.014560314736,290.280890358108,289.61968642141,289.02269753088,288.48280350937,287.993812836459,287.550329381952,287.147617752502,286.781508953173,286.448325706501,286.144807804402,285.868058575256,285.615497836008,285.384822102454,285.173970731675
17,408.303667055648,409.674378509025,405.587961032131,401.969668180557,399.087885978193,377.179411625773,359.691639352005,346.10715844411,335.574574597066,327.439290102456,321.094537231759,319.993698158576,318.940636595057,317.932308990263,316.965902191079,316.038823925713,315.148681699755,314.293271471076,313.47056173324,312.678681293612,311.915896766415,311.180613478067,310.471354545807,309.786752502801,309.125539525898,308.486538563786,307.868655304732,307.270870917852,306.692235501039,306.13186217009,305.588921727101,303.110162651084,300.968774693753,299.104080896694,297.469687292228,296.029316593076,294.754070735502,293.620557034151,292.609592131375,291.705254389514,290.894196689591,290.165130547538,289.508435194705,288.915848222659,288.380238634141,287.895414073943,287.455965387597,287.057160596567,286.694822779028,286.365274968174,286.065256364248,285.791870533803,285.542538252352,285.314957662465,285.107070275862
18,407.866132861659,409.551903198089,405.547051505809,401.94909161873,399.067443875798,377.155264183024,359.642274771121,346.028866494569,335.467894362808,327.309656457351,320.949973137789,319.84704922127,318.792163559064,317.782253562232,316.814487259993,315.886254205892,314.995144609199,314.138938185297,313.315588316936,312.523207667963,311.760056678174,311.024522228483,310.315119024386,309.630469882905,308.96929815928,308.330418801532,307.712730246509,307.115207092866,306.536893484951,305.976897142688,305.434383975489,302.958373786723,300.820472533164,298.959732559088,297.329584399257,295.893633374268,294.622900686102,293.493936391914,292.48751573301,291.587686225956,290.781077382737,290.056382706183,289.403967431233,288.815558059181,288.284015042579,287.803139430883,287.367516899664,286.972409666186,286.613645139225,286.287538001431,285.990829320763,285.720622973956,285.474340767748,285.249682467722,285.044591771506
19,407.442992133117,409.430592958545,405.506314334383,401.928721697616,399.047736510267,377.132870230742,359.59637251197,345.955782381528,335.367931723542,327.187786218715,320.813750702822,319.708814146056,318.652165074095,317.640722990707,316.671638138538,315.742282836408,314.850230847758,313.99324641024,313.169268482239,312.376396387229,311.612878375051,310.877089941655,310.16753563156,309.482828940181,308.821684754469,308.182910338485,307.565397161768,306.968113507658,306.390097796344,305.830452558306,305.288338996304,302.814917888587,300.68031828807,298.823331734736,297.197219541678,295.765473725973,294.499035710236,293.374405501087,292.372312873457,291.476777245188,290.67440545195,289.95387347436,289.305532959564,288.72109964026,288.193425675877,287.71630573375,287.284320503984,286.892728814614,286.537355738063,286.21451451228,285.920945892084,285.653754131363,285.410362105434,285.188471249729,284.986027449621
20,407.033218542658,409.310422270061,405.465742029642,401.908535523701,399.028686112753,377.112018745716,359.553531330951,345.887322963494,335.273956961069,327.072855544875,320.684997471149,319.578114713167,318.519758182625,317.506830493048,316.536465048439,315.606017782506,314.713046786609,313.855301519438,313.030707136333,312.237350182561,311.473464951271,310.737422806683,310.027711731767,309.342938527008,308.681809933332,308.043125819674,307.425770947429,306.828707517345,306.250968434706,305.691651228863,305.149912565629,302.678934901017,300.547473085933,298.694059505186,297.07179444361,295.644060354422,294.381723112032,293.261229187491,292.263269302075,291.37183389197,290.573507716951,289.85694976885,289.212496807075,288.631859053585,288.107875659757,287.634334826948,287.205818244058,286.817575680261,286.465431930982,286.14569889134,285.855117082347,285.590791197117,285.350145223321,285.130882292064,284.930950484369
21,406.635916197449,409.191358633888,405.42532823569,401.888514024422,399.010226859006,377.09253290089,359.513413227403,345.822994860328,335.185350519452,326.964163280374,320.562969888268,319.454202313237,318.394190108509,317.379819931387,316.408209200591,315.476698245538,314.582830192978,313.72434035465,312.899140663073,312.105305395123,311.341057539393,310.604755982356,309.894885628857,309.210038185665,308.548914724061,307.910307977266,307.293096238399,306.69623583893,306.118754361004,305.559744505459,305.018358556724,302.549697711814,300.421218538153,298.571217030563,296.952627962238,295.528730117059,294.270316120859,293.153780485458,292.159775988047,291.272264872389,290.477810460222,289.765055144623,289.124322782604,288.547313522816,288.026858581727,287.556740149026,287.131535436454,286.746489282165,286.397427039284,286.080661428878,285.79292744911,285.531332626163,285.293302100269,285.076540721326,284.878998772563
22,406.25026258903,409.073393563821,405.385067497179,401.8686411621,398.992302531293,377.074263221044,359.475731057153,345.762377180121,335.101582097334,326.861107879465,320.447029182387,319.336433716319,318.274813939827,317.259041405793,316.286218333125,315.35367016161,314.458925702773,313.599706709087,312.773912412361,311.979605294634,311.214997463085,310.478437815264,309.768402182864,309.08347381784,308.422346275121,307.783805406493,307.166723250656,306.570050466122,305.992809488425,305.4340883488,304.893035093454,302.426574272676,300.300943595122,298.454203183961,296.839134260304,295.41891273857,294.164260121911,293.051520422007,292.061309504383,291.177562169442,290.386820801091,289.677711675161,289.040546050059,288.467014290079,287.949939856523,287.483099122388,287.061064973179,286.67907905339,286.332964813053,286.019033949342,285.734021161999,285.475034609805,285.239500622485,285.025125789387,284.829862600834
23,405.875522946688,408.956497018646,405.344955083431,401.848903337049,398.974864726163,377.057082347047,359.440239006354,345.705108179978,335.022194445661,326.763169497352,320.336622622413,319.224252235133,318.161069714966,317.143932292643,316.169927709679,315.236367174382,314.340765781598,313.480832264252,312.654453638855,311.859681028187,311.094716048145,310.357897957198,309.647691677695,308.962678732737,308.30153897054,307.663053728956,307.046088996608,306.449589940478,305.872574012594,305.314124721414,304.773386007261,302.309018980355,300.186112260217,298.342497160032,296.730805834962,295.314114264301,294.063074798427,292.953982304251,291.967416694141,291.087286014292,290.300112251399,289.594505928468,288.96076602842,288.390573326211,287.876743812315,287.413048181077,286.994055134461,286.615003247097,286.271714165294,285.960498646778,285.678091204012,285.421600601975,285.18845442708,284.97636102653,284.783275101143
24,405.511029300536,408.840642429003,405.304986853141,401.829288928295,398.957871461942,377.040880979188,359.406725173014,345.650874837397,334.946790672664,326.66989592211,320.231268782058,319.117172914118,318.052469551784,317.034002324508,316.058845163239,315.12429565304,314.227855725682,313.367221594088,312.540268508977,311.74503663737,310.979717465578,310.242640936946,309.532263442846,308.847158771462,308.185999564016,307.547560763761,306.930702496531,306.334364606003,305.757559711955,305.199366936239,304.658926236006,302.196555976448,300.076259144365,298.235644787007,296.627200161838,295.2139040397,293.966341451387,292.860759381845,291.877702685846,291.001053302595,290.217313304799,289.515077832583,288.884633884169,288.317652906248,287.806943575771,287.346271085562,286.930200090008,286.553966211574,286.213389387317,285.904777249536,285.624870896557,285.370773098324,285.139914927889,284.930006506369,284.73900474683
25,405.156185944567,408.725817448717,405.265159149028,401.809787935936,398.94128608359,377.025564697296,359.375005723395,345.599404605275,334.875024173408,326.580891399661,320.130545823982,319.014770752276,317.948585821167,316.928821725323,315.952539202603,315.017022778752,314.11976173616,313.258440231621,312.430922167629,311.635237130474,310.86956681311,310.132232144966,309.421681256203,308.736480440714,308.075295351303,307.436894729691,306.820133013153,306.223944878539,305.647338254119,305.089388001816,304.549230209794,302.088767762995,299.970975944401,298.133247634464,296.527929068022,295.117904351618,293.873692907315,292.771495018445,291.791821320942,290.918528254609,290.138098433124,289.439111963234,288.811844134173,288.247957286342,287.740252968806,287.28249102556,286.869230328754,286.495709250331,286.157740517148,285.851632772439,285.574127211004,285.322327168177,285.093665068377,284.885852821569,284.696849554425
