p_bar,of_1,of_1_5,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
15,451.024115640691,455.378352370954,405.400490548105,395.965410794353,387.349999436332,379.493835346851,372.340667945517,365.838298863463,359.935896741029,354.581080875061,349.719095352448,345.294508766516,341.254072616174,337.549149611984,334.136988043485,330.98094213334,328.050019447864,325.318151983328,322.76340783608,320.367268545502,318.113998273953,315.990148725496,313.984135440931,312.085910233515,310.286697286283,308.578782006124,306.95534138223,305.410309480199,298.689154869092,293.302239192655,288.921229836309,285.323487417785,282.350571706916,279.885480204172,277.839132015179,276.141867411957,274.737870159778,273.58141028891,272.634269255761,271.86398086544,271.242634771143,270.746085070053,270.353405689212,270.046522116997,269.809930240258,269.630454586529,269.497017141856,269.400404841097,269.333034911521,269.288730337381,269.262493938886,269.250319321366,269.249010558213,269.256031484109,269.269377692353,269.287470387174,269.309069598621,269.333204009548,269.359114694219
16,450.695694396732,455.313366898177,405.367140269578,395.915812475854,387.281804710409,379.405623014762,372.231881152584,365.70916129381,359.787379897848,354.414837517137,349.537287092471,345.099549987892,341.048377634454,337.334952033086,333.9162481174,330.755322510876,327.820901209966,325.086668890157,322.530485309802,320.133658110975,317.880319862618,315.756902148261,313.75173257629,311.854689929567,310.056939351552,308.350718354415,306.729164915909,305.186178624905,298.476907321311,293.103386692235,288.736412245621,285.152934388707,282.194289880965,279.743327297845,277.710841485985,276.027051832411,274.636017694576,273.49188260062,272.556306322008,271.79671510926,271.185115073257,270.697308882784,270.312354882167,270.012198485732,269.781386104128,269.606816327006,269.477499961106,269.384319377476,269.319787079017,269.277816159029,269.253491366109,269.242878531779,269.242843865329,269.250903691327,269.265097319843,269.283881975497,269.306047130685,269.330645394967,269.356937209338
17,450.375521910781,455.24872831457,405.336517893104,395.870182261564,387.218907807756,379.324063789722,372.131061214458,365.589214437995,359.649148297289,354.259817226777,349.36747291631,344.917196469323,340.855757419827,337.134179459258,333.709186010659,330.543555161635,327.605747071736,324.869211720408,322.311610534019,319.914087658314,317.660642795614,315.537599861731,313.533199956154,311.637251970706,309.840864530184,308.136229286357,306.516446855069,304.97538625399,298.277321039202,292.916464562373,288.562779181469,284.992812246699,282.047686136802,279.610103717176,277.590735956914,275.919690319826,274.540899361337,273.40838720807,272.483697948057,271.734157211059,271.131694630584,270.652067924732,270.274325010796,269.980434387649,269.75499431114,269.584976344543,269.459477339374,269.369471023979,269.307560315319,269.267743246015,269.245181392466,269.236008022384,269.237147164023,269.246163850339,269.261137868598,269.280559735153,269.3032460958,269.328271618238,269.354914582245
18,450.063139063876,455.184424836303,405.308257983415,395.82799678621,387.160622746433,379.248321697576,372.037224249369,365.477340968116,359.519968978404,354.114690922368,349.208246863908,344.745982772954,340.674701849449,336.945289198063,333.514236194286,330.344059470563,327.402967490307,324.664186903974,322.105189820159,319.706964008072,317.453379406032,315.330664275585,313.326969191638,311.432038503763,309.63692659084,307.933781078351,306.315666707407,304.776423135923,298.088964166907,292.740125042581,288.399059107766,284.84193042485,281.909650506158,279.484779542869,277.477868947523,275.81891101137,274.451720965626,273.33020616729,272.415800633781,271.675735622671,271.081870620828,270.609924114037,270.238938045995,269.950906755483,269.730480987798,269.564704195261,269.44275661927,269.355699538944,269.296221870011,269.258401931025,269.237473570064,269.229633249454,269.231859008069,269.241761264205,269.257457549576,269.277469088535,269.300637814378,269.326058825564,269.353026911535
19,449.758129771888,455.120446380667,405.282059902241,395.788829711896,387.10640353128,379.177704043178,371.949553083667,365.37261098211,359.398814020382,353.978348953173,349.058433746007,344.584682888862,340.503946650605,336.766989022887,333.330086774239,330.155510480453,327.211229696074,324.470258033511,321.90988645911,319.510952819155,317.257204803223,315.134771811054,313.131724354354,311.237742390478,309.443828113713,307.742086786698,306.125548624762,304.588025024946,297.910635370316,292.573231478648,288.244185819912,284.699291041366,281.77925316115,279.36649253698,277.371443322646,275.723983482811,274.367819303338,273.256740666513,272.352078342304,271.620974917378,271.035225427143,270.570514188912,270.205881028856,269.92334836129,269.707619885205,269.545809759553,269.42717901034,269.342872995014,269.285662559252,269.249702112333,269.230293685194,269.223693142456,269.226929150291,269.237654570636,269.254021963657,269.274581559627,269.298198653252,269.323987345378,269.351257769848
20,449.460088645376,455.056784189653,405.257680745053,395.752326015876,387.055775191413,379.111630901013,371.867362045909,365.274242702557,359.284817803921,353.849855584007,348.917041460584,344.432260913372,340.342422874926,336.598185786557,333.155627525914,329.976786567473,327.029405180218,324.286293312436,321.724568231649,319.324923748371,317.070989954104,314.948801066609,312.946350467666,311.053256061326,309.260469736808,307.560055910733,305.945011502651,304.409120650864,297.741316799648,292.414822961015,288.097256458542,284.564049469107,281.655707454874,279.25451372576,277.270787249651,275.634295809734,274.288635009705,273.1874861438,272.292079891086,271.569475376273,270.991408335005,270.533533431541,270.174891736514,269.897535594668,269.68622189836,269.528134247728,269.412612018873,269.330881352942,269.275791326664,269.241568617336,269.223579751177,269.218136600399,269.222315436253,269.233808945105,269.250802596036,269.271873564801,269.295909061179,269.322040925948,269.349593608449
21,449.168673566844,454.993430552739,405.234910594726,395.718187234654,387.008336990902,379.049612254301,371.790070531617,365.181572914507,359.177244816007,353.728414668234,348.783224999061,344.287833790005,340.189218706782,336.437946568301,332.989910591343,329.806929857627,326.856529967534,324.111325779409,321.548267681106,319.147910837145,316.893771998005,314.771791105123,312.769894510502,310.87763279268,309.085911729573,307.386756281462,305.773131199137,304.238794280411,297.580138474294,292.264078352502,287.957499740197,284.435484424844,281.538341978936,279.148221215085,277.175328037393,275.549322344723,274.21369206369,273.122013663921,272.235422161377,271.520898003629,270.950122302356,270.498724106431,270.145748670492,269.873279808203,269.666127667893,269.511544008008,269.398944212091,269.319632153913,269.266531727624,269.233938396346,269.217279840037,269.212920874951,269.217982662376,269.230195367191,269.247775379425,269.269325160327,269.293752463977,269.320205748304,269.348022864019
22,448.883542163451,454.930378599323,405.213573891561,395.686160295059,386.963765426621,378.991230602181,371.717182850218,365.094034389228,359.075465029887,353.613343368163,348.656258866287,344.150642741397,340.043550165745,336.285468854927,332.832120305608,329.64511583015,326.691774099793,323.944522761006,321.380151591355,318.979082067954,316.724721521244,314.602921105634,312.601535452394,310.710056950948,308.919344464532,307.221384775112,305.609111502058,304.076256947727,297.42635092174,292.120290410102,287.824251556902,284.312975113495,281.426579114555,279.047080330337,277.084573591395,275.468613144011,274.142582072578,273.059955602251,272.181777136868,271.474952540853,270.911113582151,270.465866300232,270.11826305392,269.850420400537,269.647201666349,269.495925475702,269.386080985261,269.309046952,269.257818937268,269.226758002302,269.211349939888,269.20800970213,269.2139009496,269.226789186531,269.244919938337,269.266919463433,269.291714890672,269.318470179462,269.346535818387
23,448.604401580849,454.867622140974,405.193520988876,395.656028941333,386.921767469959,378.936127544502,371.648272650839,365.011138410616,358.978934822748,353.50405176367,348.535515661596,344.020031068776,339.904738327858,336.14005734831,332.681549721541,329.490629663342,326.534417885295,323.78516208856,321.219497228026,318.81771567271,316.563118953195,314.441472305064,312.440560919997,310.549820822193,308.760065422084,307.063244506017,305.452261519426,303.920824049892,297.279303869417,291.982845625009,287.696934132512,284.195983372838,281.319918361413,278.950626301778,276.998098026096,275.391779116678,274.074952225788,273.000994556224,272.130861861356,271.431387954206,270.874163806223,270.434770975947,270.092272795272,269.828819618688,269.629327760695,269.481181421693,269.373941399643,269.299058672409,269.249597551808,269.219981769008,269.205752451597,269.203372228262,269.210044915888,269.223569502705,269.242219037708,269.264642235247,269.289784378715,269.316824249351,269.345124133118
24,448.330965267303,454.805155549904,405.174623409137,395.627607072076,386.882095323665,378.883993305711,371.582970737712,364.932461082154,358.887182002498,353.400026836878,348.42044924435,343.895426689607,339.77219139956,336.00110471318,332.537582123614,329.342847603527,326.383833188579,323.632613361043,321.065673614819,318.663181454938,316.408335967862,314.286819129251,312.28634642505,310.396306345823,308.607461065857,306.911726850099,305.301977858517,303.771897687537,297.138429452157,291.851208341376,287.575048430736,284.084039626285,281.217923196704,278.858458879915,276.915530301761,275.318481472692,274.010495492757,272.944854733811,272.08242997338,271.389991054823,270.839083775644,270.405274525466,270.067637756037,269.808358486037,269.612405739704,269.467228015361,269.362455727355,269.289609569139,269.241819900754,269.213570424774,269.200455056378,269.198981761983,269.206392551413,269.220518134723,269.239657623584,269.262480974382,269.287950684423,269.31525942997,269.34378068557
