p_bar,of_1,of_1_5,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
25,1.25617666443935,1.30203471393718,1.26991626948011,1.26352858044977,1.25787315325934,1.25287514310449,1.24847391588533,1.24461884836523,1.24126383183469,1.23836230177751,1.23586480418367,1.23371985983186,1.23187686854244,1.23028909708672,1.2289155596024,1.22772159620507,1.22667856912201,1.22576310812379,1.22495623368906,1.22424252737384,1.2236094181548,1.22304659839306,1.22254555848436,1.22209922330798,1.22170165716727,1.22134785474057,1.22103355651299,1.22075511392735,1.21980381986269,1.21941214864785,1.21942669257021,1.21975397592043,1.22033236248418,1.22111844521494,1.22207973563637,1.22319042010602,1.2244287738092,1.22577556342688,1.22721310389739,1.22872476420845,1.23029480134293,1.23190840145677,1.23355183999625,1.2352126659463,1.23687985033281,1.2385438767278,1.24019674800891,1.24183192343693,1.24344420061857,1.24502957418266,1.24658506025731,1.24810854358048,1.24959862286891,1.2510544749745,1.25247573718761,1.25386240784554,1.25521476401339,1.25653329433773,1.25781864494251
26,1.25591338046259,1.30195928302306,1.269896644044,1.26349962468416,1.25783322787017,1.25282301904772,1.24840876553265,1.24454026721875,1.24117189173527,1.23825758752001,1.23574836359313,1.23359305857908,1.23174120607264,1.23014604906931,1.22876647824318,1.22756766545198,1.22652079746214,1.22560234152819,1.2247931767568,1.22407776592441,1.22344344008315,1.22287981162377,1.22237830586896,1.221931794805,1.22153429940709,1.22118077905415,1.22086694513207,1.22058912501954,1.21964271823261,1.21925791413124,1.21928055254649,1.21961675805304,1.22020464374377,1.22100061358397,1.221972011603,1.22309286017117,1.22434126850475,1.22569783798088,1.22714472667067,1.22866516521819,1.23024330061416,1.2318642442852,1.23351423491483,1.23518082068921,1.23685300213084,1.23852131489207,1.24017782826034,1.2418160747809,1.2434309263025,1.2450184483315,1.24657572209512,1.24810069019165,1.24959200163611,1.25104887625236,1.25247098756994,1.25385836419424,1.2552113082945,1.25653032923583,1.25781609018472
27,1.25565530711714,1.30188420526892,1.2698780271607,1.26347213685224,1.25779528139878,1.25277339801724,1.24834667633295,1.24446527767281,1.24108404056925,1.2381574091397,1.23563684438245,1.23347149996371,1.23161104724593,1.23000871310591,1.22862327328674,1.22741973940829,1.22636912951014,1.22544775384979,1.2246363545601,1.22391927912367,1.22328376343025,1.22271934209651,1.22221737712793,1.22177068902938,1.2213732565936,1.22102000483166,1.22070661679559,1.22042939643195,1.21948771441069,1.21910955902394,1.21914003706838,1.21948488325602,1.2200819656597,1.22088750315058,1.22186867560302,1.22299934487715,1.22425745820877,1.22562345635655,1.22707934598515,1.22860822488838,1.23019413573828,1.23182212019163,1.23347838412906,1.23515047754701,1.23682743165034,1.2384998340397,1.24015981920918,1.24180099102433,1.2434182931581,1.24500785939229,1.24656683345797,1.24809321336641,1.24958569620757,1.25104354281323,1.25246646125285,1.25385450895253,1.25520801196697,1.25652749936243,1.25781365050392
28,1.25540221999808,1.30180947510681,1.26986033207743,1.26344599295914,1.25775914976636,1.25272610223264,1.24828740333105,1.24439359697995,1.2409999612397,1.23806141959158,1.23552987435996,1.23335479128303,1.23148598295542,1.22987666712272,1.22848551256306,1.22727737801807,1.22622311920616,1.22529889450378,1.22448531320136,1.22376661075578,1.22312993048446,1.22256473128973,1.22206231350636,1.22161544507314,1.22121807089975,1.22086507527776,1.22055211605118,1.220275474327,1.21933836573174,1.21896665538031,1.21900473525504,1.21935795944925,1.21996395634373,1.22077876342782,1.22176939955666,1.22290956772059,1.22417706204462,1.22555216209904,1.22701672953785,1.22855373508735,1.2301471220191,1.2317818668811,1.23344414635223,1.23512151457421,1.23680303443939,1.2384793452839,1.24014264561633,1.24178660874338,1.24340624788184,1.24499776265454,1.24655835688176,1.24808608171962,1.24957968027857,1.25103845258759,1.25246213969226,1.25385082650916,1.2552048618597,1.25652479357809,1.25781131645415
29,1.25515390955933,1.30173508731074,1.26984348221512,1.26342108334116,1.25772468761841,1.25268093671451,1.24823072888325,1.24432497352941,1.24091937123499,1.23796930937003,1.2354271213185,1.23324258179254,1.23136564761979,1.22974953381855,1.22835280957621,1.22714018771996,1.22608236750566,1.22515536035065,1.22433964653436,1.223619352567,1.22298153162822,1.22241556884204,1.22191270442025,1.2214656573288,1.22106833255684,1.22071558154451,1.220403035253,1.22012695250656,1.21919427602957,1.21882882028487,1.21887427955247,1.21923563600588,1.21985028338698,1.22067408122963,1.22167389044681,1.22282325993404,1.22409982937377,1.22548372630051,1.2269566706093,1.22850151053336,1.23010209514048,1.2317433400109,1.23341139615077,1.23509382358983,1.23677971789922,1.23845976987175,1.24012624085419,1.24177286928631,1.24339474330533,1.24498811856291,1.24655025922691,1.24807926749096,1.24957393058258,1.25103358605388,1.25245800648318,1.25384730305143,1.25520184631654,1.25652220202208,1.2578090796712
30,1.25491017983883,1.30166103695136,1.26982740967702,1.26339731064273,1.25769176563849,1.25263773942472,1.24817645871485,1.24425918248913,1.24084201782939,1.23788080132919,1.2353282875439,1.23313455696423,1.23124971324369,1.22962697455345,1.22822481735542,1.22700781505377,1.22594651603783,1.2250167892599,1.22419898969497,1.22347713777086,1.22283819882749,1.22227148603442,1.22176818093845,1.22132095470545,1.22092367335297,1.22057115624506,1.22025900809444,1.21998346596697,1.21905508935169,1.21869570974434,1.21874833984348,1.21911759810379,1.21974064837881,1.22057317557699,1.22158188551724,1.22274017601283,1.2240255357496,1.22541794422766,1.22689898404919,1.22845138577164,1.23005890865176,1.23170641131864,1.23338002163129,1.23506730811834,1.23675739945192,1.23844103755185,1.24011054544917,1.24175972753898,1.24338373722248,1.24497889183642,1.24654251087723,1.24807274579934,1.24956842617896,1.25102892553939,1.2524540466556,1.25384392630518,1.25519895497791,1.25651971592873,1.25780693271797
31,1.25467084721859,1.3015873193585,1.26981205401688,1.26337458800645,1.25766026832136,1.25259636540802,1.24812441881416,1.24419602222083,1.24076767407447,1.23779564633761,1.23523310523171,1.23303043369194,1.23113788445581,1.22950868425661,1.22810122323431,1.22687994146187,1.22581524170233,1.22488285475492,1.22406301368863,1.22333963561319,1.22269960018704,1.22213215033917,1.22162841033128,1.22118100463615,1.22078376119531,1.22043146802866,1.22011970419901,1.2198446855087,1.21892048469069,1.21856701359193,1.21862661854406,1.21900356202981,1.21963478251878,1.22047579344338,1.2214931482633,1.22266009658242,1.22395397937835,1.22535463192511,1.22684350376675,1.22840321220014,1.23001743090146,1.23167096521013,1.23334992288311,1.23504188223417,1.23673600579335,1.23842308622243,1.24009550711595,1.24174713713635,1.24337319303688,1.24497005146316,1.24653508601944,1.24806649521809,1.24956314933854,1.25102445643371,1.25245024823636,1.2538406851389,1.25519617838859,1.25651732722992,1.25780486867346
32,1.25443573942297,1.30151393009011,1.26979736121427,1.26335283769119,1.25763009211513,1.25255668451682,1.24807445273134,1.2441353111792,1.24069613548897,1.23771361977338,1.23514133261336,1.23292995626268,1.23102989433813,1.22939438714438,1.22798174448358,1.22675627882444,1.2256882522453,1.2247532614475,1.22393142085333,1.2232065468192,1.22256543536781,1.2219972608314,1.22149309148113,1.22104550614365,1.22064829553399,1.22029621701513,1.21998482456822,1.2197103132,1.21879017155448,1.21844245119199,1.21850884440804,1.21889327121383,1.21953244280198,1.22038170617914,1.22140746506429,1.22258282359883,1.22388497819424,1.22529362352663,1.22679008009992,1.22835685611923,1.22997754365407,1.23163689816072,1.23332100982426,1.23501746829782,1.23671547045255,1.23840585929174,1.24008107782471,1.24173505747195,1.24336307648503,1.24496156909402,1.24652796078953,1.24806049561408,1.24955808301441,1.25102016423008,1.25244659879892,1.25383757021839,1.25519350882273,1.25651502956082,1.25780288233151
33,1.25420469457036,1.30144086490623,1.26978328282142,1.26333198987701,1.25760114386191,1.25251857949859,1.24802641933087,1.24407688541352,1.24062721714887,1.23763451823915,1.23505275081769,1.23283289295195,1.23092550089972,1.22928383309896,1.22786612461599,1.22663656570866,1.22556528243847,1.22462774124459,1.22380394097927,1.22307759969261,1.22243543171387,1.22186654431336,1.22136195100842,1.22091418597184,1.22051700113226,1.22016513093046,1.21985409772856,1.21958007853727,1.21866388621692,1.21832176780782,1.21839477721169,1.21878649287489,1.21943340883088,1.22029070648882,1.22132464233738,1.22250817768711,1.22381836582948,1.22523476898267,1.22673857774797,1.22831219673877,1.22993914014798,1.23160411672834,1.23329320144234,1.23499399665495,1.23669573399065,1.23838930634984,1.24006721509096,1.24172345284589,1.24335335764697,1.24495341951328,1.24652111408526,1.24805472933026,1.24955321242642,1.25101603654647,1.25244308795887,1.25383457235761,1.25519093840325,1.25651281614446,1.25780096779437
34,1.25397756033266,1.30136811974711,1.26976977523581,1.26331198163698,1.25757333946914,1.25248194437913,1.24798019088938,1.24402059637998,1.24056075135974,1.23755815716278,1.23496716091184,1.23273903313061,1.23082448407932,1.22917679458909,1.22775413024352,1.22652056417729,1.22544609085156,1.22450605007837,1.22368032805839,1.22295254685462,1.2223093409434,1.22173975199728,1.22123473995032,1.22078679526166,1.22038963414745,1.22003796181802,1.21972727645235,1.21945373517731,1.21854138620008,1.21820473151104,1.21828419257046,1.21868301519468,1.21933748009762,1.22020260586208,1.22124450411977,1.22243599588091,1.22375399573583,1.22517793213071,1.22668887401318,1.22826912459447,1.22990212370094,1.2315725363483,1.23326642444504,1.23497140431193,1.23667674265327,1.23837338180591,1.2400538804171,1.24171229087938,1.24334400935924,1.24494557996826,1.24651452686166,1.24804918042469,1.24954852422518,1.25101206219043,1.25243970631892,1.25383168365347,1.25518846047181,1.25651068127808,1.25779912021531
35,1.25375419317944,1.30129569071462,1.26975679909749,1.26329275608254,1.257546602849,1.25244668308883,1.24793565147664,1.24396630909779,1.24049658558389,1.23748436850426,1.23488438170359,1.23264818477111,1.23072664318446,1.2290730640385,1.22764554839081,1.22640805705981,1.22533045709151,1.22438796512101,1.22356035746929,1.22283116241648,1.2221869363352,1.22161665669136,1.22111123094911,1.2206631067489,1.22026596531774,1.21991448322528,1.21960413495284,1.21933105814214,1.21842245680293,1.21809113053854,1.21817688748844,1.2185826448407,1.219244473697,1.22011723237442,1.2211668899748,1.22236612969307,1.22369173009732,1.22512298904916,1.22664085730085,1.22822754019501,1.2298664064981,1.23154208026288,1.23324061234854,1.2349496341547,1.23665844772615,1.2383580443573,1.24004103895022,1.24170154226641,1.24333500704012,1.24493802970609,1.24650818169485,1.24804383423317,1.24954400602442,1.2510082306647,1.25243644534097,1.25382889691223,1.25518606895282,1.25650861990002,1.25779733532124
36,1.25353445769649,1.3012235740564,1.2697443187676,1.26327426163382,1.25752086486893,1.25241270828968,1.24789269020896,1.24391390057085,1.24043458068997,1.23741299886093,1.23480424766736,1.2325601724313,1.23063179469296,1.22897245156617,1.22754018418774,1.2262988456082,1.22521817943034,1.22427328239172,1.22344382357059,1.22271323956183,1.22206801029931,1.22149705036818,1.2209912158196,1.2205429123279,1.22014578682039,1.21979448778768,1.21948446647455,1.21921184141808,1.21830689494804,1.21798077102152,1.21807267616275,1.21848520491165,1.21915422227583,1.22003442882403,1.22109165335153,1.22229844339607,1.22363144447374,1.2250698266467,1.22659442583373,1.22818735286175,1.2298319067259,1.23151267860611,1.23321570467576,1.23492863425995,1.23664080494492,1.23834325649053,1.24002865902144,1.24169118037086,1.24332632833294,1.24493075051333,1.24650206343085,1.24803867826389,1.24953964759493,1.2510045336516,1.25243329712487,1.25382620542741,1.2551837581259,1.25650662707608,1.25779560914206
37,1.25331822597016,1.30115174620757,1.26973230188649,1.26325645139529,1.25749606261355,1.25237994036895,1.24785122128568,1.2438632584304,1.24037460944616,1.23734390783304,1.23472660720299,1.23247483524518,1.23053977035719,1.22887478303719,1.22743785887868,1.22619274747414,1.22510907275792,1.22416181469151,1.22333053762237,1.22259858845923,1.22195237228442,1.22138074206437,1.22087450344799,1.22042602095485,1.22002890786969,1.21967778513884,1.21936808121095,1.21909589588007,1.2181945163067,1.21787347502532,1.2179713880961,1.21839053311833,1.21906657237087,1.21995405107138,1.22101865983005,1.22223281288916,1.22357302489146,1.2250183414481,1.22654948654618,1.22814847973121,1.22979855497585,1.23148426761597,1.2331916462668,1.23490835729363,1.23662377397536,1.23832898403408,1.24001671188455,1.24168118107203,1.24331795306069,1.24492372497956,1.24649615748088,1.24803370015606,1.24953543840445,1.25100096211561,1.25243025506104,1.25382360377058,1.25518152356404,1.25650469923373,1.25779393794797
38,1.2531053770299,1.30108024253244,1.26972071899404,1.26323928261907,1.25747213865696,1.2523483065633,1.24781115146163,1.24381427976301,1.24031655521745,1.2372769666095,1.23465132112841,1.23239202548571,1.23045041554642,1.22877989837435,1.22733840809777,1.22608959495626,1.2250029668078,1.22405338981296,1.22322032598442,1.22248703445246,1.22183984696256,1.22126755606797,1.22076091797889,1.22031225683506,1.21991515290584,1.21956420010386,1.21925480450169,1.21898304749579,1.21808515127523,1.21776907885063,1.21787286646248,1.21829848022125,1.21898138289855,1.21987596666121,1.22094778598064,1.22216912396331,1.22351636692403,1.22496843847879,1.2265059541288,1.22811084489358,1.22976628257651,1.23145678895459,1.23316838668344,1.23488876000511,1.23660731798769,1.23831519580914,1.24000517119449,1.24167152220699,1.24330986260754,1.24491693767675,1.24649045089643,1.24802888908087,1.2495313693922,1.25099750846879,1.25242731238451,1.25382108613143,1.25517936023608,1.25650283197448,1.257792318743
39,1.25289579634237,1.30100904069999,1.26970954320254,1.26322271624193,1.2574490404573,1.25231774024897,1.24777239993902,1.24376687009452,1.24026031083528,1.23721205673943,1.23457826137043,1.23231160714291,1.23036358789174,1.22868765008982,1.2272416803687,1.22598923347517,1.22489970461354,1.22394784898247,1.22311302854831,1.2223784164855,1.22173027265028,1.22115733033469,1.22065029723123,1.22020145784036,1.21980436001548,1.2194535688263,1.2191444752621,1.21887313576041,1.21797864344432,1.21766743155505,1.21777696668525,1.21820890867091,1.21889852386367,1.21980005359073,1.22087891815812,1.22210727159974,1.22346137430684,1.22492003065708,1.22646375013021,1.22807437864605,1.22973502816397,1.23143018911971,1.23314587969625,1.23486980276232,1.23659140323997,1.23830186324844,1.23999401289324,1.24166218357055,1.24330204004166,1.24491037443399,1.24648493182257,1.24802423511849,1.2495274322511,1.25099416574618,1.25242446324683,1.25381864759067,1.25517726399689,1.25650102179939,1.25779074827134
40,1.25268937535157,1.30093813742272,1.26969874991369,1.2632067164842,1.25742671983076,1.25228818022157,1.24773488394549,1.24372094250577,1.24020577761288,1.23714906906141,1.23450730982261,1.23223345472468,1.2302791559129,1.22859790200329,1.22714753579473,1.22589152024191,1.22479914116048,1.22384504549973,1.22300849736776,1.22227258572671,1.2216234999286,1.22104991510652,1.22054249131647,1.2200934741283,1.21969637955294,1.21934574654255,1.21903694461143,1.21876601232967,1.21787484826469,1.2175683936618,1.2176835551952,1.21812169142044,1.2188178752311,1.21972619924247,1.22081195149712,1.22204715896943,1.22340795839204,1.22487303746275,1.22642280255771,1.22803901684289,1.22970473530067,1.23140441893338,1.23312408283377,1.23485144917957,1.23657599877219,1.2382889601564,1.23998321491346,1.24165314663254,1.24329446983594,1.24490402225551,1.24647958938563,1.24801972916731,1.2495236193555,1.25099092754972,1.25242170227038,1.2538162836192,1.25517523102362,1.25649926547429,1.25778922378916
41,1.25248601105995,1.30086752385107,1.26968831657286,1.26319125050097,1.25740513249373,1.25225957018212,1.24769855169698,1.2436764168602,1.24015286448465,1.23708790276687,1.23443835734567,1.23215745220654,1.23019699803358,1.22851052811245,1.22705584491084,1.22579632309083,1.22470114220408,1.22374484354499,1.22290659545803,1.22216940436273,1.22151939043345,1.22094517170027,1.22043736142685,1.21998816693119,1.21959107293114,1.21924059270882,1.21893207467017,1.21866153982147,1.21777363188192,1.21747183602771,1.2175925083421,1.21803671088498,1.21873932593661,1.21965429944957,1.22074678904088,1.2219886965649,1.22335603728636,1.22482738468859,1.22638304467718,1.22800470032785,1.2296753519695,1.2313794330952,1.23310295699556,1.23483366577451,1.23656107610685,1.23827646244635,1.23997275696999,1.24164439436262,1.24328713772161,1.24489786919902,1.24647441359269,1.2480153628616,1.24951992369438,1.25098778799465,1.25241902450599,1.25381399004562,1.25517325779177,1.25649756001352,1.25778774276436
