p_bar,of_1,of_1_5,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
61,1573.7176382564,1886.30989425132,2625.33672556398,2759.79120452885,2882.93219494907,2994.66835735681,3094.86274391708,3183.37835416477,3260.17859109146,3325.46007502043,3379.7542387692,3423.93785732679,3459.14288969548,3486.61345688801,3507.57215647431,3523.13027133221,3534.24685226776,3541.722402989,3546.21186818941,3548.24536724595,3548.25004459017,3546.56992520549,3543.48270166857,3539.21338772789,3533.94519136062,3527.82807980043,3520.98549524356,3513.51961681569,3469.38215119663,3418.05083846378,3362.67433037139,3304.83237241265,3245.40197191756,3184.93107010847,3123.81329838034,3062.37429080114,3000.91290036143,2939.71822378594,2879.07141733383,2819.24086220353,2760.47293652729,2702.98374976695,2646.95309333867,2592.52069096708,2539.78718227178,2488.81624692926,2439.63914646634,2392.2600046707,2346.66085586035,2302.80717364149,2260.65198482167,2220.13948877762,2181.20846172616,2143.79438506316,2107.83135573217,2073.25345987075,2039.99577200266,2007.99505932881,1977.1902578189
62,1574.66182351078,1886.64211044802,2625.47570425809,2760.01320875635,2883.26109279967,2995.12705616205,3095.47189482995,3184.15481559011,3261.13344436487,3326.59664349126,3381.06711259359,3425.41372379857,3460.76293899077,3488.3563402759,3509.41649808457,3525.05628141016,3536.23709463681,3543.76197535854,3548.28825641031,3550.34815764656,3550.37060124024,3548.70108485222,3545.61850737991,3541.3488658855,3536.07616919437,3529.95103791815,3523.09744913712,3515.61802182243,3471.38545073313,3419.93088342471,3364.41625264764,3306.42832529707,3246.84875117158,3186.22873172488,3124.96483266338,3063.38526421147,3001.79114656358,2940.47345372659,2879.71471435835,2819.78411892395,2760.92827330913,2703.36299443116,2647.26736753903,2592.78012632963,2540.00076869221,2488.99178866828,2439.78329987882,2392.37836760623,2346.75808652035,2302.88711541463,2260.7177907847,2220.19373440424,2181.25324602319,2143.83141614813,2107.86202315955,2073.27889440502,2040.01689472174,2008.0126215716,1977.20487354181
63,1575.59591770953,1886.97307344844,2625.61152325628,2760.23025169624,2883.58280457683,2995.57598552191,3096.06842304268,3184.91564443234,3262.06963913674,3327.71166474327,3382.3558262192,3426.86317977454,3462.35471684059,3490.06945986963,3511.22990610379,3526.95045823229,3538.19482496073,3545.76853584299,3550.33127769832,3552.41734359607,3552.45741185264,3550.79843570411,3547.72050678202,3543.45059461239,3538.17350015125,3532.04049033777,3525.17607139662,3517.68329744081,3473.35693965055,3421.78076410771,3366.12984598709,3307.99794935779,3248.27118493212,3187.50412195287,3126.09618557208,3064.37813290725,3002.65332028725,2941.21456449033,2880.34574175722,2820.3168193861,2761.37461265556,2703.73463409089,2647.57525950824,2593.03423699141,2540.20993303442,2489.1636702813,2439.92443066266,2392.49423760556,2346.85326207564,2302.96536268679,2260.78219854832,2220.2468249838,2181.29707476662,2143.86765542917,2107.89203326976,2073.30378224088,2040.03756188007,2008.02980348338,1977.21917116013
64,1576.52015291281,1887.30279499415,2625.74430233211,2760.44251849872,2883.8975939686,2996.01549762575,3096.65277545539,3185.66138423956,3262.98781227498,3328.80586231777,3383.62117843414,3428.28708679708,3463.91913536369,3491.75376740833,3513.01336312598,3528.81380772269,3540.12106654453,3547.74312034399,3552.34197669317,3554.45397534301,3554.51152972995,3552.86303201672,3549.78975334272,3545.51962513589,3540.23823199683,3534.09748032941,3527.22239991571,3519.7164754324,3475.29761078736,3423.60142558685,3367.81600252723,3309.542034099,3249.67005046623,3188.7579578981,3127.20801310611,3065.35349148858,3003.499955161,2941.94203369466,2880.96491638132,2820.83932623038,2761.81226690301,2704.09893527883,2647.87699482857,2593.28321253869,2540.41483371881,2489.33202355462,2440.06264808899,2392.60770507332,2346.94645722827,2303.04197714742,2260.84525907116,2220.29880267055,2181.3399828504,2143.90313180295,2107.92141004947,2073.32814332385,2040.05779009265,2008.04661892969,1977.23316226513
65,1577.4347529584,1887.63128659077,2625.87415496772,2760.65018470447,2884.20571115363,2996.44592685699,3097.22537666936,3186.39255176084,3263.88857006673,3329.87992493111,3384.86392994972,3429.68626566654,3465.45706380748,3493.41017035307,3514.76780601741,3530.64728906567,3542.0167952462,3549.68671680935,3554.32134973527,3556.45905462214,3556.53395955333,3554.89587940461,3551.82725194222,3547.55696021002,3542.27136418893,3536.12300306442,3529.2374247353,3521.71853998374,3477.20841114291,3425.39376920507,3369.47557300138,3311.0613764402,3251.04608867948,3189.99092295122,3128.30094024991,3066.31190627424,3004.3315609521,2942.65631097265,2881.57263480363,2821.35198432095,2762.24153296339,2704.45615127288,2648.17278779268,2593.52723301623,2540.6156211546,2489.49697358383,2440.19805586421,2392.71885579578,2347.03774285662,2303.11701734268,2260.90702071941,2220.34970744149,2181.38200336133,2143.93787269344,2107.95017626684,2073.35199659056,2040.07759513889,2008.0630810839,1977.24685787529
66,1578.33993385394,1887.95855951781,2626.00118877416,2760.85341688036,2884.50739368502,2996.86759094629,3097.78663041613,3187.10963867729,3264.77248973288,3330.93450864756,3386.08480576025,3431.06149895301,3466.96933118886,3495.0395342735,3516.49412846346,3532.45181762675,3543.88294236445,3551.60026814842,3556.27034779976,3558.43353759966,3558.52566033307,3556.89793779211,3553.83396182001,3549.56355705505,3544.27385080704,3538.11800853197,3531.22209094527,3523.69043059145,3479.0902446598,3427.15865523286,3371.10936926088,3312.55670120286,3252.40000634289,3191.20366885975,3129.37556288494,3067.25391704966,3005.14861854806,2943.35778609322,2882.16927459624,2821.85512187171,2762.66269330652,2704.80652294505,2648.46284212995,2593.76646954389,2540.81243825928,2489.65863920882,2440.33075249093,2392.82777124897,2347.12718627298,2303.19053885905,2260.96752941031,2220.39957725603,2181.42316771731,2143.97190414264,2107.97835354429,2073.37536002682,2040.09699200818,2008.07920246248,1977.26026846218
67,1579.2359041457,1888.28462483804,2626.12550587747,2761.05237320279,2884.80286730386,2997.28079203341,3098.33692087516,3187.81311316164,3265.64012122951,3331.97023888657,3387.28449732411,3432.41353331766,3468.45672872684,3496.64268546907,3518.193183978,3534.22826726176,3545.72039738307,3553.48467492923,3558.18987921107,3560.37833759828,3560.48754813848,3558.87012414355,3555.81079930153,3551.54033007738,3546.24660326252,3540.08340423773,3533.1773013694,3525.63304473583,3480.94397494863,3428.89690532752,3372.71816660813,3314.02880503955,3253.73247815231,3192.39681764345,3130.4324495575,3068.18004121036,3005.95159116884,2944.04694852369,2882.7551955089,2822.34905148463,2763.07601686602,2705.15027954382,2648.74735167603,2594.00108488483,2541.00542093727,2489.81713341449,2440.46083160454,2392.93452886979,2347.21485144567,2303.26259451996,2261.02682877692,2220.44844818465,2181.46350577274,2144.00525089709,2108.00596242942,2073.39825072527,2040.11599494646,2008.09499496199,1977.27340397988
68,1580.12286526561,1888.60949340616,2626.24721557252,2761.24720399814,2885.09234668981,2997.685817647,3098.87661388987,3188.50342132394,3266.4919889123,3332.98771227885,3388.46366458125,3433.74308166176,3469.92001209459,3498.22041330097,3519.8657879671,3535.97747331518,3547.53001011442,3555.34079795285,3560.08081215719,3562.2943276214,3562.42049862671,3560.8133149923,3557.75864032386,3553.48815338905,3548.19049280948,3542.02005770363,3535.10391905347,3527.54724033593,3482.77042701503,3430.6093048112,3374.30270595712,3315.47834653256,3255.04414863494,3193.57096336736,3131.47214311515,3069.09076586679,3006.74091933878,2944.72414935575,2883.33074055843,2822.83407110976,2763.48175987632,2705.48763941675,2649.02650099116,2594.23123397,2541.19469852203,2489.97256370119,2440.58838227962,2393.03920231437,2347.30079921378,2303.33323456131,2261.08496031285,2220.49635452816,2181.50304591696,2144.03793648897,2108.03302246175,2073.42068494024,2040.13461750146,2008.11046989663,1977.28627389561
69,1581.00101185813,1888.93317587671,2626.36638582318,2761.4380522379,2885.37603615318,2998.08294160993,3099.40605809214,3189.18098855563,3267.32859307726,3333.98749838529,3389.62293782201,3435.05082511735,3471.35990350664,3499.77347235387,3521.51272004938,3537.70023444536,3549.31259356368,3557.16946022411,3561.94397706983,3564.18234275026,3564.32534938792,3562.72834878631,3559.67832277834,3555.40786314445,3550.10635287333,3543.92879878642,3537.00276956774,3529.43383807268,3484.57039056016,3432.29660478318,3375.86369583658,3316.90598893341,3256.33563391644,3194.72667378493,3132.49516249424,3069.98656092997,3007.51702602546,2945.3897616014,2883.8962370365,2823.31046493263,2763.88016664626,2705.81881067824,2649.30046593099,2594.45706438253,2541.38039418373,2490.12503242596,2440.71348931529,2393.14186169446,2347.38508748314,2303.40250679343,2261.14196350631,2220.54332892863,2181.54181516593,2144.06999195342,2108.05956219313,2073.44267813984,2040.15287256567,2008.12563803309,1977.2988872186
70,1581.87051279063,1889.25568271176,2626.48311626318,2761.62505399766,2885.65413027518,2998.47242487603,3099.92558594276,3189.84622076686,3268.15041138843,3334.97014128976,3390.76291942035,3436.33741489395,3472.77709365563,3501.30258444205,3523.13472611516,3539.39731485947,3551.06892560771,3558.97144970205,3563.78016856754,3566.04318204779,3566.20290219144,3564.61602806575,3561.57064868538,3557.30025970988,3551.9949812128,3545.8104218304,3538.87464315571,3531.29362349589,3486.34462121977,3433.95952408076,3377.40181424967,3318.31236681201,3257.60752336077,3195.86449186241,3133.50200292464,3070.86787663182,3008.28030744595,2946.04414443289,2884.45199744349,2823.77850419654,2764.27147027559,2706.14399182759,2649.56941417511,2594.67871680555,2541.56262530657,2490.27463711842,2440.83623349854,2393.24257379614,2347.46777140748,2303.47045675128,2261.1978759643,2220.5894062537,2181.57984368802,2144.10141784245,2108.08557537262,2073.46425178867,2040.1707724234,2008.14050963189,1977.3112525359
71,1582.73158819717,1889.57702418783,2626.59749036819,2761.8083388814,2885.92681449972,2998.85451630544,3100.43551469531,3190.49950553723,3268.95790020382,3335.93616107771,3391.88418544248,3437.60347399357,3474.17224351094,3502.80844047339,3524.7325202397,3541.06944626367,3552.79975111653,3560.74752082071,3565.5901478565,3567.87761108761,3568.05392470541,3566.47712148711,3563.4363862161,3559.16610968017,3553.85714192959,3547.66568766778,3540.72029671942,3533.12734901004,3488.09384270634,3435.59875110181,3378.9177104017,3319.69808768424,3258.86038109348,3196.98493721568,3134.493139261,3071.73514199667,3009.03115165344,2946.68763126021,2884.99832322948,2824.23844796452,2764.65589331855,2706.46337232138,2649.83350571617,2594.89632543724,2541.74150383796,2490.42147077322,2440.95669184779,2393.34140228219,2347.54890355637,2303.53712938044,2261.25273539677,2220.63460700094,2181.61714527195,2144.13224794469,2108.11109100431,2073.4853997229,2040.18832875662,2008.15509444526,1977.32337800414
72,1583.58439527473,1889.89721040262,2626.70958765234,2761.98804720961,2886.19426568211,2999.2294533826,3100.9361472904,3191.14121318309,3269.75149579448,3336.88605520942,3392.98728714219,3438.84959880492,3475.54598599143,3504.29170218269,3526.30678646311,3542.71732967751,3554.50578378687,3562.4983965003,3567.37464428715,3569.68636336199,3569.87915289058,3568.31236570659,3565.27627157322,3561.00614775499,3555.69356733807,3549.49532548134,3542.54045567335,3534.93573571583,3489.81874858396,3437.21494571281,3380.4120063076,3321.06373352591,3260.09474741827,3198.08850733336,3135.46902564828,3072.58876763917,3009.76992612158,2947.32055258461,2885.53549266591,2824.69054683761,2765.0336527148,2706.77713869924,2650.09289996403,2595.11002574944,2541.91714429452,2490.56562972493,2441.07494505092,2393.4384144815,2347.62853479775,2303.60256232308,2261.30657145045,2220.67896538135,2181.65374884161,2144.16249946657,2108.13613296199,2073.50615552644,2040.20555273719,2008.16940180642,1977.33527143614
73,1584.42910442868,1890.21625128114,2626.81948390754,2762.16426367331,2886.45665259735,2999.59746288282,3101.42777318533,3191.77169774884,3270.53161550443,3337.82029979721,3394.07275235171,3440.07636058696,3476.8989275224,3505.75300374558,3527.85818044753,3544.3416371237,3556.1877078661,3564.22476987694,3569.13435719997,3571.47014224293,3571.67929236518,3570.12246719399,3567.09101074317,3562.82107848663,3557.50495970721,3551.30003453782,3544.33581566965,3536.71947512555,3491.52000392405,3438.80873988873,3381.88529828861,3322.40986218219,3261.31114013573,3199.17567896043,3136.43009880289,3073.42914678756,3010.49698268815,2947.94321983293,2886.0637840455,2825.13502999113,2765.40494077294,2707.08544958208,2650.34772573671,2595.31992096175,2542.08962861133,2490.70717865503,2441.19104409946,2393.53364888088,2347.70671121689,2303.66679754378,2261.35941912947,2220.72250742307,2181.68968004634,2144.19219473515,2108.16071069048,2073.52652524343,2040.22245501026,2008.18344060503,1977.34694027002
74,1585.26588065332,1890.5341565816,2626.92725142539,2762.33711703217,2886.71413641216,2999.95876149128,3101.91066912573,3192.39129792898,3271.2986588012,3338.73935079417,3395.14108677701,3441.28430685099,3478.23164948607,3507.19295328245,3529.38733102184,3545.94301320325,3557.84617974124,3565.92730591571,3570.86995755214,3573.22962257917,3573.45502015493,3571.90810360288,3568.88128112943,3564.61157790948,3559.29199288424,3553.08048580502,3546.10704420676,3538.47923076235,3493.19824683577,3440.38074076121,3383.33815836756,3323.7370086814,3262.51005577271,3200.24690911729,3137.37677232945,3074.25665623884,3011.21265840768,2948.55593136182,2886.58345789699,2825.57212936772,2765.76995977312,2707.3884806985,2650.59813514451,2595.52614226641,2542.25906945857,2490.8462130877,2441.30507031358,2393.627179848,2347.78347969124,2303.72987239035,2261.41131093656,2220.76526045709,2181.72495759945,2144.22134841533,2108.18483885181,2073.54652107074,2040.23904574172,2008.19721933091,1977.35839160969
75,1586.09488376335,1890.85093590097,2627.03295920295,2762.50671465179,2886.96687112358,3000.31355637873,3102.3850998636,3193.00033792645,3272.05300826951,3339.64364510218,3396.19277520536,3442.47396264917,3479.54470957473,3508.61213426133,3530.89484162273,3547.52207656543,3559.48182943272,3567.60664291641,3572.58208942709,3574.96545221904,3575.20698621849,3573.66992574475,3570.6477330771,3566.3782950608,3561.05531381025,3554.83732346068,3547.85478213062,3540.21563965287,3494.85408992285,3441.93153079365,3384.77113581061,3325.0456864605,3263.69197072601,3201.30263620141,3138.30944775657,3075.07165725072,3011.91727635017,2949.1589728686,2887.09476480593,2826.00206153418,2766.12889524963,2707.68638945622,2650.84426056095,2595.72880016248,2542.42555823135,2490.98281086657,2441.41708763796,2393.7190542298,2347.85888372503,2303.7918235263,2261.46227556203,2220.80724781477,2181.75960185779,2144.24997737988,2108.20853145556,2073.56615466266,2040.25533464542,2008.21074609644,1977.36963224324
76,1586.91626861292,1891.16659867998,2627.13667313378,2762.67315912404,2887.2150039667,3000.66204573688,3102.85131882515,3193.59912825215,3272.79503053464,3340.53360160501,3397.22828263166,3443.64583177717,3480.83864305354,3510.01110680779,3532.38129164054,3549.07942128034,3561.09526198675,3569.2633939201,3574.27137145573,3576.67825343265,3576.93581487253,3575.4085586717,3572.3909912969,3568.12185340135,3562.79554393591,3556.57116630212,3549.57964503709,3541.92931372148,3496.48812161353,3443.46166941728,3386.18475726734,3326.33638896061,3264.85734233682,3202.34328098065,3139.22850877675,3075.8744963749,3012.61114635678,2949.75261854108,2887.59794459194,2826.42503411105,2766.48192512412,2707.97932690594,2651.08622917696,2595.92800091273,2542.58918410401,2491.11704339979,2441.52715503104,2393.80932255079,2347.93296535299,2303.85268491588,2261.51234146428,2220.84849301536,2181.79363228427,2144.27809776053,2108.23180189609,2073.58543716162,2040.27133100857,2008.22402865774,1977.38066866077
77,1587.73018530311,1891.48115420827,2627.23845618601,2762.8365485259,2887.45867579462,3001.00441927785,3103.30956873426,3194.18796647111,3273.52507712374,3341.40962215243,3398.24805531091,3444.80039789785,3482.11396394078,3511.39040892914,3533.84723767698,3550.61561812225,3562.68705877731,3570.89814802421,3575.93839813876,3578.36862424199,3578.64210612458,3577.12460310673,3574.11165619678,3569.84285214369,3564.51328054519,3558.28260906417,3551.28222458321,3543.62084109401,3498.10090742103,3444.97169422932,3387.57952974626,3327.60958865307,3266.00660988747,3203.36924752178,3140.13432376249,3076.66550623655,3013.29456570812,2950.33713129009,2888.0932272645,2826.84124620464,2766.82922003199,2708.26743795334,2651.32416307389,2596.12384692163,2542.75003149298,2491.24898150162,2441.63533119947,2393.898033343,2348.0057643089,2303.91248953561,2261.5615358695,2220.88901855916,2181.82706749823,2144.30572498957,2108.25466298698,2073.60437922698,2040.28704371581,2008.23707443475,1977.39150707099
