p_bar,of_1,of_1_5,of_2,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
22,2877.7403838696,3437.07924855431,3741.34940779166,3939.78285784774,4004.63539499613,4064.73560225976,4119.47923767239,4168.73937505516,4212.69022301716,4251.60111876133,4285.67930199209,4314.97077263746,4339.32597276068,4358.45332165318,4371.99644593564,4374.79442408604,4338.37172495235,4296.24259752763,4251.51535363944,4204.97888203998,4157.46271869434,4109.79255962143,4062.69002590976,4016.70638337196,3972.20618261513,3929.39248379589,3888.3460390907,3849.06600465082,3811.50198653242,3775.57686637764,3741.20195933333,3708.28616638938,3676.74143037049,3646.48496192362,3617.44082552513,3589.53997687941,3562.71985170722,3536.92373851039,3512.09996778667,3401.00698781156,3308.06848168256,3228.90517685126,3159.74568114575,3097.73247171767,3040.97928442854,2988.37100736939,2939.28752543829,2893.36628511898,2850.34501533408,2809.98434241839,2772.04481067699,2736.29048091805,2702.49912426251,2670.46971553522,2640.02344300583,2610.99955073239,2583.24788604125,2556.62048462574,2530.96428723838,2506.11557966385,2481.89594103349,2458.10878226594,2434.53506946686,2410.92663945374,2386.99611610112,2362.4011898897,2336.72192655865
23,2878.6853403547,3439.83168676678,3745.921413364,3946.07490636561,4011.12853606115,4071.46103148239,4126.456706531,4175.97123427277,4220.16200946745,4259.28374555192,4293.53003905292,4322.93290199266,4347.32809659896,4366.41120681678,4379.81456150287,4382.32755298019,4345.61778809104,4303.15075915193,4258.10160299885,4211.28187506806,4163.5339684893,4115.68664093082,4068.45610055245,4022.38299004563,3977.82134813174,3934.96492530366,3893.88784675168,3854.58504892887,3817.00377275439,3781.06583913304,3746.68217457443,3713.76215547765,3682.2180165814,3651.96755441164,3622.93552274476,3595.05326369306,3568.25862153053,3542.49509065654,3517.71102491405,3406.91119526748,3314.35559824834,3235.56272614391,3166.70443666633,3104.91469786691,3048.31869726114,2995.81378081233,2946.78793321761,2900.88356333861,2857.84257283834,2817.43026709519,2779.41249746195,2743.55885127313,2709.65239169504,2677.49683754734,2646.91735789254,2617.75627934352,2589.86555748285,2563.09835035982,2537.30180725394,2512.31162045862,2487.94810247736,2464.01281315411,2440.28431419045,2416.51142887311,2392.40303421719,2367.61214296652,2341.71301475917
24,2879.57622027163,3442.43998864852,3750.28272808721,3952.10064066727,4017.34759383486,4077.90306887366,4133.14077469711,4182.89984062422,4227.32135660508,4266.64587710447,4301.05364290429,4330.5628192022,4354.9948374185,4374.03266947763,4387.29750110558,4389.53070119035,4352.5440246461,4309.75218753254,4264.39495801271,4217.30543616628,4169.33809972549,4121.32397860448,4073.9734861057,4027.81725055659,3983.19878206045,3940.30321149958,3899.19843234854,3859.87546575829,3822.279385749,3786.33104758218,3751.94117214366,3719.01938484568,3687.47839076091,3657.23653792497,3628.21911623722,3600.35791453672,3573.59108785229,3547.86227723074,3523.11979773235,3412.61685162432,3320.43685169823,3241.99977708291,3173.42660307789,3111.84611517554,3055.39582946762,3002.98546344426,2954.01087412914,2908.11924518773,2865.05644855364,2824.59220802764,2786.49737991013,2750.54677288643,2716.52846430056,2684.25067964047,2653.54237334903,2624.24879813597,2596.22387452673,2569.32186704944,2543.39001061441,2518.26340967104,2493.7611168676,2469.68287689604,2445.8049060274,2421.87309718992,2397.59269441263,2372.61218523301,2346.5002424403
25,2880.41816055846,3444.91693604199,3754.45089010902,3957.88155775262,4023.31469510862,4084.08459318474,4139.55511593335,4189.54958637998,4234.19341975928,4273.71329275997,4308.27637720159,4337.88717758607,4362.35321783833,4381.34487673335,4394.47239401278,4396.43075090411,4359.17655143658,4316.07205244843,4270.4194948544,4223.07265002922,4174.8971799124,4126.7257385707,4079.26274148577,4033.0289802993,3988.35792026846,3945.42646179294,3904.29666800925,3864.95591932409,3827.34732284536,3791.39080273462,3756.99699159708,3724.07575437732,3692.54024796933,3662.30936638174,3633.30887356757,3605.47096141497,3578.73404341635,3553.04184842924,3528.34259362491,3418.13924405248,3326.32731173836,3248.23213128109,3179.92921385428,3118.54503783453,3062.23012194898,3009.90640999704,2960.97740016928,2915.09487009741,2872.008474739,2831.4921209356,2793.32139785436,2757.27606085467,2723.14894952925,2690.75258175736,2659.91951911774,2630.49779760177,2602.34321383889,2575.31097783417,2549.24848228603,2523.99015028063,2499.35380306555,2475.13740350308,2451.11487809552,2427.02926933845,2402.58231245676,2377.41805635377,2351.09985124155
26,2881.21560008713,3447.27375381783,3758.44131825752,3963.43664851355,4029.04938623942,4090.02581477469,4145.72064388959,4195.94209557874,4240.8004256029,4280.50877245694,4315.22148665428,4344.92969184621,4369.42708642863,4388.37180371636,4401.36307220891,4403.05136345857,4365.5384255392,4322.13256731756,4276.19651177683,4228.60387493876,4180.23057830854,4131.91058648264,4084.34188548227,4038.03572292135,3993.31591594558,3950.35155292465,3909.19921366597,3869.84288635487,3832.22384908522,3796.26124972263,3761.86561111118,3728.94706850438,3697.41922494071,3667.2014702,3638.21998810717,3610.40742699834,3583.70229759758,3558.04839743929,3533.39379318088,3423.49187912965,3332.0403575066,3254.27387220985,3186.22746391296,3125.02779225356,3068.83888017433,3016.59466909078,2967.70620807186,2921.82955179095,2878.71801348827,2838.14946889329,2799.90399399118,2763.76604166547,2729.53298781032,2697.02144448584,2666.06741832978,2636.52159736878,2608.24155463291,2581.08338898478,2554.89455858882,2529.50884060466,2504.74281824712,2480.39270519534,2456.23019071339,2431.99554124208,2407.38706539294,2382.04456405121,2355.52620426176
27,2881.97247904855,3449.52032930745,3762.26778985292,3968.78277328178,4034.56905563505,4095.74467564423,4151.65592576816,4202.0965444862,4247.16211061119,4287.05251709144,4321.90963845715,4351.7112767582,4376.23762611212,4395.13473651035,4407.99090917766,4409.41367955363,4371.65010403642,4327.95343285506,4281.74489116657,4233.91715481789,4185.35571563186,4136.89521004032,4089.22689213821,4042.85301668783,3998.08798353848,3955.09345651131,3913.92084979174,3874.55100783801,3836.92345475001,3800.95671121168,3766.56120457147,3733.64734467665,3702.12916830638,3671.92652431169,3642.96603365035,3615.18062824136,3588.50897767346,3562.89486083558,3538.28614226559,3428.68675223786,3337.58792859333,3260.13761203898,3192.33497011259,3131.30899510378,3075.2375797079,3023.0664984263,2974.21398059193,2928.34033281739,2885.20231892426,2844.58158888052,2806.26249839388,2770.03392365564,2735.69761692336,2703.07408996923,2672.00264477057,2642.33650083083,2613.9349133765,2586.65480568057,2560.34366216678,2534.83460112633,2509.94297819683,2485.4632888422,2461.16503670569,2436.78578095276,2412.02049781546,2386.50487183215,2359.79206832879
28,2882.69225526104,3451.66541821013,3765.94243586019,3973.93496949519,4039.88910936271,4101.25717713537,4157.37752120838,4208.03003735132,4253.29608032417,4293.36262843948,4328.35920176434,4358.25063712731,4382.80373875381,4401.6526664215,4414.3748622459,4415.53638663012,4377.52982052074,4333.55220236386,4287.0814513131,4239.02851626881,4190.28785952281,4141.69406568779,4093.93201076817,4047.49470425704,4002.68768025626,3959.66543708072,3918.4747712842,3879.09326834752,3841.45895837449,3805.48995117818,3771.09639987936,3738.18907274063,3706.68242183228,3676.49673021733,3647.55900311985,3619.80242403773,3593.16577204347,3567.59275582292,3543.03099035301,3433.73456793826,3342.980729289,3265.83469495785,3198.26398663009,3137.40178902482,3081.44011842364,3029.33635105256,2980.5156700368,2934.64247599203,2891.47683503065,2850.8039929712,2812.4123662102,2776.09509489094,2741.6580711966,2708.92555755897,2677.74001363804,2647.95707871928,2619.43760489093,2592.03927841664,2565.60957500675,2539.98094302784,2514.96752091871,2490.36211666643,2465.93209548765,2441.41237656144,2416.49469317694,2390.8107339707,2363.90883653088
29,2883.37795896884,3453.71680841203,3769.47619248959,3978.90670570363,4045.02344254495,4106.57765045725,4162.90026205944,4213.75789501443,4259.21810599578,4299.45524816589,4334.58669932017,4364.56458687264,4389.14235596999,4407.94260482423,4420.53192580041,4421.43631162609,4383.19389585657,4338.94458217217,4292.2212340328,4243.95237365413,4195.04073875536,4146.32045769411,4098.46992357109,4051.97317059653,4007.12713826302,3964.07959179475,3922.8727275207,3883.48135139127,3845.84205427733,3809.8723934231,3775.48250102029,3742.58342757262,3711.09002324621,3680.92298328224,3652.00963994573,3624.28342009577,3597.683133212,3572.15238177759,3547.63848723247,3438.64492026266,3348.22835655163,3271.37536603108,3204.02558433486,3143.31803726337,3087.45902651124,3035.41728566564,2986.62473058494,2940.74970598712,2897.55544242245,2856.83061781879,2818.36752343037,2781.96337438115,2747.42802910606,2714.58934896267,2683.29282411052,2653.39641036626,2624.76247659879,2597.2494163863,2570.7046463624,2544.95998921311,2519.82832395167,2495.10081730369,2470.54274174916,2445.88645976766,2420.82048726151,2394.97269185206,2367.88672969407
30,2884.03230585018,3455.68145542454,3772.87881934889,3983.71009106825,4049.98451839612,4111.71898161294,4168.23748500722,4219.29389490002,4264.94237129508,4305.34491656945,4340.60697145359,4370.66808894962,4395.26870564747,4414.01984948427,4426.47737956508,4427.12856129801,4388.65695344902,4344.14468155451,4297.17774904811,4248.70164794455,4199.62667802874,4150.78621334346,4102.85207979281,4056.29954058794,4011.41725757506,3968.34659239847,3927.12533453344,3887.72573656634,3850.0830385232,3814.11430232511,3779.72966202896,3746.84044899657,3715.36189487374,3685.21507468327,3656.32762280705,3628.63313890275,3602.07044547371,3576.58298551557,3552.11774615845,3443.42644543101,3353.33960659637,3276.76891236961,3209.62980121886,3149.06848649023,3093.30564239414,3041.32110695235,2992.55331443458,2946.67441142429,2903.45066424578,2862.67403266102,2824.14051185031,2787.65118750046,2753.01981962414,2720.0776323045,2688.67306048078,2658.66628059953,2629.92110367193,2602.29657929642,2575.64005261335,2549.78266073183,2524.53608565726,2499.6898639036,2475.00721947783,2450.21799894355,2425.00763692571,2399.00023478987,2371.73494302117
31,2884.65770750872,3457.56559511777,3776.15910092507,3988.35605883755,4054.78358453616,4116.69284475748,4173.40122628511,4224.6504719093,4270.48164942467,4311.04474391639,4346.43339960322,4376.57480314742,4401.19653347073,4419.8982075132,4432.22501190701,4432.62673666016,4393.93230477053,4349.16522183459,4301.96317201915,4253.28793431562,4204.05691833057,4155.1019909701,4107.08878028676,4060.48384424772,4015.56786874641,3972.47607987242,3931.24214879136,3891.83587562804,3854.19126491249,3818.22493441916,3783.84703926035,3750.96912291538,3719.50697691603,3689.38182956433,3660.52164629052,3632.86011855323,3606.33616626438,3580.89289971397,3556.47698036958,3448.08694545209,3358.3223459486,3282.02378177924,3215.08576936854,3154.66290484606,3098.99026089109,3047.05852288078,2998.31243608556,2952.42781391284,2909.17380938345,2868.34561404102,2829.74268115902,2793.16986821677,2758.44459531264,2725.4014132974,2693.89156096038,2663.77734577394,2634.92395274947,2607.19101622672,2580.42584906153,2554.45883009309,2529.10047733264,2504.13872422549,2479.33478763437,2454.41605549999,2429.0649591739,2402.90193667607,2375.46178412758
32,2885.8103544859,3459.37483814731,3779.32504516627,3992.85450481361,4059.43082630282,4121.50968223788,4178.40238565693,4229.83888762137,4275.84759369641,4316.56665101917,4352.07814895362,4382.29705403976,4406.93828953598,4425.59018316908,4437.78730790973,4437.94316678382,4399.03188067951,4354.01771197169,4306.58851510499,4257.72174152838,4208.34124087742,4159.2774287969,4111.1893420626,4064.53515627353,4019.58786219114,3976.47683304563,3935.23181907232,3895.8203225523,3858.17519838651,3822.21266598395,3787.84291755222,3754.97776829434,3723.53335734206,3693.43123073558,3664.59958516821,3636.97220433245,3610.48793929333,3585.08965937519,3560.7236178469,3452.63349490678,3363.18377442285,3287.14768385577,3220.40182276671,3160.11019885056,3104.52225923833,3052.63927791841,3003.91211135698,2958.02011234384,2914.73523629457,2873.85570969816,2835.18433560305,2798.52961607447,2763.71247842599,2730.57067978125,2698.95816056641,2668.73927583158,2639.78051953469,2611.9420876398,2585.07117333143,2558.99745277285,2533.5302714324,2508.45598482385,2483.53382383352,2458.4888311753,2433.00044812032,2406.68557022893,2379.07478064981
33,2886.38625894911,3461.11424951258,3782.38384869743,3997.21442240497,4063.93549660893,4126.17910379258,4183.25086531654,4234.86937362439,4281.05071149988,4321.92142577769,4357.55223147682,4387.8460408617,4412.50528645788,4431.10713695569,4443.17560868522,4443.08904665758,4403.96655029122,4358.7125981191,4311.06377005957,4262.01260587915,4212.48887905212,4163.32127083736,4115.16221987779,4068.46171103842,4023.48533591889,3980.35679668067,3939.10219781786,3899.68684365032,3862.04252405697,3826.08510104868,3791.72481716134,3758.87375311093,3727.44837606136,3697.37052235344,3668.56858125813,3640.97639445809,3614.53269705332,3589.18010035883,3564.86439839549,3457.07253010601,3367.93046892622,3292.14767528764,3225.58558950463,3165.41851326876,3109.91020407459,3058.0722664903,3009.36147608148,2963.46060312751,2920.14430216363,2879.21369842601,2840.4748586439,2803.73974703376,2768.83268490782,2735.59452427307,2703.88181171843,2673.56087170528,2644.49944681951,2616.55825312545,2589.5843396286,2563.40665968266,2537.83344900837,2512.64945881331,2487.61200685311,2462.44378608326,2436.82137577624,2410.35820457783,2382.58078005359
34,2886.93897647829,3462.78841595648,3785.34207773419,4001.44400446397,4068.30602652661,4130.70982617593,4187.9557316214,4239.7512535854,4286.10058698583,4327.11891432359,4362.86569732728,4393.23197070271,4417.90783404429,4436.45942113275,4448.40024704854,4448.07457300576,4408.74618014063,4363.25938982626,4315.39803034571,4266.16920149284,4216.50804530588,4167.24149672298,4119.0151078334,4072.27100770118,4027.26759991128,3984.12321647364,3942.86043709586,3903.44251390939,3865.80024000821,3829.84916331263,3795.49958481554,3762.66384328361,3731.25871397086,3701.20629265277,3672.43513495053,3644.87909634456,3618.47676475466,3593.17044319347,3568.90545620821,3461.40992519207,3372.56845542393,3297.03023361066,3230.64406990369,3170.59531677902,3115.16194355146,3063.365630111,3014.66888690409,2968.75778660866,2925.40958450604,2884.4281945628,2845.62282299701,2808.8087688251,2773.81363021388,2740.48124862295,2708.67068763376,2678.25016800053,2649.08862355091,2621.04725234497,2593.97293795986,2567.69392354718,2542.01729495186,2516.72627394199,2491.5762879784,2466.287726999,2440.53437591119,2413.92628772048,2385.98602549246
35,2887.47005182566,3464.40150335914,3788.2057214803,4005.55073804955,4072.55011993426,4135.10981424406,4192.52514425707,4244.49306969298,4291.00602952372,4332.16811551952,4368.02773212755,4398.46415646785,4423.15534995251,4441.65649571591,4453.47066364534,4452.90905946622,4413.37987062999,4367.66676866681,4319.59959488038,4270.19957010224,4220.40644855146,4171.04532284187,4122.75503048517,4075.96981730148,4030.9413868723,3987.78270369162,3946.51306387436,3907.09378488617,3869.45473669395,3833.51117479063,3799.17347159963,3766.35421537926,3734.97046916914,3704.94456109163,3676.2051755973,3648.68614978408,3622.32585980845,3597.06635794408,3572.8523904348,3465.65105700134,3377.10327063727,3301.80132033291,3235.58372291092,3175.64747582229,3120.28468598124,3068.52684093591,3019.84200849404,2973.91945486987,2930.53894356207,2889.50707509378,2850.63607952516,2813.74447303557,2778.66302005755,2745.23845369767,2713.33227061959,2682.81451862398,2653.55527087626,2625.41616958167,2598.2439138788,2571.86603338059,2546.08847514938,2520.69295537927,2495.43304588806,2470.02688169221,2444.14551741636,2417.39571762839,2389.29622648387
