p_bar,of_1,of_1_5,of_2,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
18,388.104463336469,380.08587952372,378.131930743992,378.461758234271,378.604741659412,378.664118230681,378.69749541718,378.749991058538,378.853624761938,379.030783887611,379.297906374461,379.66742629581,380.147134669563,380.736879875484,381.422777666971,381.94227679724,380.795950100438,379.651298432186,378.611925380513,377.661534421604,376.778920505428,375.943148945581,375.136349999239,374.345206791842,373.561090169626,372.779325336088,371.998033421152,371.217049951217,370.437123271353,369.659359722424,368.88488612147,368.114684289172,367.349503206511,366.589816677558,365.83584851544,365.087602057427,364.344867282158,363.607277596652,362.874343151402,359.258267126018,355.671965701944,352.079172458597,348.485720638563,344.91507225367,341.390295819656,337.930899377899,334.555556546237,331.283656772909,328.134234084918,325.12378804828,322.264573961971,319.563973479713,317.024773600744,314.645897651737,312.423324134162,310.350966194609,308.421488790593,306.627031346402,304.959800583152,303.412529570454,301.978824792244,300.653414313148,299.432326683285,298.313073725358,297.294842021497,296.378766494468,295.568301590003
19,388.02183828058,379.880573335577,377.864871421638,378.203961656763,378.349609299669,378.411313063082,378.446367566872,378.500027884739,378.604660676813,378.783061941043,379.052052559112,379.424395079061,379.908122437816,380.503239329612,381.195837941263,381.721204143278,380.586241761273,379.450170897909,378.41858817906,377.474888166668,376.597612616522,375.765797222342,374.96175192037,374.172448051491,373.389544650132,372.608595279345,371.827866263349,371.047266255034,370.267564621353,369.489854780223,368.715230211139,367.944629699706,367.178752564616,366.418028321408,365.662644140217,364.912552432127,364.167516066664,363.427144774015,362.690934512429,359.051317112152,355.43284923105,351.80607008233,348.18232886811,344.587541206699,341.04519927788,337.574377371477,334.192971924279,330.919426376423,327.771781743734,324.765617529001,321.912419848381,319.218973183655,316.687618023594,314.31696274957,312.102741459144,310.038696782393,308.117386043772,306.330864621458,304.671309145018,303.131453625456,301.704934874474,300.386535450317,299.172357931082,298.060005195914,297.048770217256,296.139908405128,295.337000216596
20,387.943728492555,379.686747440206,377.611324173753,377.958281440624,378.106372509048,378.170252655359,378.206889946809,378.26165191609,378.367239304829,378.546832378291,378.817620139046,379.192683888008,379.680295652661,380.280615910369,380.979721562066,381.510814350712,380.38675662009,379.258871958217,378.234685057916,377.297293060842,376.425011899363,375.596873402729,374.795364854565,374.007729533541,373.225922467788,372.445695837791,371.665442175672,370.885139744154,370.105574017818,369.327819390517,368.552947621768,367.781843401313,367.015159447415,366.253295841958,365.496383557801,364.744344317569,363.99691257387,363.253678243493,362.514127196719,358.851030751162,355.201317132434,351.54218313001,347.89002052837,344.272814160373,340.714299880834,337.233070437199,333.846262821607,330.57142570654,327.425672754945,324.423728336515,321.576361905945,318.889808603407,316.365987982945,314.00320695797,311.796977409063,309.74088129643,307.827365008575,306.048414742771,304.396176880889,302.863388120878,301.443715954951,300.131994587418,298.924403938918,297.818628939609,296.814065998967,295.912084655472,295.116386241338
21,387.869628833528,379.503209695221,377.369956661814,377.723554750088,377.873901801396,377.939817514334,377.977941118626,378.033750603835,378.140255555403,378.320994286523,378.593514113634,378.971198266709,379.462580843633,380.067947939237,380.77337823988,381.310067282905,380.19649874144,379.076447332611,378.05929108693,377.127860568107,376.260268467468,375.435549216766,374.636387437295,373.850285702533,373.069459093272,372.289865938215,371.510008178066,370.729924965921,369.950413675514,369.172531655432,368.397317457134,367.625608872769,366.85803015409,366.094924172195,365.336388030277,364.582310967976,363.832402419687,363.086236174229,362.343291883902,358.656827641715,354.976772796756,351.286804454002,347.607915951259,343.969828415374,340.396374778976,336.905632273744,333.51399837838,330.23817415678,327.094404529613,324.096616163929,321.254912189788,318.575008612964,316.058436174782,313.703215929078,311.504649648015,309.456167119554,307.550106483671,305.778399129675,304.133154060297,302.607115568932,301.193982047663,299.888640187952,298.687339738607,297.587849858502,296.589664179053,295.694260326144,294.90545241856
22,387.799112354376,379.328933576701,377.139626607667,377.498781784426,377.651212600697,377.719036055974,377.758568619175,377.815375670125,377.922752483809,378.10459438215,378.378785415618,378.759012461961,379.254048392124,379.864320399727,380.575909866161,381.11807062042,380.014610472953,378.90206616289,377.891610288957,376.965826206284,376.102645059747,375.281121553516,374.484129937636,373.699433116286,372.919493007182,372.140449975069,371.360915666023,370.580979869181,369.801448194956,369.023359493846,368.247710093093,367.47532387021,366.706756519114,365.942319542217,365.182073836588,364.425879133077,363.673423118714,362.924266966572,362.17788775067,358.468207067124,354.758695239061,351.039311186923,347.335240630204,343.677652252314,340.09035645168,336.590891515325,333.194933101839,329.918384925096,326.776676049266,323.782979291133,320.946777851608,318.273297985212,315.763713702957,313.415766962438,311.224563332314,309.183388079696,307.28447977842,305.519709443511,303.881160838097,302.361583998015,300.954708449408,299.655472395072,298.460193415034,297.366721872508,296.374644477829,295.48553741048,294.703332069444
23,387.731808638637,379.163051520782,376.91934416338,377.283094161967,377.437452923616,377.507067569702,377.547934555679,377.605693086024,377.713910578234,377.896816174616,378.172612090246,378.555310409404,379.053893597463,379.668939075155,380.386532337528,380.934043814118,379.840348008489,378.735011060542,377.730943894281,376.810527557135,375.951504749799,375.132972028315,374.337985278353,373.554586639375,372.775444885262,371.99687932921,371.217602061014,370.437747572665,369.658126537119,368.879753150781,368.103603349226,367.330448932342,366.560815788372,365.794964767858,365.032935383928,364.274552433037,363.51948772308,362.767293165194,362.017446672897,358.284733723944,354.546626138992,350.799151223473,347.071308655934,343.395463904659,339.795307134971,336.287822363469,332.887988439453,329.610945231743,326.471353065957,323.481683492151,320.650834608794,317.983574774952,315.480733193559,313.139795631448,310.955678394602,308.921529178981,307.029492014104,305.271381169213,303.63925750132,302.125878071461,300.725003587674,299.431622855698,298.242119380836,297.154421909185,296.168206372867,295.285146121332,294.509271374428
24,387.667411123401,379.004788288377,376.708245998055,377.075732801698,377.231877957901,377.303177120423,377.345309854746,377.403972373173,377.513002711084,377.696935407297,377.974296111364,378.359384991857,378.861409349769,379.481106254246,380.204570143912,380.757323166724,379.67306209305,378.57465600644,377.576707445898,376.661386868215,375.8062920426,374.990564067007,374.197449036043,373.41523018108,372.636812084631,371.85865756206,371.079576198701,370.299741919845,369.519967698771,368.741246786583,367.964522696125,367.190528684883,366.419751893213,365.652416717838,364.888531974034,364.127898264292,363.370171935843,362.614898790441,361.861560783769,358.1060265434,354.340159611689,350.565832395791,346.815509353486,343.122534631267,339.510398355931,335.995521165888,332.592206901565,329.31486853597,326.177440537474,323.191734264146,320.366097010673,317.704865243483,315.208541902629,312.874369416317,310.697083755727,308.669701391194,306.78427362956,305.032569635756,303.406621216391,301.899196260998,300.504086770916,299.21633122353,298.032377248943,296.950229321643,295.969648957575,295.092401879327,294.322610495372
25,387.605635039046,378.853489210596,376.505574663428,376.876030277838,377.033832765451,377.106718471921,377.150053476748,377.209584819476,377.319393050209,377.504318743307,377.783196424054,378.170603169691,378.675985676944,379.300211700867,380.029413147617,380.587308985631,379.512182664142,378.4204515448,377.428364422923,376.517897251966,375.666519578459,374.853426834599,374.062055063683,373.280925807125,372.503153219274,371.725348698334,370.946406736264,370.166535994879,369.386544222168,368.607418294552,367.830054289131,367.055153113932,366.283160836242,365.514279276041,364.748477099144,363.985537374126,363.225103852046,362.466719249957,361.709872567554,357.931749800741,354.138934038726,350.338913711147,346.567296394584,342.858214972284,339.234894371748,335.713187563336,332.306744944019,329.02928675261,325.894060557792,322.912254604982,320.09169630538,317.43631368719,314.946300216499,312.61866662517,310.447976695188,308.42712148247,306.548066517906,304.802527437396,303.182527168289,301.680832614458,300.291270424994,299.008927871301,297.830314999783,296.753509471929,295.778351059711,294.906705227598,294.142768469614
26,387.546258418385,378.708563427591,376.310658234221,376.683396602787,376.842738345513,376.917120328761,376.96159875523,377.021961904489,377.132519595478,377.318406415603,377.598756443357,377.988421739339,378.497070237086,379.125729134099,379.860535210031,380.423473295184,379.357206478664,378.271912735055,377.285448905806,376.379611571127,375.531753876666,374.721144920821,373.931399229831,373.151272634576,372.374078593607,371.596567789689,370.81771281793,370.037752877201,369.257493224659,368.477899231984,367.69983446786,366.923963747078,366.150697450086,365.380205489154,364.612427351524,363.84713548081,363.083955722493,362.322433259759,361.562066915475,357.76160598279,353.942625482616,350.117998183791,346.326178845864,342.601923452957,338.968138658622,335.440106652607,332.030853027124,328.753429421853,325.620434515481,322.642467061447,319.826862582626,317.177161934625,314.693264299146,312.371959386199,310.207646226582,308.193095813914,306.320191781298,304.580602320741,302.966333577095,301.470162043748,300.085945750246,298.808819891704,297.635355310003,296.563700477944,295.593773974373,294.727525495428,293.969231069261
27,387.489065652068,378.569494563867,376.12291176133,376.497307668054,376.658076187392,376.733875150715,376.779442291573,376.840602649872,376.951883147301,377.138697639737,377.42047736503,377.812346129471,378.324183059026,378.957172471319,379.697469474111,380.265357922922,379.207687073371,378.128609495842,377.147547774379,376.24613342074,375.401620810305,374.593340791259,373.805123095675,373.02591952303,372.249242433426,371.471973250292,370.693156493295,369.913052921849,369.132479092067,368.352362777269,367.573540704039,366.796642737791,366.022045133842,365.249883907297,364.480086161577,363.712396465706,362.946437245052,362.181756229897,361.417864672978,357.595330013378,353.750942303099,349.90272691953,346.091713749463,342.353137283589,338.709542791391,335.175646346498,331.763862024142,328.486609467922,325.355868540582,322.381679094031,319.570907034525,316.926734893528,314.44877195534,312.133599782582,309.975459509308,307.967007000992,306.100047643726,304.366204748456,302.757469363321,301.26662835276,299.887571063386,298.61547977729,297.446984544436,296.380302438237,295.415427833607,294.554390592019,293.801540845493
28,387.433865654922,378.435824779344,375.941799616466,376.31729576773,376.479395286458,376.55652998268,376.603134851372,376.665060006005,376.777038264592,376.964755804666,377.247926885021,377.641938958771,378.15688924031,378.794115195041,379.539792433927,380.112540682989,379.063226540366,377.99015861871,377.014293027381,376.117106319577,375.275777472102,374.469703853018,373.682902011862,372.904553522168,372.128336524118,371.351256903661,370.572431498687,369.792148192252,369.011205037357,368.230517705902,367.450885689597,366.672906967977,365.896925293074,365.123048562981,364.351182185107,363.581056812144,362.812290109997,362.044434929256,361.277017368657,357.43268453865,353.563620752131,349.692774193025,345.863499926227,342.111384592715,338.458577225449,334.919232210628,331.505171987419,328.228211479942,325.099741536313,322.129271049184,319.323222583733,316.684428814618,314.212231020598,311.903008482688,309.750850753445,307.748303148839,305.887096155572,304.158810633881,302.555424070762,301.069734402341,299.695662209346,298.428436023723,297.264743634594,296.202868568561,295.24287814612,294.386878654163,293.639289158351
29,387.380511465613,378.307146356009,375.766858677029,376.142941769337,376.306280245228,376.384678878887,376.432273844053,376.494933361685,376.607585795994,376.796180032853,377.080705535718,377.476803447541,377.994801343189,378.636175281635,379.387128247336,379.96465276448,378.923468747375,377.856217215464,376.885355488967,375.992215519862,375.153920222966,374.349932160708,373.564460455039,372.786894527958,372.011084961044,371.234153355514,370.455277926309,369.674766901608,368.893411158867,368.112103405438,367.331612319641,366.552503203485,365.775088871306,364.99945089517,364.225471340807,363.452881012641,362.681283478778,361.91024303709,361.139302869901,357.273456035948,353.380418013622,349.487843318232,345.641172764571,341.876237918643,338.214763597405,334.670348585855,331.254242853789,327.977681993436,324.851495261818,321.884686197275,319.083255269398,316.449701477959,313.983109752462,311.679665319061,309.53331198988,307.536488779076,305.680854416833,303.957949547756,302.359736216111,300.8790340013,299.509784647345,298.247265467704,297.088220568549,296.030993840668,295.075735024375,294.224611091041,293.482109196356
30,387.328851779161,378.183094733949,375.597660974977,375.97386480592,376.138360878353,376.217956599512,376.266497066098,376.32986231266,376.443166666665,376.632612682109,376.918457848035,377.316596769505,377.837570929704,378.483009214894,379.239139026497,379.821366196246,378.788087134922,377.726477262557,376.760439490297,375.871185281349,375.035776387314,374.233762049099,373.449536655248,372.672690842293,371.897239786541,371.120409120745,370.341448635957,369.560669258215,368.778858427876,367.996885745505,367.215489686058,366.435204017856,365.656312146658,364.87887122096,364.102745813158,363.327657757057,362.553210239178,361.778977468627,361.004521779147,357.117451612239,353.201122199021,349.287663161775,345.424399810601,341.647308727067,337.977668254003,334.428528920133,331.010586648012,327.73452136859,324.610626056809,321.64742242512,318.850508365767,316.222061995506,313.760928821949,311.463101442258,309.322385402776,307.33111737215,305.480887264278,303.763197586399,302.169999458931,300.694125093328,299.329546851139,298.07158684759,296.917044129207,295.864324914869,294.913647197638,294.067246851445,293.329670630283
31,387.27875815352,378.063342708165,375.433819738719,375.809731873316,375.97530290469,376.056028354033,376.105477460976,376.169521443149,376.283453243195,376.473729112385,376.760861057776,377.16099604975,377.684883490128,378.334306974582,379.095519892906,379.682375079018,378.65680580205,377.600661037712,376.639278526319,375.753754558726,374.921091242939,374.120955821407,373.337899087068,372.561715458631,371.78657731574,371.009812933581,370.230725003134,369.449638983296,368.667333042813,367.88465361685,367.102309622773,366.320802656335,365.540393596411,364.761111639437,363.982807688009,363.20519003388,362.427883865969,361.650455302681,360.872494422753,356.964496299047,353.025530366574,349.091985183921,345.212877013483,341.424242749726,337.746896782758,334.193349658079,330.773760929287,327.49827697461,324.376674366355,321.417025260114,318.624532362142,316.00107216048,313.54525459487,311.252892738733,309.117656895279,307.131785089493,305.286801136449,303.574168736687,301.985837266869,300.514644117857,299.154594771805,297.901055385147,296.750878648861,295.702531273856,294.756297047046,293.914477574666,293.181674795172
32,387.234222805193,377.947595562346,375.274999242205,375.650230858916,375.816803439211,375.898605059434,375.948918703709,376.013615928711,376.128158581442,376.319240436234,376.607628131854,377.009713091503,377.536454171002,378.189787815229,378.955994812793,379.547406819698,378.529357401843,377.478517282786,376.521631535467,375.639692218795,374.809659679575,374.011298451664,373.229338260002,372.453762926061,371.678895176482,370.902159953216,370.122909149039,369.341480338723,368.558641533252,367.775216017614,366.991883827598,366.209117293254,365.427151000784,364.645993247454,363.865481486374,363.085319097682,362.305135826449,361.524511198461,360.74305832077,356.814430803042,352.853459162988,348.900580894812,345.006325511949,341.206716011456,337.522089354034,333.964425058485,330.543363243569,327.268537407445,324.149232852289,321.193078770089,318.404919135276,315.786328445518,313.335693460532,311.048654273526,308.918750648556,306.938125427098,305.098238910126,303.390520397506,301.806910878939,300.34026119838,298.984607168395,297.735358272648,296.589414006472,295.545316525951,294.603396424351,293.766023522165,293.037850819378
33,387.186889813442,377.835586964566,375.120881450635,375.495081351035,375.662587172027,375.745410310552,375.796551458681,375.86187780987,375.977012409059,376.168879083289,376.458493064986,376.862486013106,377.392024155687,378.049196690115,378.820313069587,379.41621384199,378.405504828373,377.359817947542,376.407279771901,375.528788486365,374.701271718426,373.904594794152,373.123664004353,372.348646749605,371.574004309874,370.79726865208,370.017821399091,369.236015610082,368.452608267412,367.668399586545,366.884041423837,366.099977993025,365.316419075272,364.533353800052,363.75060813451,362.967882521283,362.184809364216,361.400995211296,360.616066048161,356.667109595918,352.684739788655,348.713239687456,344.804488866766,340.994431420823,337.302916747094,333.741402774866,330.319026394346,327.044927606769,323.927920600969,320.97521331067,318.191296998296,315.577465222467,313.131887017866,310.850035576101,308.72532452006,306.749804756044,304.914875486687,303.211933325618,301.63291197614,300.170672914111,298.81929167826,297.574210785602,296.432383964153,295.39241093583,294.4546830682,293.621630110302,292.897952153991
34,387.14081277938,377.727075486608,374.971181234907,375.344027814113,375.512403112451,375.59619647278,375.648125220641,375.714062817267,375.829769682898,376.022402777896,376.313215063198,376.719076134005,377.251357581273,377.912301205587,378.688246259876,379.288570647476,378.285028566156,377.24435542675,376.296024137719,375.420852502139,374.595734705987,373.800661893588,373.020703194998,372.246197047843,371.471747481976,370.694973512243,369.915298099725,369.133082922914,368.349073330332,367.564046503266,366.778626884241,365.993231718655,365.208047450124,364.423045773003,363.638042953319,362.852738513697,362.066773204765,361.279770935854,360.491383417247,356.522399292259,352.51921640523,348.529766947042,344.607130682986,340.787115832089,337.089076928242,333.523960067313,330.100414406124,326.827104630495,323.712392612592,320.76308226649,317.983326402708,315.374148560842,312.933507966934,310.656716615456,308.537066104658,306.566518455118,304.736414066844,303.038118462461,301.46355905153,300.005611412659,298.658381377518,297.417353058431,296.279530102476,295.243568275015,294.309917594779,293.481064969704,292.761753813756
