p_bar,of_1,of_1_5,of_2,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
61,1.19010644305677,1.22130588645847,1.24648054926503,1.26904627597813,1.27307936259997,1.27689332861148,1.28054703405601,1.28409632256449,1.28758683194118,1.29105394787882,1.29452623178808,1.29802930290299,1.30158786837563,1.3052241812523,1.30894740660506,1.31243372292941,1.31417961451622,1.31573117242822,1.3172584820439,1.3187398600127,1.32015185560479,1.32147823977918,1.32271049584217,1.32384620332614,1.32488693573339,1.32583646246198,1.32669952005703,1.3274810208886,1.32818566390554,1.32881770772428,1.32938101364896,1.32987906338102,1.33031502344409,1.33069186690288,1.33101245570066,1.33127961326145,1.33149619130963,1.33166508601143,1.33178924916795,1.33184396923889,1.33121419934903,1.33018624284275,1.32894832422304,1.32761094025137,1.32623591614333,1.32485817299544,1.32349898992844,1.32217302600189,1.32089135894963,1.31966250679634,1.3184925243395,1.31738498657547,1.31634120171224,1.31536071963595,1.31444208581753,1.3135837419944,1.31278482614532,1.31204575279654,1.31136859001581,1.31075709692534,1.31021679381212,1.30975497968521,1.30938091605027,1.30910614845258,1.30894500611231,1.30891525057228,1.30903851900149
62,1.1900868309307,1.22125703660815,1.2463928808872,1.268940729788,1.2729730022932,1.27678648056958,1.28043973213455,1.28398850252976,1.28747847913839,1.29094517045441,1.29441734460549,1.29792083383215,1.30148062683218,1.30511925950364,1.30884606073462,1.31233598124248,1.31408574096421,1.3156390640532,1.31716724597964,1.31864870111048,1.32006012886833,1.32138547649349,1.32261638531013,1.32375054501177,1.32478958807003,1.32573730261261,1.32659841819485,1.32737782678785,1.32808019762911,1.32870978420777,1.32927041609459,1.32976557626294,1.33019843662309,1.33057198665915,1.33088911436436,1.3311526769328,1.33136556530124,1.33153071751413,1.33165112732936,1.33168815417053,1.33104430131628,1.33000626155646,1.32876149865862,1.32741968735301,1.32604206115366,1.32466315302512,1.32330397351905,1.32197896987962,1.32069903237467,1.31947250636435,1.31830528827368,1.3172008115301,1.31616026302989,1.31518309448743,1.31426777932562,1.31341271480332,1.3126170209326,1.31188111655095,1.31120709193485,1.31059873900083,1.31006161842505,1.30960307437407,1.30923241746069,1.30896124530264,1.30880393906543,1.30877830343298,1.30890598502915
63,1.19006740756799,1.22120892165243,1.24630652263406,1.2688366575723,1.27286810464512,1.27668108413914,1.28033387479534,1.28388212516387,1.28737156763013,1.29083784078864,1.29430989648634,1.29781379784358,1.30137480647646,1.30501573912341,1.30874608680196,1.31223958201125,1.31399316528861,1.31554822272849,1.3170772382903,1.31855874969279,1.31996959887752,1.32129390753977,1.32252347196037,1.32365608901545,1.32469344797406,1.32563935447751,1.3264985306964,1.3272758484264,1.32797595345854,1.32860307827811,1.32916103869521,1.32965331451322,1.3300830841966,1.33045335467461,1.33076704079383,1.33102703403169,1.33123626472179,1.33139771263741,1.33151441304693,1.3315340239305,1.33087638228007,1.32982850650556,1.32857708778235,1.32723098700519,1.32585085628288,1.32447084830716,1.32311171080097,1.32178768376794,1.32050947411736,1.31928525828902,1.31812077116563,1.31701932700573,1.31598197425424,1.31500807501431,1.31409603220803,1.31324419981241,1.31245168072284,1.31171889849261,1.31104796569657,1.31044270682931,1.30990872251954,1.3094534014345,1.30908610253357,1.3088184744522,1.30866494897989,1.30864337214257,1.30877539752932
64,1.19004816609438,1.22116151602839,1.24622143194311,1.2687340130212,1.27276462392302,1.27657709406021,1.28022941706207,1.28377713890033,1.28726604597473,1.29073190742687,1.29420383561394,1.29770815028592,1.30127036291412,1.30491357614302,1.30864744145744,1.31214447738053,1.31390184244507,1.31545859951589,1.31698841957677,1.31846996715372,1.31988022750057,1.32120349496009,1.32243171778013,1.32356279714354,1.32459847703669,1.32554257946492,1.32639981885966,1.32717504708498,1.32787288714934,1.32849753948276,1.32905284322489,1.32954224019598,1.32996892853087,1.33033593358818,1.33064619782581,1.33090264747199,1.33110825240003,1.33126603396872,1.33137906836976,1.33138153488537,1.33071038986014,1.32965291670548,1.32839502352544,1.32704476570885,1.32566222402908,1.32428117854578,1.32292211962882,1.3215990845221,1.32032260070726,1.31910067930603,1.31793890325987,1.31684045126011,1.3158062547959,1.31483558189739,1.31392676647471,1.31307812046009,1.31228873034941,1.31155902489148,1.31089113898706,1.31028892950386,1.30975803658532,1.30930589280806,1.30894190461998,1.3086777707822,1.30852797234231,1.30851039493508,1.30864669669694
65,1.19002909999312,1.22111479544006,1.24613756826472,1.26863275197621,1.27266251651365,1.27647446716794,1.28012631603995,1.28367351233938,1.28716188451425,1.29062732762051,1.29409913320941,1.29760384858181,1.30116725380896,1.30481272241948,1.30855008337151,1.31205063656401,1.31381173288562,1.31537015590893,1.31690075229136,1.31838231315358,1.31979197838975,1.32111420256788,1.32234108652782,1.3234706329813,1.32450463863945,1.3254469407849,1.32630224579385,1.32707538586114,1.32777095401457,1.32839315480261,1.32894579326524,1.32943231717071,1.3298559337714,1.330219687799,1.3305265500367,1.3307794818871,1.33098149286662,1.33113564565602,1.33124505703067,1.3312306452085,1.33054627382388,1.32947943372223,1.32821524072911,1.32686095316262,1.32547609030574,1.32409406697619,1.32273512152954,1.32141309273994,1.32013833244431,1.31891868992152,1.31775959926586,1.31666410626573,1.31563302770021,1.31466553936889,1.31375990768705,1.31291440363533,1.31212809132443,1.31140142537635,1.31073654278688,1.31013733934777,1.30960949428924,1.30916048349352,1.30879976017603,1.30853907210366,1.30839294853812,1.30837931286691,1.30851982546375
66,1.19001020308131,1.22106873677777,1.24605489293822,1.26853283229919,1.27256174079438,1.27637316226536,1.28002453078752,1.28357119901419,1.28705903595949,1.2905240605685,1.29399574161917,1.29750085207514,1.30106543875759,1.30471315023174,1.30845397311144,1.31195801566567,1.31372279889317,1.31528285518266,1.3168142006238,1.31829575363577,1.3197048168721,1.32102599583972,1.32225154362482,1.3233795617844,1.32441189784501,1.32535240333952,1.32620577630884,1.32697682955837,1.32767012263786,1.32828987764329,1.32883985409428,1.32932351098148,1.32974406573282,1.33010458335732,1.33040806363469,1.33065750352348,1.3308559522492,1.33100651357401,1.3311123443439,1.33108131477636,1.33038398251212,1.32930800152954,1.32803767697954,1.32667948207791,1.32529238424219,1.32390944021658,1.32255064151819,1.32122963252553,1.31995659317374,1.31873921418633,1.31758278380351,1.31649021748406,1.31546221946038,1.31449787509342,1.31359538474161,1.31275297951451,1.31196970851132,1.31124603273279,1.31058411117294,1.30998787172071,1.30946303227321,1.30901711143127,1.30865960842211,1.30840231465891,1.30825981967415,1.30825006961838,1.3083947293339
67,1.1899914694881,1.22102331804361,1.24597336326288,1.26843421375105,1.27246225701383,1.27627314000544,1.27992402220224,1.28347015992758,1.28695746133524,1.29042206730074,1.29389362191145,1.29739912195644,1.30096487917366,1.30461481530402,1.30835907302727,1.31186657238803,1.3136350044685,1.31519666228587,1.31672873039623,1.31821026354006,1.31961870984842,1.32093884181512,1.32216305605555,1.32328955037861,1.3243202212963,1.32525893362116,1.3261103768129,1.32687934458341,1.32757037516032,1.32818767465715,1.32873498886862,1.3292157887816,1.32963329179731,1.32999058786375,1.33029070636015,1.33053668014225,1.33073159817532,1.33087860503537,1.33098089711046,1.33093350507354,1.33022347651799,1.32913856637609,1.32786227245285,1.3265002880074,1.32511103799835,1.32372722321956,1.32236860783365,1.3210486313435,1.31977731007739,1.31856217948719,1.31740838481144,1.31631871366053,1.31529375981173,1.31433251991838,1.3134331296748,1.31259378138963,1.31181350329654,1.31109278271616,1.31043378113503,1.30984046483862,1.3093185899786,1.30887571730075,1.30852139131251,1.30826745058513,1.3081285304304,1.30812261146859,1.30827135623133
68,1.18997289363455,1.22097851828271,1.2458929555125,1.26833685787953,1.27236402718151,1.276174362782,1.27982474818271,1.28337035145749,1.28685712338942,1.29032131057001,1.29379273687611,1.29729862112666,1.30086553818051,1.30451768112821,1.30826534714621,1.31177628141254,1.31354830867322,1.31511154374147,1.31664430896578,1.31812580492519,1.31953362569966,1.32085270900384,1.32207559227493,1.32320056706693,1.32422957712296,1.3251664996184,1.32601601521802,1.32678289885113,1.32747166809366,1.32808651400093,1.32863117335112,1.32910911912667,1.32952358082039,1.32987767037603,1.33017444358773,1.33041698092824,1.33060839968268,1.33075188875424,1.33085068356992,1.33078717910314,1.33006470795729,1.32897107666204,1.32768896977387,1.3263233091855,1.3249319865928,1.32354735834968,1.32218895180437,1.32087001972359,1.31960041347405,1.31838751635284,1.3172363333505,1.31614952662378,1.31512758154169,1.31416940769759,1.31327307748083,1.31243674541338,1.31165942595911,1.310941613878,1.31028549240291,1.30969505958629,1.30917610948317,1.30873624436378,1.30838505332184,1.30813442117632,1.3079990278859,1.30799688691088,1.30814965631992
69,1.18995447021522,1.2209343175196,1.24581363035964,1.26824072791506,1.27226701496526,1.27607679462849,1.27972668236839,1.28327174646403,1.28675798649293,1.29022175475193,1.29369305092465,1.29719931410449,1.30076738051172,1.30442171279364,1.30817276107473,1.31168710376468,1.31346269162363,1.31502746755397,1.31656090513454,1.31804234720529,1.31944953420024,1.32076756729997,1.32198912212254,1.3231125815434,1.3241399348547,1.32507507072877,1.32592266085209,1.32668744971241,1.32737397085743,1.32798635731114,1.32852837364383,1.32900347206114,1.32941490304375,1.32976580132256,1.33005925342689,1.33029837640568,1.33048632713607,1.33062633476415,1.33072167314947,1.33064230130441,1.32990763404103,1.3288054828227,1.32751770861877,1.32614848638005,1.32475516774294,1.32336977643219,1.32201160765506,1.32069373116367,1.31942583667004,1.31821515827427,1.31706656342965,1.31598259115362,1.31496362031497,1.31400847511859,1.31311516593807,1.31228181049555,1.31150741013645,1.31079246740672,1.31013918730245,1.30955159946028,1.30903553534949,1.30859863831667,1.30825054130987,1.30800317451687,1.30787126140065,1.30787284671972,1.30802958204917
70,1.18993619418097,1.22089069669934,1.24573535563445,1.26814578044644,1.27217118559628,1.27598040112402,1.27962978589267,1.2831743126762,1.28666001654669,1.29012336575199,1.29359452999722,1.29710116693341,1.30067037241868,1.30432687689552,1.30808127766276,1.3115990069852,1.31337811545921,1.31494440318706,1.31647848915536,1.3179598611267,1.31936640643758,1.32068338790209,1.32190361674294,1.32302556481319,1.32405126534082,1.32498461767767,1.32583028437734,1.32659299145065,1.32727725420957,1.32788719119117,1.32842656085507,1.32889881891663,1.32930723001435,1.3296549524224,1.32994510391916,1.33018083836009,1.33036535215031,1.33050191434205,1.33059383666573,1.33049883747576,1.32975221366792,1.3286417372227,1.32734844654865,1.32597576275216,1.32458052171609,1.32319441571578,1.32183651234499,1.32051970194057,1.31925351573665,1.3180450415377,1.31689901183137,1.31581784473014,1.31480181450791,1.31384965941119,1.31295933545455,1.31212891127326,1.311357398409,1.31064528697536,1.30999481058348,1.30941003024728,1.30889681447119,1.30846284715193,1.30811780438239,1.30787366087398,1.30774518247895,1.30775044375179,1.3079110877164
71,1.18991806072323,1.22084763763299,1.24565810056097,1.26805199801086,1.27207649719833,1.27588514065732,1.27953402599454,1.28307801340971,1.28656317680492,1.29002611091907,1.29349714147634,1.29700413975512,1.30057448158486,1.30423314144962,1.30799087385937,1.31151196000515,1.31329455009707,1.31486232118536,1.31639703225552,1.31787831869205,1.31928421473736,1.32060014323923,1.3218190485117,1.32293948911831,1.32396353732117,1.32489511244319,1.32573885771471,1.32649948436861,1.32718149017011,1.32778898005019,1.32832570734539,1.32879513226719,1.32920053450931,1.32954509661079,1.3298319680768,1.33006433976576,1.3302454475187,1.33037859993763,1.33046714605572,1.33035675470303,1.32959840725377,1.32847979405433,1.32718112758932,1.32580508373671,1.324407991191,1.32302121696439,1.3216636054179,1.32034787095387,1.3190833894037,1.31787710506896,1.31673361796446,1.31565522745863,1.31464210507028,1.31369290672068,1.31280552891997,1.31197800522429,1.31120933576031,1.31050001860519,1.30985230930578,1.30927030004271,1.30875989600221,1.30832882103003,1.30798679376737,1.30774583258964,1.30762074464974,1.30762963283305,1.30779412961462
