p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
20,490.130052747635,491.2512763886,469.591135859462,450.189274955963,433.204825437098,418.417142176944,405.564041274509,394.405425477733,384.719298214323,376.283548289856,368.882313532216,362.324701681549,356.45495680125,351.151497653007,346.320800524914,341.890678613648,337.804744761555,334.018236502461,330.495026728876,327.205490152201,324.124976643917,311.225850689217,301.38896099187,293.65883097278,287.45847201041,282.411402016381,278.258852735961,274.815994343315,271.946676934482,269.547979259611,267.540278410153,265.860644283696,264.458322073733,263.291572722948,262.325443603125,261.530192813809,260.880174660433,260.353090118592,259.929456792377,259.592262902411,259.32672095077,259.120076089994,258.961435916015,258.841601481473,258.7528927559,258.688965977857,258.644635399898,258.615700825563,258.598785041357,258.591190838845,258.590775790549,258.595845750041,258.605066004237,258.61738828833,258.631991559029
21,490.064797597876,491.227137020607,469.578753080455,450.15746559736,433.144479496027,418.324128971669,405.438346057107,394.249658352788,384.537858767859,376.081883103678,368.665883994103,362.098213516008,356.222096993068,350.915008603586,346.082668454371,341.652339065321,337.567218015834,333.782256163411,330.261118703688,326.974030979515,323.896234570254,311.012576054856,301.191756223747,293.477108053589,287.291413405742,282.258210861303,278.118810174024,274.688457455283,271.831065256743,269.44374337065,267.446882533607,265.777544518115,264.384949849594,263.227323274043,262.269670630752,261.482209767001,260.839262604165,260.318511626658,259.900473388159,259.568154573346,259.306803733571,259.103717141011,258.948063808103,258.830711646773,258.744048431357,258.681795530316,258.638827189125,258.610996660016,258.594973068869,258.588098545152,258.58826349991,258.593800843097,258.603397930848,258.616024364041,258.630873482685
22,489.999844772802,491.202662042513,469.567152815589,450.127654860013,433.087731132728,418.236364697501,405.31941531862,394.101914797538,384.365433463989,375.889941153205,368.459650903724,361.882215400408,355.999891259176,350.689246058796,345.855274120356,341.424696587596,337.340318901963,333.55681139954,330.037638313554,326.752880387461,323.677674562243,310.808804851883,301.003379436289,293.303575121808,287.131946900427,282.112049919797,277.985266124993,274.56691380563,271.72095985684,269.344546208143,267.358074036132,265.698596182299,264.315308697267,263.166401263587,262.216840008814,261.436804969573,260.800588366442,260.285856774311,259.873127954997,259.545428084176,259.288042457736,259.088317804753,258.935483076766,258.820470863343,258.735734105564,258.67505645157,258.633369283928,258.606576595136,258.591391387785,258.585192960681,258.585902701052,258.591879006764,258.601830001968,258.614742086196,258.629822115262
23,489.935189133129,491.177857289514,469.556250702953,450.099636384721,433.034222500615,418.15334949702,405.206609607403,393.961464290359,384.201205121324,375.706854988548,368.26271224747,361.675784681764,355.787406203462,350.473272828993,345.637678165932,341.206819583782,337.123122730331,333.340986132856,329.8236792469,326.541142705517,323.468411894227,310.613710786041,300.82306184618,293.137517090295,286.979407773834,281.972301410691,277.857647099535,274.450830690516,271.615869748421,269.249935690674,267.273438488912,265.623421376161,264.249056161599,263.108498480754,262.16667665737,261.393735011746,260.763938568105,260.254940320552,259.847261120665,259.523947864757,259.270322775746,259.073782454479,258.923614356074,258.810813689268,258.727896107084,258.668704909057,258.628225998355,258.602411638368,258.588016471404,258.582455001559,258.583677909544,258.590067666569,258.600351993003,258.613533127138,258.628830660971
24,489.870818924115,491.152730509206,469.545974522275,450.07323275617,432.98364461727,418.074642530041,405.099375447312,393.827662510104,384.044470665288,375.531867816165,368.074280536894,361.478115491763,355.583826326423,350.266269928947,345.42906243138,340.997893748895,336.914821182961,333.133979523175,329.618449199039,326.338034820176,323.267673233863,310.426571773701,300.65013162164,292.978309337796,286.833215279357,281.838425758172,277.73545238396,274.339744299281,271.515366624869,269.159517658444,267.192614774894,265.551691025434,264.185894248328,263.053347157899,262.11894162855,261.352788645837,260.72912818738,260.225601774614,259.822735156851,259.503596750367,259.253545958523,259.060028596654,258.912389233659,258.801683752781,258.720488229608,258.662703184329,258.623366635282,258.59847685683,258.584828090938,258.579868260809,258.581575813595,258.588356012344,258.598955113527,258.612390326734,258.62789327613
25,489.806726050615,491.127290805287,469.536262030925,450.048290449855,432.935729009689,417.999861923493,404.997237912424,393.699947974454,383.894604953158,375.36431228591,367.893664197839,361.28849980287,355.38843493241,350.067517453094,345.228707634837,340.797203119262,336.714703508898,332.935087366028,329.421251427144,326.142868117088,323.074778511916,310.246750383041,300.483998061066,292.825402721248,286.69285903841,281.709948817323,277.618242189894,274.233247691985,271.419073240339,269.07294640109,267.115286348383,265.483116866122,264.125562110006,263.00071281711,262.073426129352,261.313781493839,260.695995975293,260.19770155267,259.799430101706,259.484272797379,259.237626154562,259.046984526653,258.901748255528,258.793032061975,258.713470305875,258.657018606923,258.618764614742,258.594750666989,258.581808737967,258.577418539258,258.579584893151,258.586734688861,258.597631755842,258.611307487718,258.627004902352
26,489.742895605361,491.10154822504,469.527059254175,450.024675822781,432.890241055413,417.928672884125,404.899771267661,393.577826345596,383.751059618276,375.203608522133,367.720252598461,361.106312208755,355.200598747431,349.876379163699,345.035977992275,340.604114762311,336.522141382698,332.743687090317,329.231469951741,325.95503377897,322.88912646076,310.073690044971,300.324138942531,292.67831185518,286.557888057134,281.586452094126,277.505628255362,274.130981358666,271.32666077361,268.989917045088,267.041174211675,265.417444978917,264.067830135209,262.950389394049,262.029946635832,261.276551579289,260.664400289146,260.171116949337,259.777241031855,259.465887000273,259.222488570494,259.034587938854,258.891639919699,258.784816326976,258.706807798725,258.65162269198,258.6143967669,258.591214256838,258.578943153262,258.575093461873,258.577695107715,258.585195541745,258.596375288038,258.610279206903,258.62616112863
27,489.679336019039,491.075513444174,469.518319121119,450.002271900396,432.846974624115,417.860780368858,404.806602101728,393.460860197573,383.61334880004,375.049233716217,367.553503886285,360.930997492907,355.019755471883,349.692290024972,344.850308827078,340.418063269039,336.336576593152,332.559225574889,329.048557488792,325.773990875398,322.710182852527,309.906889599608,300.170090562728,292.536605833512,286.427901971784,281.467563609593,277.3972659123,274.032626510641,271.237833723157,268.910159375662,266.970031218753,265.354450575481,264.012495193886,262.902194683537,261.988341056353,261.240955995003,260.634216335765,260.145740066241,259.756075451052,259.448360859751,259.20806716249,259.022783701576,258.882018515386,258.776998862964,258.700469781783,258.646490546101,258.610242858401,258.587851209159,258.576218027308,258.572882239594,258.575897706655,258.583731466123,258.595179933013,258.609300778433,258.625358113925
28,489.616034171653,491.049197523152,469.510000366425,449.980975778928,432.805747728446,417.795923116546,404.71739901646,393.348660655939,383.481040022882,374.90072481497,367.392935030375,360.762060524325,354.845403463997,349.514745855234,344.671196149443,340.238553213833,336.157510892032,332.381209097612,328.872025502495,325.5992565116,322.537470753224,309.745903909989,300.021438836557,292.399899905731,286.302543516394,281.352951916569,277.292847927102,273.937899021386,271.152330162769,268.833432786496,266.901637420046,265.293933720461,263.959376732794,262.855966848479,261.948465529775,261.206868008449,260.605333535137,260.121475365519,259.735851631075,259.43162513181,259.194303794389,259.011523407247,258.872844028342,258.769546797332,258.694429384334,258.641600156318,258.60628498872,258.584646992154,258.573621572902,258.57077531235,258.5741849322,258.58233616033,258.594040564388,258.608368024503,258.62459244645
29,489.552984711894,491.022611719905,469.502066638719,449.960696508037,432.766398966099,417.73386875402,404.631866598919,393.240880520614,383.353746678141,374.757667518043,367.238110502761,360.599057867805,354.677093361944,349.343294936223,344.498188471672,340.065131934461,335.984497954995,332.209195340729,328.701436337231,325.430398154605,322.370563016386,309.590333949337,299.877812798243,292.267849477639,286.181492673498,281.242320107699,277.192099152748,273.846544533642,271.069915639024,268.759520783614,266.835796225336,265.235715814801,263.90831356928,262.81156151522,261.910191815272,261.174174737285,260.577653472368,260.098237888039,259.716496948417,259.415618327612,259.18114686903,259.000764109116,258.864080964714,258.762430970216,258.688662764825,258.636932100453,258.60250737654,258.581588803316,258.571143411745,258.568764267026,258.572549960017,258.581004082397,258.592952674711,258.607477272295,258.623861127219
