p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
10,1966.81332323658,2102.19992503237,2393.24279696166,2643.81817202147,2852.22916602137,3021.19413706909,3154.65750351581,3256.64525894836,3331.82109001654,3385.54373523227,3423.0376074506,3448.65295519293,3465.66815807021,3476.43561452064,3482.6151793661,3485.37916753318,3485.5636780251,3483.7731961314,3480.45125264133,3475.92812748842,3470.4532640096,3434.18362243958,3390.46175267154,3343.81702938856,3295.97382741974,3247.63282715194,3199.07162559468,3150.38020674194,3101.56435034246,3052.59550692581,3003.43690777469,2954.0588963104,2904.44825247035,2854.61449579968,2804.59376036378,2754.45085351904,2704.2787758022,2654.19626211321,2604.34312959812,2554.87336975875,2505.94727303104,2457.72313595885,2410.34957469591,2363.95927786604,2318.66454335864,2274.55496426725,2231.69715761101,2190.13562042321,2149.89488574328,2110.98220432991,2073.39044456052,2037.10093857415,2002.08610078563,1968.3117261869,1935.73893554277
11,1967.25554419367,2102.45491381715,2394.05508894644,2645.89825024072,2856.06120751414,3026.96820352725,3162.35101525353,3266.09369432511,3342.7543860054,3397.64405267244,3436.00452546937,3462.23931992929,3479.68534683216,3490.7443961946,3497.11373704909,3499.99279555099,3500.23703939515,3498.46478843368,3495.12958818042,3490.56895013788,3485.0376943124,3448.31431927255,3403.99746318133,3356.700881085,3308.17969983283,3259.14737530473,3209.88743953129,3160.49311928181,3110.97254202515,3061.2994540282,3011.43995622541,2961.3677722702,2911.07400088762,2860.57323952588,2809.90733298967,2759.14716431862,2708.39176493325,2657.76540342125,2607.41245271704,2557.49009087745,2508.16017712372,2459.58090009663,2411.89922170135,2365.2449114122,2319.72644523635,2275.42907431706,2232.41490506306,2190.72402114702,2150.37683316848,2111.37687416996,2073.7137501794,2037.3659910138,2002.30364361003,1968.49052840151,1935.88613539935
12,1967.68696977933,2102.69146985204,2394.76877777217,2647.73929375748,2859.47932365843,3032.15280446783,3169.29588881711,3274.65909224061,3352.69928375401,3408.67848378163,3447.85084933739,3474.66737709835,3492.51874552125,3503.85265892117,3510.40136193571,3513.38969265084,3513.69129464421,3511.93748616728,3508.59115449209,3503.99670928026,3498.41392884564,3461.27194867804,3416.40412209885,3368.50323305364,3319.35330698501,3269.67978835317,3219.77187632269,3169.72593782707,3119.55241279139,3069.2273479588,3018.7195676077,2968.00616700509,2917.08236012516,2865.96756590537,2814.70899100446,2763.38315392538,2712.0946003539,2660.97256805762,2610.16541692439,2559.83298921651,2510.13828707918,2461.23910105414,2413.28060508036,2366.38967145824,2320.67111307588,2276.20610303237,2233.05256931402,2191.2465484431,2150.80469985353,2111.72719414088,2074.00070082215,2037.6012368214,2002.49673246228,1968.64924700025,1936.01681858671
13,1968.10945253532,2102.91401399177,2395.40254739266,2649.38486803132,2862.55615402036,3036.8482257749,3175.6164413587,3282.48544983967,3361.81475554416,3418.81680504075,3458.75389782392,3486.1195963057,3504.35428535051,3515.94859422836,3522.66761733962,3525.76015181013,3526.11698916523,3524.38171561608,3521.02605781916,3516.40085306722,3510.77066408583,3473.23989107481,3427.85854914379,3379.39388811294,3329.65714594454,3279.38516951369,3228.87255821201,3178.21872663123,3127.43639088961,3076.50386878147,3025.39265453191,2974.08311766142,2922.57442889791,2870.890597347,2819.08388134225,2767.23604843161,2715.45671076488,2663.87959254258,2612.65656164433,2561.94969302575,2511.92278921618,2462.73301993786,2414.52368265974,2367.41879453657,2321.51965932862,2276.90360991044,2233.6246860153,2191.71519110533,2151.18834796692,2112.04126301369,2074.25794095667,2037.81212591121,2002.6698388353,1968.79155352651,1936.13400323105
14,1968.52437667921,2103.1258030471,2395.9704172798,2650.86804896497,2865.34730000321,3041.1316998357,3181.40891830907,3289.68449115893,3370.2244205469,3428.19123724693,3468.85190360678,3496.73834944463,3515.33710516065,3527.179117337,3534.06051965093,3537.25277968473,3537.66294029419,3535.94621873986,3532.58272216835,3527.92939215963,3522.25529026504,3484.36135885735,3438.49879101482,3389.50532251471,3339.21797668723,3288.38444709428,3237.30451298585,3186.08055170197,3134.72751930056,3083.22597317248,3031.55002470266,2979.68322528383,2927.62855611156,2875.41437977563,2823.09780870293,2770.76543706626,2718.5315783501,2666.53402603889,2614.9277481723,2563.87669168973,2513.54518063939,2464.08959141764,2415.6512886729,2368.35148860491,2322.28813282902,2277.53492870417,2234.14228305244,2192.13903839828,2151.53525047283,2112.32521516953,2074.49050209439,2038.00278613114,2002.8263493257,1968.9202287932,1936.23997554849
15,1968.9328008096,2103.3292837202,2396.48320305345,2652.21448385872,2867.89620068875,3045.06390102019,3186.74916384091,3296.34461746284,3378.02629989491,3436.90676939,3478.25473337798,3506.6368370438,3525.58265279417,3537.66115150564,3544.69789133566,3547.98588411535,3548.44763386682,3546.74942779891,3543.37934942759,3538.70014931721,3532.98515571245,3494.75036916065,3448.43472402776,3398.94295177339,3348.13659220649,3296.77374835362,3245.15912628501,3193.39800820281,3141.50755354796,3089.4705270408,3037.2636053584,2984.87343431434,2932.30667012695,2879.59586231305,2826.80265194875,2774.01822950469,2721.36123903367,2668.97317959502,2617.01176876834,2565.6425208734,2515.03005215755,2465.32981123005,2416.68119674158,2369.20268524515,2322.98899524304,2278.11040294815,2234.61390849298,2192.52513132876,2151.85119445172,2112.58379951165,2074.702278498,2038.1764061073,2002.96887977181,1969.03742061988,1936.33650095567
16,1969.33555081864,2103.52632380411,2396.94949285023,2653.44442205746,2870.23739242888,3048.69333035447,3191.69805654852,3302.53695677172,3385.29941667775,3445.04816041454,3487.05116374249,3515.90659216027,3535.18431690363,3547.48929566765,3554.67507642154,3558.05521383622,3558.56697059497,3556.88720513653,3553.51161828518,3548.80849227413,3543.05528623563,3504.49919539117,3457.7552504451,3407.79204252609,3356.4945375944,3304.63075840052,3252.51021456994,3200.24100055773,3147.84244776747,3095.2994945353,3042.5913310934,2989.70761534148,2936.65855293444,2883.48070476224,2830.24001515417,2777.03199511669,2723.97930582297,2671.22684216246,2618.93476338139,2567.26989169125,2516.39694534892,2466.4703399783,2417.62749194504,2369.98416450683,2323.63210026219,2278.63820441753,2235.046311341,2192.87902596574,2152.1407413088,2112.82075791913,2074.896337996,2038.3355058203,2003.09949739908,1969.1448265022,1936.42497545871
17,1969.73328232181,2103.71843047442,2397.37579747066,2654.57410286973,2872.39875252796,3052.05936748026,3196.30516316324,3308.31957410916,3392.10840576982,3452.68482597514,3495.31396424714,3524.62268786984,3544.2187182676,3556.74117112676,3564.07033473214,3567.53937026081,3568.09968289203,3566.43825558839,3563.05808499616,3558.33276448036,3552.54366719853,3513.68360617955,3466.53333743012,3416.12255445808,3364.35864754853,3312.01916631692,3259.41826462212,3206.66678139367,3153.78618466944,3100.76355446683,3047.58054681133,2994.2297530118,2940.72481064353,2887.10613035048,2833.44375001427,2779.83725636306,2726.41305979705,2673.31915624064,2620.71788600096,2568.77715642956,2517.66162891352,2467.52460369087,2418.50151096544,2370.70550546089,2324.22536309441,2279.12489215274,2235.44490342408,2193.20517525029,2152.4075501001,2113.03909142114,2075.07514070064,2038.48210051754,2003.21985545886,1969.24380409978,1936.50651535415
18,1970.12652376041,2103.9066180234,2397.76765693249,2655.61672888869,2874.40308328328,3055.19427660665,3200.61135754363,3313.74047448786,3398.50680129748,3459.87433084903,3503.10351451664,3532.84746343814,3552.74951082555,3565.48131279208,3572.94870580753,3576.50368379551,3577.11121612268,3575.46800478562,3572.08405348701,3567.33805509879,3561.51514032536,3522.36656525501,3474.82962139821,3423.99260759675,3371.78444034579,3318.99184137615,3265.93346204267,3212.72282576325,3159.38350174728,3105.90468042267,3052.27043718726,2998.47621911653,2944.53898967667,2890.50285875975,2836.44176844274,2782.45915564616,2728.68493783592,2675.26994612473,2622.37848296723,2570.17934343605,2518.83699850996,2468.50356859864,2419.31250303195,2371.374415242,2324.77522860193,2279.57580285875,2235.81408799741,2193.50720073466,2152.65459278698,2113.24123685928,2075.24068382813,2038.6178275166,2003.33129706675,1969.33545635011,1936.582027586
19,1970.51570687135,2104.09183285825,2398.12954415871,2656.58316401899,2876.26925502637,3058.12496661528,3204.65072859018,3318.83979108329,3404.53943723239,3466.66494292869,3510.47052628814,3540.63326059361,3560.83015364393,3573.76390312286,3581.36483977315,3585.0030571768,3585.65656945774,3584.03143783129,3580.64440665436,3575.8790797848,3570.02418574368,3530.60098969152,3482.69504780161,3431.45101871,3378.81853154135,3325.59315746163,3272.09791123929,3218.44894391917,3164.67189190621,3110.75802554876,3056.69379258167,3002.47743117592,2948.12911721691,2893.69653007687,2839.25733906918,2784.91862636517,2730.81358679753,2677.09567932474,2623.93094468803,2571.48890411918,2519.933725366,2469.41629884837,2420.0681051916,2371.99728239065,2325.28701009698,2279.99533345561,2236.15748940924,2193.7880820595,2152.8843144979,2113.42919867444,2075.39461006426,2038.74403334814,2003.43492679286,1969.4206903419,1936.65225811122
