geometry,N,x1,h,x2,Isp_load,Isp_med,OF_med,sigma,drift,drift_full,Gtilde,lambda,Phi0,of0,of_end,b_end,mdot_ox,Gox0,R_c,L,m_load,I_tot,run_id,rank,grid_divisions,oxidizer,Gox_lo,Gox_hi,of_lo,of_hi,thrust_mode
star,12,0.270838012695312,0.00714285714285714,0.287535000435918,336.201811714615,339.579124999614,2.04935269844947,0.0297214267750791,1.88221421572482,Inf,3.57480049289902,6.60286975779941,0.198062018479155,1.30777771198472,2.46151780050572,0.702577008979936,10.0906093352618,424.649630999223,0.308053610817593,6.03126176158009,4549.57191237646,15000000,2026-08-20T14:54:29,8,700,O2(L),400,700,1.1,19.5,mean
star,11,0.27031494140625,0.00714285714285714,0.288869715848189,336.147422414823,339.59042072453,2.04966070457322,0.0302898548766271,1.87812977358528,Inf,3.54590348641212,6.60344329893518,0.198462330116114,1.31053474389631,2.46135432182963,0.701243927353221,10.0907709659494,421.219661828663,0.308196613582148,6.03216168637557,4550.30804186659,15000000,2026-08-20T14:54:29,9,700,O2(L),400,700,1.1,19.5,mean
star,10,0.268030395507812,0.00714285714285714,0.288966692966964,336.037806773048,339.587471905227,2.05026549438712,0.0312149062755776,1.87888194742832,Inf,3.55087960053218,6.60687325680027,0.198342307068719,1.31042248426439,2.46212914918852,0.701147729827038,10.0918347310602,421.828563220364,0.308328120968306,6.03047516741766,4551.7923538286,15000000,2026-08-20T14:54:29,10,700,O2(L),400,700,1.1,19.5,mean
cylinder,0,0.304349348366746,0,0.304349348366746,304.137498301952,305.036736008022,5.72765971688892,0.0195034959248225,1.80475724895606,Inf,3.08810548640442,18.2978120248106,0.207185665350878,3.79104435882567,6.8419147877046,0.686774184230488,14.230179394815,420.909048302816,0.340857428995443,2.49481428722019,5029.21977068512,15000000,2026-08-20T15:46:58,1,700,N2O,400,700,1.1,19.5,mean
star,18,0.2918994140625,0.00714285714285714,0.303545290175776,303.836096271122,304.973677673682,5.73934318476061,0.0246112050408238,1.83583496232029,Inf,3.1799808240575,18.4128763264476,0.203277611292426,3.74292551666313,6.8713935248509,0.687575884222226,14.2374297330883,433.519985501641,0.341733249349403,2.48272312137729,5034.2087008056,15000000,2026-08-20T15:46:58,2,700,N2O,400,700,1.1,19.5,mean
star,17,0.29537109375,0.00714285714285714,0.307630320985951,303.83274748814,305.003000574514,5.73907544452762,0.0252994446036608,1.82157225628576,Inf,3.09106301583099,18.3946632007187,0.204841174587339,3.76798441617371,6.86365587461915,0.683495295591509,14.2359624045017,421.380638378134,0.342050960800181,2.48627225427945,5034.2641868339,15000000,2026-08-20T15:46:58,3,700,N2O,400,700,1.1,19.5,mean
star,16,0.2947705078125,0.00714285714285714,0.307688260609058,303.813592264807,305.004844637347,5.73924279344545,0.0257440354400637,1.82025452805456,Inf,3.09109163925491,18.3954038672294,0.204972053755021,3.77054371031908,6.86334926193595,0.683436005701123,14.2359379300595,421.384250609856,0.342109812126022,2.48638494823909,5034.58159348479,15000000,2026-08-20T15:46:58,4,700,N2O,400,700,1.1,19.5,mean
star,15,0.294140625,0.00714285714285714,0.307854758679329,303.783722589225,305.008598162044,5.74160428316138,0.0264628699337081,1.81883245946482,Inf,3.0887184395693,18.401905955696,0.205113765206811,3.77448421755444,6.86515441262568,0.683267215236151,14.2366315964555,421.068937526185,0.342210785028695,2.4859034645074,5035.07662105772,15000000,2026-08-20T15:46:58,5,700,N2O,400,700,1.1,19.5,mean
star,14,0.292796630859375,0.00714285714285714,0.307469298924707,303.755770333417,305.007561481198,5.74258671191513,0.0270350379498825,1.81936322448167,Inf,3.09900290135123,18.4077881819903,0.20503365474926,3.77421608680371,6.86666994957778,0.683648906749304,14.2370412699045,422.475827537769,0.342264471842859,2.4853218979383,5035.53995957989,15000000,2026-08-20T15:46:58,6,700,N2O,400,700,1.1,19.5,mean
star,13,0.29142333984375,0.00714285714285714,0.307287865436256,303.727286739216,305.006151378504,5.7432642587789,0.0276088078287736,1.81960986012318,Inf,3.10574302063803,18.4122690271242,0.204986509213505,3.77426675457011,6.8676930013509,0.683828324116785,14.2373561960116,423.398429762313,0.342329674175607,2.48496746851209,5036.01219333384,15000000,2026-08-20T15:46:58,7,700,N2O,400,700,1.1,19.5,mean
