p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
10,1.29591727551151,1.30622850404018,1.28939875918639,1.27570622096378,1.26466239993851,1.25576024898388,1.24858547349502,1.24282378936926,1.23821859089801,1.23453497752356,1.23156125351166,1.22912360626081,1.22709039923711,1.22536614725587,1.22388246704164,1.22259010672943,1.22145307275622,1.22044455771815,1.21954420095463,1.21873624460883,1.21800826618363,1.21527598485449,1.21359557903757,1.21261397640247,1.21214106157712,1.21206218411016,1.21230320458896,1.21281386825583,1.21355884021093,1.21451233108175,1.21565457330723,1.21696930661302,1.21844187140239,1.2200577726533,1.22180163607959,1.22365663483735,1.22560440224859,1.22762542925397,1.22969981944216,1.2318082154871,1.23393267563432,1.23605734760788,1.23816883992846,1.24025631570895,1.24231136618893,1.24432774863867,1.24630106293803,1.24822842156403,1.25010814533934,1.25193950032803,1.25372247981726,1.2554576288776,1.25714590602666,1.25878857567223,1.26038712529023
11,1.2958174125043,1.30619736969417,1.2893750178436,1.27564398622,1.26454505056208,1.25558150611157,1.24834645642472,1.24252955649865,1.23787692631951,1.23415528241093,1.23115282352253,1.22869434352673,1.22664645872105,1.22491211383573,1.22342170864063,1.22212510300745,1.22098566221052,1.21997612642743,1.2190758056835,1.21826869636128,1.217542199138,1.21482322018397,1.21316115983503,1.21220022314353,1.21174934707843,1.21169352279182,1.21195846494685,1.21249384006614,1.21326423228307,1.21424372847289,1.21541236744719,1.21675360641512,1.21825242064387,1.21989385920301,1.22166205630565,1.22353969926989,1.22550800512896,1.22754717323214,1.22963717330401,1.23175867423681,1.23389389462878,1.23602723407988,1.23814559830047,1.24023845422309,1.24229767686628,1.24431727237312,1.24629304947107,1.2482222903079,1.25010345037309,1.25193590085129,1.25371971613873,1.25545550340028,1.2571442684545,1.25878731163844,1.26038614768403
12,1.29571836334509,1.30616529621575,1.28935413245726,1.27558907646788,1.26444077923777,1.25542162774263,1.24813149346812,1.24226376537189,1.23756718513537,1.2338101093165,1.23078076780038,1.22830274479165,1.22624105833866,1.22449720400305,1.22300044860902,1.22169981883208,1.22055808095442,1.21954754353143,1.21864721470283,1.21784085749601,1.21711570913215,1.21440898430096,1.21276390129936,1.21182211144296,1.21139165798161,1.21135719907742,1.21164430195809,1.21220255497661,1.21299645908517,1.21399997705203,1.21519295796105,1.21655858894136,1.21808149296029,1.21974629855002,1.2215366854086,1.22343490151256,1.22542179640748,1.22747732213446,1.22958134771799,1.23171458512596,1.23385941760419,1.23600048175013,1.23812495987895,1.24022259651805,1.24228552332578,1.24430797004199,1.24628593208945,1.24821684277018,1.25009927726114,1.25193270002874,1.25371725737419,1.25545361148152,1.25714281007264,1.25878618531536,1.26038527609385
13,1.29562006982179,1.306132248999,1.2893355696885,1.27554013225068,1.26434724503414,1.25527734236305,1.2479365157848,1.24202169491219,1.23728414696463,1.23349387470946,1.23043924672321,1.22794279092312,1.22586806112201,1.22411520385343,1.22261242351991,1.2213079625995,1.22016402261375,1.21915250712498,1.21825213004632,1.21744644847524,1.21672253564629,1.21402717883092,1.21239791021299,1.21147397306752,1.21106257036857,1.21104803605713,1.21135579967616,1.21193536895166,1.21275116015021,1.21377701217889,1.21499258829752,1.21638081531673,1.21792598107994,1.21961231935758,1.22142308930393,1.22334013931164,1.2253439924008,1.2274143896429,1.22953112569098,1.23167496955256,1.23382846605048,1.23597647989771,1.23810645019323,1.24020837667067,1.24227462487567,1.24429962708858,1.24627954712362,1.24821195420928,1.25009553093101,1.25192982535381,1.2537150481664,1.25545191079844,1.25714149847261,1.258785171845,1.26038449142041
14,1.29552248687003,1.30609820703817,1.28931890728133,1.27549612579434,1.26426266417556,1.25514613459363,1.24775838723827,1.24179969600095,1.23702376879312,1.23320224215147,1.23012371975488,1.22760979896624,1.22552268725616,1.22376127393534,1.22225275417717,1.22094463235821,1.21979857509568,1.21878610208134,1.21788564776111,1.2170805755671,1.21635780171926,1.21367305222724,1.21205859612689,1.2111513943743,1.21075785893538,1.21076200574038,1.21108913746157,1.21168867562094,1.21252495203449,1.21357168385454,1.21480835098767,1.21621762948208,1.21778348766766,1.21948978752991,1.22131939749557,1.22325380072882,1.22527322851064,1.22735724114407,1.22948558008572,1.23163908107639,1.2338004488171,1.23595476528882,1.23808970965372,1.24019551752763,1.24226476897956,1.24429208106685,1.24627377064579,1.24820753015405,1.25009213936022,1.25192722187968,1.25371304654831,1.25545036925233,1.25714030906454,1.25878425235805,1.26038377915921
15,1.2954255786076,1.30606321491578,1.28930382786101,1.27545626321707,1.26418564673622,1.25502604148432,1.24759464165817,1.24159488956948,1.23678284821046,1.23293177784041,1.22983058678929,1.22730005812996,1.22520115144769,1.22343157119259,1.22191756507632,1.22060593391286,1.21945783573567,1.21844442497491,1.2175438725566,1.21673934768008,1.21601763211367,1.21334282926146,1.21174231311331,1.21085087666448,1.21047417206886,1.21049591829122,1.2108412871797,1.21145961886226,1.21231515896451,1.21338150220777,1.21463795061429,1.21606693741582,1.21765212566889,1.2193770261958,1.22122414307646,1.22317462420481,1.22520843896275,1.22730499225958,1.22944398957707,1.23160634057611,1.23377490732644,1.23593497895078,1.23807445980982,1.24018380457465,1.24225579117643,1.24428520628352,1.24626850675848,1.24820349748738,1.25008904679148,1.25192484705523,1.25371122000936,1.2554489619684,1.25713922265808,1.25878341210761,1.26038312224314
16,1.29532931575118,1.30602728585767,1.28929007347612,1.27541991993064,1.26411509399733,1.25491550883939,1.24744330441855,1.24140496555191,1.23655881337224,1.23267971355435,1.22955694558245,1.22701057039433,1.22490038997967,1.22312299264762,1.2216037263641,1.220288721863,1.21913865198453,1.2181243224396,1.21722365250426,1.21641962824195,1.21569889367106,1.21303345810718,1.21144611721074,1.21056958988053,1.21020880538931,1.21024719685692,1.21060980827997,1.21124589842171,1.21211962641553,1.21320446560334,1.21447954396063,1.2159270598208,1.21753038401551,1.21927269482333,1.22113615548325,1.22310160495025,1.22514877652879,1.22725694125722,1.22940578277672,1.23157628998217,1.2337514792917,1.23591683754873,1.23806048102609,1.24017306867776,1.24224756182387,1.24427890366041,1.24626367986369,1.24819979855909,1.25008620925134,1.25192266722265,1.25370954282111,1.25544766925057,1.25713822453275,1.25878263983142,1.26038252373605
17,1.2952336738789,1.30599045768667,1.28927746544532,1.27538659665509,1.26405012071873,1.25481326303763,1.24730277728936,1.24122804304978,1.23634956470471,1.23244379064311,1.22930042115685,1.22673888188702,1.22461789692305,1.22283299749345,1.22130867378767,1.21999041883988,1.2188384403638,1.21782321016977,1.21692240652077,1.21611883739768,1.21539902499054,1.21274244433923,1.21116759533266,1.21030521809592,1.20995954506457,1.21001373442006,1.21039270337557,1.2110456346437,1.21193659563303,1.21303894121622,1.21433162904796,1.21579662998463,1.21741703262912,1.21917570564627,1.2210544864802,1.22303393046168,1.22509355733452,1.22721252267222,1.22937049996891,1.23154856124503,1.23372987394096,1.23590011386722,1.23804759727288,1.24016317433168,1.24223997707445,1.24427309383505,1.24625922940127,1.24819638711008,1.25008359144489,1.25192065569958,1.25370799459748,1.25544647550204,1.25713730235642,1.25878192602054,1.26038197029641
18,1.29513863222982,1.30595276261007,1.28926583616448,1.27535588869529,1.26399000534535,1.25471826690798,1.24717174146222,1.24106257085143,1.23615336720105,1.23222213822795,1.2290590449582,1.22648296054816,1.22435159321548,1.22255947176168,1.22103028032749,1.21970888687274,1.21855505797036,1.21753894352383,1.21663799253,1.21583484347358,1.21511589441278,1.21246771204859,1.21090474720048,1.21005584066257,1.2097245558565,1.20979378513041,1.21018832317775,1.21085727194795,1.21176461220507,1.21288357996427,1.21419296617159,1.21567452117467,1.21731106436826,1.21908516441847,1.22097835777409,1.22297093496305,1.22504222193709,1.22717127466085,1.22933776622055,1.23152285456303,1.23370985465721,1.23588462314861,1.23803566548907,1.24015401144535,1.24223295257018,1.2442677122788,1.24625510612421,1.24819322577704,1.25008116486512,1.25191879044676,1.25370655847333,1.25544536779709,1.25713644633112,1.25878126315912,1.26038145613732
19,1.29504417285384,1.30591425762095,1.28925505587504,1.27532746397004,1.26393415250469,1.25462966050511,1.24704910103406,1.24090725510539,1.23596877095127,1.23201319080649,1.22883117489278,1.22624110221783,1.22409973710864,1.2223006557325,1.22076676044598,1.21944233027428,1.21828670329829,1.21726972296453,1.21636861312215,1.21556585191498,1.21484771558435,1.21220752133336,1.21065589406111,1.20981984701116,1.20950229940986,1.20958588622548,1.2099952821984,1.21067950863494,1.21160245984101,1.2127372545919,1.21406252047885,1.21555979389549,1.21721163530433,1.21900032748726,1.22090712311646,1.22291206650086,1.22499430726151,1.22713281550168,1.22930727205746,1.23149892275871,1.23369122653609,1.23587021331089,1.23802456797104,1.24014548946734,1.24222641888562,1.24426270611827,1.2462512696831,1.2481902835707,1.25007890585315,1.25191705347657,1.25370522069143,1.25544433559802,1.25713564837591,1.25878064503237,1.26038097647936
20,1.29495027192942,1.30587498117666,1.28924501744867,1.27530104788276,1.26388206572924,1.25454672387158,1.24693393501974,1.24076100643437,1.23579455216022,1.23181562536427,1.22861541485808,1.22601186464317,1.22386085296448,1.22205504826896,1.22051660318104,1.2191892303428,1.21803185529021,1.21701402387061,1.21611274533083,1.21531034045603,1.21459297253976,1.21196039796685,1.21041961390059,1.2095958732181,1.20929147344741,1.20938880000299,1.20981240965727,1.21051124230137,1.21144911124691,1.21259901373167,1.21393941941009,1.21545165683724,1.21711803710431,1.2189205689589,1.22084024035282,1.22285686271373,1.2249494259684,1.22709682634703,1.22927875930152,1.23147655984334,1.23367382728913,1.23585675780224,1.23801420681662,1.24013753305669,1.24222031844877,1.24425803117602,1.24624768635312,1.24818753482155,1.25007679481375,1.25191542981534,1.25370396979572,1.2554433701277,1.25713490175322,1.25878006646132,1.26038052733792
21,1.29485693077957,1.30583497802674,1.28923563151083,1.27527640712311,1.26383332738706,1.25446884746848,1.24682545694578,1.24062289642592,1.23562966864591,1.2316283138101,1.2284105740531,1.22579401633462,1.22363368040994,1.2218213696978,1.22027851647525,1.2189482870454,1.21778920952666,1.2167705421678,1.21586908675781,1.21506701271491,1.21435037215705,1.21172507924895,1.2101946921482,1.20938275405295,1.20909096418602,1.20920146976294,1.20963870713913,1.21035153825393,1.21130369085148,1.21246804730497,1.21382292061063,1.21534943746596,1.21702966844253,1.21884536135504,1.22077725033365,1.2228049323922,1.22490725102125,1.22706303834047,1.22925201050769,1.23145559249845,1.23365752047449,1.23584415027494,1.23800449978318,1.24013007909837,1.24221460276971,1.24425365045077,1.24624432788718,1.24818495797072,1.25007481528288,1.25191390687947,1.25370279615611,1.25544246400537,1.25713420079675,1.25877952308905,1.26038010535948
22,1.29476412949841,1.30579429233546,1.28922682285206,1.27525334902863,1.26378758182193,1.25439551276068,1.24672300954614,1.24049213227709,1.23547322602959,1.23145028701018,1.22821563284219,1.22558649738311,1.2234171342901,1.22159851800996,1.22005138749024,1.21871838183426,1.21755764433423,1.21653815540641,1.21563651590742,1.21483474894375,1.21411879669901,1.21150048494279,1.20998008045923,1.20917948628956,1.20889981744059,1.20902298640498,1.20947331569352,1.21019958823687,1.21116544666874,1.21234365988049,1.21371238742851,1.21525255955274,1.21694601470483,1.21877425086126,1.22071776151103,1.22275594305212,1.22486750384151,1.22703122284464,1.2292268409616,1.23143587362984,1.23364219050627,1.23583230063743,1.23799537723725,1.24012307393993,1.24220923080406,1.24424953258098,1.24624117034724,1.24818253474837,1.25007295331089,1.25191247400487,1.253701691609,1.25544161097223,1.25713354070078,1.25877901121946,1.26037970769863
23,1.29467185662792,1.30575296713422,1.28921852767468,1.27523170685689,1.26374452645571,1.2543262740369,1.24662601259488,1.24036802838809,1.23532444997635,1.23128070435084,1.22802970399499,1.22538838900346,1.22321027359889,1.22138553735334,1.21983424779175,1.21849854340418,1.21733618573421,1.21631588896644,1.2154140592765,1.21461257800186,1.21389728242057,1.21128566965664,1.20977487221838,1.20898519923791,1.20871720161403,1.20885256197906,1.20931549125764,1.21005469390277,1.21103372627921,1.21222525020351,1.21360726978771,1.21516052573221,1.21686663213575,1.21870684743105,1.22066143653382,1.22270960770104,1.22482994588942,1.22700118392628,1.22920309253417,1.23141727742351,1.23362773823232,1.23582113185061,1.23798677963589,1.24011647184907,1.24220416752153,1.24424565078897,1.24623819328421,1.24818024953994,1.25007119696789,1.25191112207001,1.25370064917162,1.25544080567413,1.25713291735286,1.25877852768838,1.26037933191792
24,1.2945801016581,1.30571104396771,1.2892106914003,1.27521133801598,1.26370389906968,1.25426074593112,1.24653396738012,1.24024998900815,1.23518266779619,1.2311188355026,1.22785201302154,1.22519888954959,1.22301227701705,1.2211815932549,1.2196262604115,1.21828792377241,1.21712398321351,1.2161028917629,1.21520086665688,1.21439965143411,1.21368498212425,1.21107981152764,1.20957827433226,1.20879913373665,1.20854239237632,1.20868950914317,1.20916458506054,1.20991624665443,1.21090796620567,1.21211229494033,1.21350708932967,1.21507290385492,1.21679113558386,1.21864281298751,1.22060798354714,1.22266567880728,1.22479437040298,1.22697275249933,1.22918062889554,1.23139969549724,1.23361407862609,1.23581057766864,1.23797865580529,1.2401102335011,1.24219938280767,1.24424198206046,1.24623537912553,1.24817808892841,1.2500695360036,1.25190984323509,1.25369966283961,1.25544004350586,1.25713232721548,1.25877806977394,1.26037897592093
25,1.29448885487165,1.30566856267584,1.28920326707643,1.27519211941511,1.26366547334889,1.25419859314165,1.24644643879023,1.24013749332905,1.23504728982655,1.23096403912057,1.22768188320436,1.22501729581905,1.22282242343044,1.22098595288381,1.21942668204644,1.21808577805105,1.21692028962978,1.21589841609641,1.21499619102891,1.21419522418707,1.213481153042,1.21088218767515,1.2093895903442,1.2086206225809,1.20837475387939,1.20853322473864,1.20902002819092,1.20978371292591,1.21078766819286,1.21200433584389,1.21341142750208,1.2149893161348,1.21671918866932,1.21858185254141,1.22055714810208,1.22262394063376,1.22476059806312,1.22694578171507,1.22915933175488,1.23138303388243,1.23360113790857,1.23580058070422,1.23797096142474,1.24010432484064,1.24219485058276,1.24423850646248,1.24623271264903,1.24817604128912,1.25006796153522,1.25190863070533,1.25369872740845,1.2554393204749,1.25713176722089,1.25877763511503,1.2603786378885
26,1.29439810722124,1.30562556125844,1.28919621403162,1.27517394410017,1.26362905138673,1.2541395222555,1.2463630450781,1.2400300835046,1.23491779695028,1.23081575003962,1.22751871639142,1.22484298580763,1.22264007664376,1.22079796996742,1.21923485945132,1.21789144909519,1.21672444506286,1.21570180151131,1.21479937262132,1.21399863794947,1.21328513908435,1.21069215970096,1.20920820576933,1.20844907734668,1.20821372522993,1.20838317684948,1.20888131835161,1.2096566224322,1.21067239474187,1.211900969439,1.21331991605817,1.21490943048766,1.21665049601382,1.21852370743867,1.22050870759679,1.22258420519831,1.22472847184448,1.22692014310444,1.22913909759882,1.23136721027349,1.23358885135231,1.23579109095326,1.23796365788581,1.24009871620578,1.24219054813255,1.24423520663366,1.24623018059518,1.24817409649478,1.2500664654424,1.25190747820492,1.25369783800973,1.25543863278585,1.25713123439047,1.25877722135272,1.26037831592991
27,1.29430785023156,1.30558205724079,1.28918949683793,1.27515671862098,1.26359445977018,1.25408327516254,1.24628344133649,1.23992735498869,1.23479372981752,1.23067346765875,1.2273619823867,1.22467540970182,1.22246467083138,1.22061706801438,1.21905021077575,1.21770435074955,1.21653586372116,1.21551246173324,1.21460982568843,1.21380930832032,1.21309635782634,1.21050916094717,1.20903357345604,1.20828397407417,1.20805880569858,1.20823889280122,1.20874801095296,1.20953455825365,1.21056175826444,1.21180183699369,1.2132322293436,1.21483295346063,1.21658479680321,1.21846814937218,1.22046246538594,1.2225463058564,1.22469785411878,1.22689572451752,1.22911983657686,1.231352153781,1.23357716376625,1.23578206453676,1.23795671130286,1.24009338155451,1.24218645550631,1.24423206731735,1.2462277713056,1.24817224563617,1.25006504205363,1.25190638158118,1.25369699164116,1.25543797831305,1.2571307272737,1.25877682756509,1.26037800954634
