p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
41,1891.16751427131,2010.43639692458,2300.81666317837,2568.4546469974,2804.58688666052,3007.88046448862,3178.35759489695,3316.85620575304,3425.10822954215,3506.29243784204,3564.93537072938,3605.971107299,3633.80804575929,3651.92874617845,3662.910626223,3668.60876666394,3670.34985333209,3669.08752104421,3665.51453260801,3660.14079998115,3653.34674541592,3606.11832694014,3547.55662980479,3484.10349445777,3418.14719206229,3350.64565866448,3281.98647147931,3212.3231280033,3141.72626110325,3070.26138980289,2998.0326075147,2925.20750024536,2852.02714677019,2778.80305263281,2705.90106020322,2633.71665966635,2562.64449490227,2493.04938336166,2425.24369893712,2359.47390408975,2295.91647770714,2234.68149709391,2175.82065207165,2119.33843508674,2065.20258363604,2013.35412318859,1963.71574293815,1916.19849494609,1870.70692773123,1827.14288198944,1785.40820570524,1745.40663024067,1707.04501376577,1670.23418756977,1634.88909255973
42,1891.61407128826,2010.69703669424,2300.88889179364,2568.67168084725,2805.07178903627,3008.74199505026,3179.66929991534,3318.65169434148,3427.37837104179,3508.98642641911,3567.97570192737,3609.27537739936,3637.30399281014,3655.55900027395,3666.63187127129,3672.38886031503,3674.16497605107,3672.9198903015,3669.3507208874,3663.97053725378,3657.16207192226,3609.78937157408,3551.02333142432,3487.34042548554,3421.1417608126,3353.39113557559,3284.47955796786,3214.56323848392,3143.71554441687,3072.00507426447,2999.53940743128,2926.48988627128,2853.1013030805,2779.68841307013,2706.6194177969,2634.2909650214,2563.09756110723,2493.40272223082,2425.51666572583,2359.6832195362,2296.07610138924,2234.80276134397,2175.91255419848,2119.40799433812,2065.25520969447,2013.39394617671,1963.74589639798,1916.22134688337,1870.72426368006,1827.15604706918,1785.41821331279,1745.41424440385,1707.05081117498,1670.23860290823,1634.89245758477
43,1892.05843299676,2010.95832006382,2300.95883515991,2568.8814814854,2805.54118226977,3009.57731931926,3180.94307388408,3320.39770497232,3429.58870500981,3511.61222733668,3570.94157510454,3612.50076094486,3640.71795260973,3659.105198236,3670.26771387366,3676.08272936994,3677.89343600078,3676.66544537743,3673.10016078263,3667.71375892072,3660.89124576865,3613.37727295935,3554.41091606064,3490.50271282227,3424.06640570423,3356.07157426432,3286.91261568271,3216.74842577334,3145.65507976801,3073.70421626497,3001.0068473994,2927.73800035022,2854.14609352456,2780.54903589522,2707.3172953265,2634.84860134205,2563.53727529696,2493.74551841533,2425.78140976604,2359.88618660812,2296.23086166,2234.92032117957,2176.00164412748,2119.47542489375,2065.30622644007,2013.43255293195,1963.77513040871,1916.24350320975,1870.74107281848,1827.16881270884,1785.4279176831,1745.42162808552,1707.05643320478,1670.24288471097,1634.89572079903
44,1892.5006296696,2011.22012733699,2301.02662649181,2569.08444756549,2805.99589406542,3010.38779010325,3182.1808155656,3322.09664837323,3431.74207765901,3514.17302822539,3573.83642492352,3615.65083768961,3644.05365020958,3662.57114376847,3673.82200824499,3679.69425746671,3681.53913163566,3680.32808829177,3676.76674933796,3671.37435047281,3664.5381357575,3616.88577061204,3557.72294878973,3493.59373359725,3426.92430726584,3358.6899497015,3289.28840811682,3218.88123856235,3147.54719556906,3075.36092115382,3002.43680815571,2928.95349948258,2855.16295564551,2781.38614730813,2707.99572043887,2635.39041462079,2563.96432197495,2494.07831697256,2426.03835919261,2360.08313642318,2296.38101891289,2235.03437716475,2176.08807794098,2119.54084702453,2065.3557267125,2013.47001535843,1963.80350093541,1916.26500775789,1870.75738973686,1827.18120644174,1785.43734095258,1745.42879928686,1707.06189468551,1670.24704536964,1634.89889275238
45,1892.94069050078,2011.48243023802,2301.09238871001,2569.28094747224,2806.43669083933,3011.17466249112,3183.38428939398,3323.75079695315,3433.84114426262,3516.67180063756,3576.66345493568,3618.7289733305,3647.31456204479,3665.96038712519,3677.29835217134,3683.22706862496,3685.10570032426,3683.91146212522,3680.35412505802,3674.95593966328,3668.10635407043,3620.31835357524,3560.96275993157,3496.61664167328,3429.71843327305,3361.24903737775,3291.60951368532,3220.96405285487,3149.39406197346,3076.97715032871,3003.83104097277,2930.13792575009,2856.15322635772,2782.20088705397,2708.65564772214,2635.91719024562,2564.37933633164,2494.40162354164,2426.2879122203,2360.27437895309,2296.52679355649,2235.14509176673,2176.17197257527,2119.60434365217,2065.40376789489,2013.50637184707,1963.83103235092,1916.28587462287,1870.77322103965,1827.19322944288,1785.44648037855,1745.43575244445,1707.06718801549,1670.25107580723,1634.90196321415
46,1893.37864368625,2011.74517789895,2301.15623544302,2569.47132226758,2806.86428347792,3011.93910280186,3184.55513766389,3325.36218420807,3435.88837757029,3519.1113190782,3579.42565783791,3621.73831312385,3650.503937552,3669.27624722849,3680.70010755001,3686.68455718908,3688.59655110979,3687.41897135771,3683.86569036131,3678.46191750416,3671.59927628924,3623.67828530496,3564.13346318886,3499.57438523188,3432.45155751221,3363.75143078379,3293.87834064554,3222.99908751206,3151.19770485353,3078.5547340007,3005.19117919373,2931.29271660805,2857.1181511729,2782.99431951603,2709.29796535459,2636.42965853076,2564.78290889106,2494.71590814423,2426.53043356636,2360.46019532105,2296.66841831514,2235.2526473154,2176.25347196533,2119.66602843348,2065.450440332,2013.54169483314,1963.85778333885,1916.30615192222,1870.78860671476,1827.20491543586,1785.45536485418,1745.44251273152,1707.07233551782,1670.25499616392,1634.90495074894
47,1893.81451649567,2012.0083221395,2301.21827191218,2569.65588823358,2807.27933244536,3012.68219661177,3185.69489137913,3326.93278954704,3437.88609132362,3521.49417798856,3582.12583355794,3624.68180073891,3653.62481858996,3672.52183145134,3684.03042681182,3690.06989431368,3692.01486702639,3690.85381170757,3687.30462968663,3681.89546416402,3675.02007093901,3626.96862192738,3567.23797408676,3502.46972432285,3435.1262763508,3366.19955537897,3296.09714077541,3224.98841709574,3152.96001892194,3080.09538257849,3006.51874851477,2932.41921405667,2858.05889276954,2783.76742600778,2709.92350492259,2636.92849968457,2565.175588505,2495.02160684046,2426.76626915936,2360.64085530036,2296.80609604541,2235.35719803793,2176.33269234218,2119.72598864,2065.49580924606,2013.57603283827,1963.8837898111,1916.32586606015,1870.80356599681,1827.21627824115,1785.46400410008,1745.44908674877,1707.07734140144,1670.25880880278,1634.90785626476
48,1894.24833533682,2012.27181733717,2301.27859571564,2569.83493915436,2807.682468241,3013.40495589076,3186.80497993252,3328.464437225,3439.8364484665,3523.82280694146,3584.76660544188,3627.5621951311,3656.68005677692,3675.700053135,3687.29226118628,3693.38605725784,3695.36363698915,3694.21895342174,3690.67393683434,3685.25955741934,3678.37170188364,3630.1922294967,3570.27902651732,3505.30524665519,3437.74502357386,3368.59568927756,3298.26802819756,3226.93398690045,3154.68277561207,3081.60069792519,3007.81517617522,2933.5186729033,2858.97653568902,2784.52113625937,2710.53302724487,2637.4143480288,2565.55788793242,2495.31912759959,2426.99573792243,2360.81660594938,2296.94001627311,2235.45888831431,2176.40974310711,2119.78430685602,2065.53993681825,2013.60943260151,1963.90908685794,1916.34504335566,1870.81811860426,1827.22733260789,1785.4724091202,1745.45548267856,1707.08221172803,1670.26251818805,1634.9106830271
49,1894.6801258131,2012.53564311451,2301.33729752485,2570.00874833803,2808.07415385117,3014.10832537575,3187.88673976448,3329.95883498514,3441.74147660472,3526.09948426927,3587.35043477789,3630.38208568495,3659.67232905303,3678.81364803311,3690.48838384231,3696.63584178911,3698.64566822097,3697.51724177096,3693.97641330137,3688.5569955289,3681.65695541118,3633.35179949052,3573.25918753952,3508.08338168438,3440.31008314329,3370.94194026317,3300.39298147886,3228.8376191978,3156.3676395309,3083.07217735453,3009.08180014179,2934.59226778425,2859.87209699905,2785.25631319457,2711.12726600962,2637.88779629723,2565.93028535642,2495.60885030844,2427.21913755038,2360.98767792273,2297.07035610161,2235.55785320517,2176.48472675984,2119.84106062286,2065.58288160089,2013.64193830051,1963.9337078093,1916.36370896609,1870.83228354309,1827.23809291603,1785.4805908163,1745.46170880318,1707.08695279879,1670.26612912464,1634.91343471384
50,1895.10991277522,2012.79971342754,2301.39446170262,2570.1775704221,2808.45509601919,3014.79318827687,3188.94142212644,3331.41758366403,3443.60307830003,3528.32634931433,3589.8796338574,3633.14390583566,3662.60415168171,3681.86518743123,3693.62140210372,3699.82187637022,3701.86359994661,3700.75130170272,3697.21469952264,3691.79040986887,3684.87845229241,3636.44986275431,3576.18087074043,3510.80641328669,3442.82360362696,3373.24036296252,3302.47386130087,3230.7010261179,3158.01617131458,3084.51123132268,3010.31987174894,2935.64110030039,2860.74652916581,2785.97376796358,2711.70685171472,2638.34939885458,2566.29322789183,2495.89113004046,2427.4367462427,2361.15428675936,2297.19728104881,2235.65421897472,2176.55773917154,2119.89632251623,2065.62469844271,2013.67359136103,1963.95768395893,1916.38188655059,1870.84607872154,1827.24857273763,1785.48855948831,1745.4677729511,1707.09157057552,1670.26964615407,1634.91611478691
51,1895.53772036787,2013.06401189558,2301.45016686505,2570.34164298889,2808.82571597338,3015.46031434955,3189.97020005707,3332.8421858322,3445.4230410121,3530.50541346586,3592.35637774668,3635.84994534907,3665.47786514427,3684.85709200245,3696.69377036629,3702.94663556295,3705.01991696875,3703.92362104168,3700.3912802445,3694.96227799024,3688.03865801263,3639.48880207877,3579.04634827038,3513.47649118786,3445.2876048968,3375.49282047865,3304.51241792696,3232.5258177746,3159.62983833533,3085.91918250196,3011.53057185424,2936.6662044931,2861.60072539529,2786.67425818077,2712.27249993026,2638.79967498249,2566.64713415529,2496.16629910238,2427.64882428111,2361.31663407496,2297.32094592457,2235.74810371714,2176.62887001492,2119.95016042742,2065.66543866207,2013.70443055135,1963.98104459826,1916.39959825443,1870.8595208989,1827.25878477189,1785.4963247709,1745.47368244083,1707.09607062296,1670.27307351104,1634.91872647389
52,1895.96352730772,2013.32850188978,2301.50448636174,2570.50118801103,2809.18648121493,3016.1105918835,3190.97417466467,3334.23405358485,3447.20304615911,3532.63857012423,3594.78271491892,3638.50236141575,3668.29575595866,3687.79164304858,3699.70780192331,3706.01245184826,3708.11696152274,3707.03654422068,3703.50849775677,3698.07493561188,3691.1398990115,3642.47086356586,3581.85776171324,3516.09564118061,3447.70399099883,3377.70109071732,3306.5102997513,3234.31351016025,3161.21002177296,3087.29727551088,3012.71500734591,2937.66855235237,2862.43552507397,2787.35849646154,2712.82476422264,2639.23911172534,2566.99239658317,2496.43466888742,2427.85561548308,2361.47490868271,2297.44149568195,2235.83961799475,2176.69820323928,2120.00263791382,2065.70515030075,2013.73449216378,1964.00381714788,1916.41686480911,1870.87262576482,1827.26874090672,1785.50389568297,1745.47944412344,1707.10045815176,1670.27641516139,1634.92127279784
53,1896.38744551081,2013.59314874268,2301.55748873268,2570.65641315105,2809.53782979899,3016.74469199451,3191.95438079684,3335.59451557904,3448.94467728115,3534.7276037156,3597.16057687662,3641.10318869388,3671.05990215117,3690.67099301405,3702.66567963314,3709.02152633091,3711.1569440605,3710.09228456247,3706.56856261559,3701.13058648555,3694.18437006429,3645.3981669223,3584.61713193031,3518.66577495861,3450.07455806086,3379.86685047458,3308.46906104312,3236.06553230711,3162.75802317361,3088.64668409557,3013.87422479736,2938.6490585966,2863.25171773588,2788.02715273191,2713.3642030395,2639.66816645767,2567.32938352738,2496.69653155487,2428.05734852666,2361.62928762385,2297.55906620978,2235.92886544238,2176.76581752716,2120.05381454272,2065.74387838442,2013.76381021307,1964.02602730856,1916.43370564658,1870.88540802624,1827.27845228628,1785.51128067973,1745.48506442214,1707.10473804751,1670.27967482383,1634.92375659357
54,1896.80945294865,2013.85791964328,2301.60923810239,2570.80751292994,2809.88017269505,3017.36329812694,3192.91179216693,3336.924823405,3450.64942743565,3536.77419707337,3599.49178687694,3643.65434841837,3673.77229202239,3693.49717505326,3705.56946556912,3711.97593845272,3714.14195278745,3713.09293290728,3709.57356205735,3704.13131177922,3697.17414249775,3648.27271480078,3587.32636799202,3521.18869779152,3452.40100231842,3381.99168296352,3310.39016897094,3237.78323277671,3164.27507038063,3089.96851071341,3015.00919816873,2939.60858741157,2864.05005056864,2788.68086226928,2713.8913482866,2640.08726920527,2567.65844114971,2496.95216155033,2428.25423815167,2361.77993710435,2297.67378505508,2236.01594332009,2176.83178671549,2120.10374621116,2065.78166516445,2013.79241661881,1964.04769919897,1916.4501390036,1870.89788148643,1827.28792937052,1785.51848769767,1745.49054936652,1707.10891489654,1670.28285598944,1634.92618052248
55,1897.22957132673,2014.12278353666,2301.65979453957,2570.95466978117,2810.21389591742,3017.96705311809,3193.84732599864,3338.22615736318,3452.31870590995,3538.77994225491,3601.77806785902,3646.15765667884,3676.43480544072,3696.27211170353,3708.42110979416,3714.87765482283,3717.07396285498,3716.04046678132,3712.52547477191,3707.07908507853,3700.11118297346,3651.09640129108,3589.98727529708,3523.66611684632,3454.68492739723,3384.07708465362,3312.27500998801,3239.4678855891,3165.76232301923,3091.26380183855,3016.12086259644,2940.54794532801,2864.83121433963,2789.32020650954,2714.40667823392,2640.49683064416,2567.97990437009,2497.2018169816,2428.44648624692,2361.92701334282,2297.78577207774,2236.10094301445,2176.89618017699,2120.15248543504,2065.81855033636,2013.82034137051,1964.06885548035,1916.4661820158,1870.91005911579,1827.29718198887,1785.52552419539,1745.49590462323,1707.11299300937,1670.28596193947,1634.92854708605
56,1897.64782182057,2014.38771102901,2301.70921438139,2571.09805500296,2810.53936245505,3018.55656266331,3194.76184704682,3339.49963171394,3453.95384432479,3540.74634178175,3604.02104965869,3648.61483195529,3679.04922159609,3698.99762278291,3711.22245834739,3717.72853726381,3719.95484418083,3718.93675821757,3715.42616859737,3709.97576896049,3702.99734537304,3653.87101965342,3592.60154253609,3526.09964803029,3456.92785094317,3386.12444039078,3314.12489563986,3241.12069559698,3167.22087743447,3092.53354373031,3017.21009372599,2941.4679052359,2865.59587934033,2789.94575624349,2714.9106707883,2640.89721725814,2568.29405665597,2497.44574872689,2428.63429534995,2362.07066333877,2297.8951400433,2236.18395049243,2176.95906316561,2120.20008161059,2065.85457123775,2013.84761267701,1964.08951746928,1916.48185080269,1870.92195311638,1827.30621938898,1785.53239719033,1745.50113552411,1707.116976442,1670.28899576157,1634.9308586382
