p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
42,487.864169275337,490.192693500965,469.271259275375,449.396290090779,431.696711587382,416.061748980859,402.325862406299,390.314897240534,379.859225656771,370.777573919611,362.869794770753,355.934660563776,349.792854727013,344.297842161318,339.335183803967,334.816834536056,330.674871579429,326.856276613587,323.319004994413,320.029174504728,316.959033247596,304.209049300053,294.604739143547,287.147152722119,281.244564286935,276.514765019203,272.696353431834,269.60277767785,267.096084864467,265.070926619729,263.444332064116,262.148990567087,261.128810422614,260.336042957716,259.729532056612,259.273695264705,258.937992931418,258.696583582118,258.528019786938,258.414875381699,258.343286306006,258.302434901621,258.284017344582,258.281755210478,258.290952193508,258.308129338405,258.330729507328,258.356885815997,258.385244007218,258.414828282689,258.44494106089,258.475088641427,258.504926351123,258.53421667421,258.562806322408
43,487.787514955312,490.151208175855,469.267864060597,449.38817110396,431.679276332137,416.031628915827,402.281220479494,390.255299062414,379.785456316157,370.691499501787,362.773951420484,355.831662578483,349.684975214768,344.186871601181,339.222461368599,334.703338154345,330.561309295471,326.743160649105,323.206706618624,319.917963740582,316.849106820087,304.107044571905,294.511424272397,287.062441640002,281.168156457594,276.446316741173,272.635519264962,269.549210962902,267.049424329518,265.03077962628,263.410260207052,262.120501463771,261.105357354818,260.317041434827,259.714372614943,259.261774783085,258.928739883751,258.689479779688,258.522614274482,258.410789737671,258.340212706767,258.30012927885,258.282290064265,258.28046123324,258.289981850777,258.307400372071,258.330180542136,258.356471196413,258.384929815417,258.414589320819,258.444758591266,258.474948707389,258.504818535291,258.534133208648,258.562741322868
44,487.711202915059,490.109634518415,469.264541084059,449.380308035286,431.66238125071,416.002401087496,402.237838967712,390.197307815848,379.713586444589,370.607564102385,362.680414300071,355.731081698647,349.579581034903,344.078423921719,339.112277660557,334.592381018972,330.450275909463,326.632555497214,323.096895445107,319.809212621076,316.741609669011,304.007297538128,294.420188643467,286.979636740306,281.093489205258,276.379450422255,272.576114498667,269.496926407623,267.003903560585,264.991634935762,263.377058700263,262.09275733807,261.082533216672,260.298559828424,259.699636488511,259.250193183074,258.919753864622,258.682583437585,258.517368021332,258.40682518203,258.337230446991,258.297892228742,258.28061409542,258.27920558918,258.289040135323,258.30669279846,258.329647585761,258.356068580025,258.38462464442,258.414357155945,258.444581257159,258.474812664653,258.504713676607,258.534051995956,258.562678045727
45,487.63522940461,490.067973332609,469.261285657781,449.372687038586,431.645998144036,415.97402043307,402.195656106171,390.140839544643,379.643538606582,370.52566963619,362.589079044275,355.632809542565,349.476561442135,343.972387184572,339.004520374224,334.483850992134,330.341659874112,326.524350581278,322.989462011022,319.702812942856,316.63643495269,303.90970879088,294.330940540023,286.898653641907,281.020485112343,276.314095303998,272.51807478873,269.445865828662,266.959470372158,264.953446190647,263.344686835518,262.06572292061,261.06030661456,260.280572885376,259.685302856881,259.238933601614,258.911021448196,258.67588403379,258.512272881079,258.402975480398,258.334334962812,258.295720356573,258.278986934581,258.277986436654,258.288125696166,258.306005628323,258.329129914849,258.355677438729,258.384328109604,258.414131509121,258.444408857791,258.474680370555,258.504611675986,258.53397297008,258.562616450276
46,487.559590756712,490.026233985798,469.258093448413,449.365295297234,431.630100856014,415.94644507723,402.15461440855,390.085836963323,379.575224182785,370.44572453605,362.499848172543,355.536744842789,349.375812936067,343.868656757094,338.899084492462,334.377643364249,330.2353571155,326.418442443549,322.884303967564,319.598663475958,316.533482669188,303.814185436106,294.243594212184,286.819413460495,280.949071823631,276.250185271062,272.461340010163,269.395974892276,266.916076049925,264.916170135899,263.313106648019,262.039365337358,261.03864951504,260.263057053711,259.671352350661,259.227980360673,258.902530157008,258.669371792769,258.507321342665,258.399234909823,258.331521772166,258.293610258484,258.27740599866,258.276801821769,258.287237055391,258.305337742468,258.328626679945,258.355297125692,258.384039716319,258.413912000026,258.444241098739,258.474551595216,258.504512351994,258.533895985949,258.562556418436
47,487.484283382841,489.984425265783,469.254960443452,449.358120925454,431.614665085612,415.919636044248,402.114660286732,390.032226401963,379.508565635277,370.367643190171,362.412630497486,355.442792836864,349.277238642309,343.767134689727,338.795871767661,334.273659932334,330.131269923187,326.314734450546,322.781325402336,319.496669609309,316.432659498133,303.720640486791,294.158069368861,286.741842340789,280.879181613747,276.18765837612,272.405853847325,269.347202723141,266.873674989148,264.879766349643,263.282282677075,262.013653899482,261.017535756088,260.245990523476,259.657766872075,259.217318860353,258.894268388137,258.663037634697,258.502506353269,258.395598070891,258.328786828319,258.291558894642,258.275869016819,258.275650051898,258.286372953151,258.304688203432,258.328137183107,258.35492712071,258.383759076247,258.41369833829,258.4440777625,258.474426175398,258.5044155819,258.533820951194,258.562497880544
48,487.409303769645,489.942555419402,469.251882921368,449.351152882578,431.599659523115,415.893557001687,402.075743711556,389.979945497163,379.443490447369,370.291345438733,362.327340595518,355.350864721904,349.180747758188,343.667729156555,338.694790008849,334.171808694944,330.029306782962,326.213132734829,322.680436643406,319.396742423709,316.333877577936,303.628992371013,294.074290724436,286.665871041721,280.810750999907,276.126456809561,272.351563760006,269.299501875596,266.832224707985,264.844196966473,263.252181752153,261.988559914586,260.99694091968,260.229352751494,259.644529727925,259.206935486171,258.886225313788,258.656873082417,258.497821378408,258.39205997617,258.326126358626,258.289563429337,258.274373866839,258.274529542835,258.28553220814,258.304056130306,258.32766076681,258.354566932223,258.383485821168,258.41349024747,258.443918641011,258.47430395423,258.504321247224,258.533747776232,258.562440768779
49,487.334648475657,489.900619920755,469.248857425002,449.344380897234,431.58507966418,415.868174031422,402.03781790937,389.928935873532,379.379930663407,370.216756122499,362.243898332002,355.26087716522,349.086255055216,343.570353960017,338.59575269503,334.072003269684,329.929381775987,326.113557926152,322.581553114731,319.298798492009,316.237054529124,303.53916449031,293.992187588709,286.591434559098,280.743720365838,276.066524695102,272.298420198694,269.2528276074,266.791685109887,264.809426627052,263.222772781017,261.964056523508,260.976842127504,260.213123304939,259.631625029104,259.196817519796,258.878390832618,258.650870235388,258.493260321515,258.388615972921,258.323536842755,258.287621215731,258.272918566977,258.273438814389,258.284713715841,258.303440698736,258.327196815167,258.354216099349,258.383219605495,258.413287467824,258.443763538595,258.47418478384,258.504229235885,258.533676375966,258.562385018329
50,487.260314128264,489.858650071179,469.245880738178,449.337795399491,431.570898422089,415.843455424709,402.000839089985,389.879142814576,379.317822526756,370.143804677121,362.162228434244,355.172751864168,348.993680431575,343.474928069156,338.498678488385,333.974162436906,329.831414109169,326.01592697834,322.484595516036,319.202759369843,316.142112920117,303.451084822199,293.911693500413,286.518471786099,280.678033774694,276.007813596061,272.246376718759,269.207138001811,266.752018675001,264.775421989607,263.194026678786,261.94011854095,260.957217951155,260.197286844132,259.619036397711,259.186953066815,258.870755501303,258.645021710831,258.488817487224,258.385261715427,258.321014992922,258.285729781792,258.271501266174,258.272376483726,258.283916444169,258.302841138261,258.326744752409,258.353874191072,258.382960105868,258.413089756166,258.443612271876,258.47406852559,258.504139442795,258.533606670518,258.562330568242
51,487.186297420925,489.8166409312,469.242949863348,449.331387460236,431.557096953392,415.81936884085,401.964766202168,389.83051496669,379.257106144277,370.07242476766,362.082260106731,355.086415149378,348.902945629748,343.381375222876,338.403490826219,333.878209741345,329.735327724939,325.920164444211,322.389489142322,319.108551205308,316.048979760086,303.364685561766,293.832745895918,286.446925207172,280.613638476849,275.950274065724,272.195389631593,269.162393639802,266.713190126369,264.742151800762,263.165916010965,261.9167223267,260.938048293008,260.181825284321,259.606753403551,259.177330987065,258.863310479815,258.639320600643,258.484487548185,258.381993139796,258.318557735081,258.283886816397,258.270120233906,258.271341258053,258.283139428152,258.302256728429,258.326304040058,258.353540804235,258.382707019801,258.412896884983,258.443464669273,258.473955049712,258.504051769523,258.533538585044,258.56227736139
