p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
22,439.793730353031,467.789987178348,433.22799162758,390.825252062104,360.271224361952,338.962760881701,335.645739945257,332.597978465216,329.796087222937,327.216658375412,324.837344397406,322.637565659679,320.598857609553,318.70491674342,316.941511477746,315.296270247341,313.758456171067,312.318740636386,310.968995779951,309.702112258134,308.511843162241,307.392674242436,306.339705032889,305.348569935299,304.415355697607,303.536523536473,302.708879965096,301.929514119856,301.195763801962,300.50518284176,299.855513271084,299.244661500979,298.670677857305,298.131738951535,297.626130032215,297.152241531995,295.207615426203,293.854091758888,292.954600506503,292.39431712296,292.078692102746,291.933037159019,291.901231893392,291.942990433636,292.030458245696,292.144904983426,292.273995159518,292.409735007865,292.547025997938,292.682680257698,292.814760429234,292.942149870575,293.064266600993,293.180865526602,293.291930888706,293.397576281218,293.498000361817,293.593447644487,293.684184800694,293.770483879699,293.852617339207,293.930846407169,294.005417010218
23,439.272910310255,467.353670309246,433.226213309947,390.817469967774,360.236638669906,338.883333363174,335.55765434935,332.502082666053,329.693408604962,327.108298348842,324.724393695318,322.521048399363,320.479698756796,318.583942973274,316.819435642303,315.173710954339,313.635945656196,312.196736088657,310.847890038094,309.582243355151,308.39350255956,307.276111769502,306.225142781491,305.236194813881,304.305331668871,303.428992398215,302.603964316545,301.827319335399,301.096379730793,300.408685177796,299.76196465581,299.15411241063,298.58316732274,298.047292667253,297.544770671542,297.073974559436,295.144605270648,293.805252486649,292.918065801971,292.367810992585,292.059913990571,291.919948062332,291.892190971379,291.936765181329,292.026165294127,292.14192977345,292.271917433113,292.408269745404,292.545980363354,292.681923631712,292.814204029194,292.941733126048,293.063948010725,293.180616531955,293.291731678325,293.397413177704,293.497863830776,293.593331031409,293.684083421619,293.770394450575,293.852537467186,293.93077435295,294.00535154057
24,438.771071229157,466.932477728152,433.224432248076,390.810149586178,360.204012341983,338.80791002271,335.473896214737,332.410784708667,329.595545887361,327.004924213618,324.616556705038,322.409736634318,320.365809581905,318.468271902486,316.702676841547,315.056464880111,313.51872913004,312.079993128082,310.732002153373,309.467538772502,308.280264196518,307.164583981107,306.115537026991,305.128694166169,304.200092839942,303.326156607708,302.503647948927,301.72962401284,301.001391929365,300.316477561484,299.672597151569,299.067630617213,298.499610540956,297.966689688105,297.467135277816,296.999313278588,295.084598967165,293.758823711975,292.883392305269,292.342690489926,292.042135651743,291.907563203063,291.883638075723,291.930874949264,292.022101421866,292.139111212665,292.269947130218,292.406878498687,292.544986040088,292.681202840317,292.81367287431,292.941334350647,293.063642368561,293.180377001846,293.291539509299,293.397255416392,293.497731449716,293.59321771276,293.683984719409,293.770307237756,293.852459473003,293.930703919809,294.005287490854
25,438.286791372635,466.525320539496,433.222646252378,390.803245321064,360.173162013559,338.736142420541,335.394093860008,332.323694107637,329.502093849962,326.906119561274,324.513408836891,322.303200112332,320.256753467719,318.357467918668,316.590799140008,314.944097014436,313.406373568865,311.968081625594,310.620905673846,309.357576413905,308.171710925144,307.05767718372,306.010482020237,305.025668582443,304.099250533865,303.227630497244,302.407552528269,301.636057422099,300.91043751674,300.228205184744,299.587061748819,298.984882892688,298.419683023618,297.889606981667,297.392912129844,296.927955007598,295.027340277957,293.714596070606,292.850415392332,292.318830863793,292.025263492518,291.895817676734,291.875527973111,291.925288618926,292.018245365795,292.13643480382,292.268074356704,292.405554494107,292.544038369901,292.680514662191,292.81316472227,292.940951971479,293.063348561035,293.180146139625,293.291353803622,293.397102571189,293.497602891228,293.593107435385,293.68388849361,293.770222087953,293.852383230866,293.93063356217,294.005224767406
26,437.818806805963,466.131205428613,433.22085343257,390.796717659985,360.143927184751,338.667724542325,335.317920505943,332.240467249035,329.412695664481,326.81151751291,324.414575847776,322.201059477692,320.152147826438,318.251146774941,316.48341795306,314.836223551204,313.298496893991,311.860622041925,310.514224299184,309.251983824687,308.067474666042,306.95502813862,305.909619774774,304.926765694577,304.002456341301,303.133073884773,302.315344378474,301.546292634144,300.823196530156,300.143552763009,299.50505787707,298.905568920959,298.34309206312,297.815762056663,297.321826653165,296.859633195284,294.972603825033,293.672385605389,292.818990536361,292.296122963425,292.009222396313,291.884654844851,291.867821220417,291.91997906543,292.014578592916,292.133887909028,292.266290484376,292.404291821759,292.543133285867,292.679856282593,292.812677611812,292.940584611252,293.063065611729,293.179923245428,293.291174052392,293.396954265956,293.497477870994,293.592999980211,293.683794571453,293.770138858786,293.852308622803,293.930566087816,294.005163287442
27,437.365988598563,465.749250732975,433.219052147393,390.790532166765,360.116168898895,338.602386253371,335.245087383923,332.160800226773,329.327035522895,326.720793193553,324.319726206476,322.102978564909,320.051653547462,318.148967828635,316.380192292952,314.732504160247,313.194760285156,311.757277796031,310.411624315729,309.150430703345,307.967229005404,306.856314737548,305.812632857319,304.831673072723,303.90940093261,303.042185199157,302.226727728252,301.460037889846,300.739380940196,300.062246048064,299.426310557406,298.829424800787,298.269580591623,297.74490480218,297.253635796806,296.794111944327,294.920190418618,293.632030082391,292.788990531458,292.274470779878,291.993940071081,291.874025012894,291.860483234573,291.91492251443,292.011084860458,292.131459450239,292.264587947416,292.40308529687,292.542267217854,292.679225228779,292.812209818379,292.940231057258,293.062792659556,293.179707700838,293.290999804848,293.396810166583,293.497356136798,293.592895152488,293.683702799045,293.770057425881,293.852235545893,293.930499940317,294.005102975022
28,436.927323988922,465.378664045697,433.217232283058,390.784658670833,360.089763035961,338.539887961376,335.175338111998,332.08442299283,329.244832614652,326.63365758104,324.228564851526,322.008658096456,319.954968660774,318.050627691936,316.280818424749,314.632635663964,313.094861890818,311.657749020129,310.312808405984,309.052622773872,307.870683137481,306.761250021653,305.719238488949,304.740112413907,303.819815087374,302.95469382646,302.141437142526,301.377036678284,300.658747158595,299.984039854045,299.350582854801,298.756213686912,298.198917912767,297.676810783084,297.188123392528,296.73118149405,294.869923160638,293.59338557114,292.760302815679,292.253789398957,291.979354704705,291.86388206167,291.853483539922,291.910098022006,292.007749860039,292.12913966707,292.262960077638,292.401930347642,292.541437015937,292.678619317445,292.811759817923,292.939890236798,293.062528941942,293.179498957427,293.290830660586,293.3966699757,293.497237463407,293.592792777837,293.683613038187,293.769977677232,293.852163907242,293.930435041057,294.005043762263
29,436.501900829895,465.018724882976,433.215409315748,390.7790706099,360.064600273342,338.480016230907,335.108444069594,332.011094542856,329.165836167335,326.549852439034,324.140828047619,321.917830488411,319.861823113439,317.955852135083,316.185024635451,314.536346823021,312.998531641357,311.561767409766,310.217510543502,308.958296732461,307.777576869173,306.669577249418,305.629183681016,304.651832730762,303.733449901398,302.870361556934,302.059238661259,301.297061190255,300.581065106054,299.908711668613,299.277657551552,298.685729652077,298.130903552051,297.611285063914,297.125094402731,296.670654517057,294.821644258332,293.556323904491,292.732827176259,292.234003599434,291.965411424169,291.854191702985,291.846795154298,291.905487050601,292.004560927651,292.126919919319,292.261400970198,292.400822923786,292.540639887892,292.67803661186,292.811326257399,292.939561196553,293.062273780349,293.179296526457,293.290666262174,293.396533427313,293.497121648898,293.592692699553,293.683525164412,293.769899511702,293.852093622781,293.930371318751,294.00498558753
30,436.088894488738,464.668796501581,433.2135740655,390.773744492195,360.040583428454,338.422580152797,335.044200565567,331.940598925268,329.089821333509,326.469146112879,324.05627911666,321.830255538492,319.7719744325,317.864403102932,316.092566889757,314.44339400568,312.905526941017,311.46909194622,310.125491752485,308.867216050177,307.687676470886,306.58106580017,305.542237227497,304.566614405926,303.650089665453,302.788974619861,301.979923581407,301.219901884381,300.506132156135,299.836063513931,299.207341437268,298.61778240393,298.065352215562,297.5481474408,297.064379512245,296.612361100178,294.775212395704,293.520730453378,292.706474176831,292.215046090741,291.95206156181,291.844917092597,291.840393966007,291.901073120637,292.001506805429,292.124792524793,292.25990537326,292.399759421283,292.539873347747,292.677475386558,292.810907930353,292.939243085648,293.062026568435,293.179099970576,293.290506289215,293.396400282562,293.497008511564,293.592594776302,293.683439065176,293.769822837669,293.852024615909,293.93030870833,294.004928394463
31,435.687556870747,464.32828525328,433.211725553351,390.768659453864,360.017625765085,338.367408318927,334.982423642666,331.872741910476,329.0165857564,326.391330018057,323.974704871019,321.74571682237,319.685204099848,317.776058162916,316.003225198146,314.353557566866,312.815629065789,311.379505319716,310.036536562112,308.779167463302,307.600771207244,306.495507748982,305.458202120378,304.484253880282,303.569534267382,302.710334154962,301.903298899587,301.145372091228,300.433765732358,299.765917025512,299.139460467362,298.552202315317,298.002098781367,297.487237375395,297.005820929595,296.556153922733,294.7305005316,293.48650230863,292.681163641004,292.196856734751,291.939261373529,291.836027552553,291.834258867681,291.896841462454,291.998577366615,292.122750531983,292.258468596652,292.39873662014,292.539135173188,292.676934098023,292.810503756695,292.938935141596,293.061786762216,293.178908896889,293.29035045342,293.396270326105,293.49689788717,293.592498880058,293.683354638302,293.769747571743,293.851956817869,293.930247151318,294.004872132336
32,435.297207115213,463.996654784657,433.20986291,390.763796891841,359.995649581451,338.314346285228,334.922947395362,331.807348194188,328.945946684423,326.316215688766,323.895912614859,321.664016314217,319.601312152539,317.690618642005,315.916800561526,314.266638801939,312.728640132769,311.292810920105,309.950450023322,308.693958020445,307.516670418209,306.412712939927,305.376889137747,304.404568799439,303.491604513022,302.634269148693,301.829192212833,301.073303008633,300.363800753142,299.698110950794,299.073857316538,298.488836076974,297.940994035945,297.428409820979,296.949277837442,296.501894545083,294.687394055137,293.453546753205,292.656823434602,292.179381499018,291.926971685965,291.827495274349,291.82836815492,291.892779057673,291.995763818617,292.120788047515,292.257086406703,292.397751602112,292.538423339495,292.676411330463,292.810112737338,292.938636651874,293.061553871823,293.178722951084,293.290198494399,293.39614336312,293.496789627166,293.592404894828,293.683271791106,293.769673638188,293.851890164523,293.930186593033,294.004816753686
33,434.917223673922,463.673414713863,433.207985360869,390.759134281298,359.974585025897,338.263254431717,334.865621705854,331.744259034757,328.877738532973,326.243632282758,323.819725241334,321.584981169861,319.520123955475,317.60790188648,315.833110056451,314.182457369007,312.64438053563,311.208830290244,309.867055184245,308.611412583681,307.435199035049,306.332514688514,305.29813007283,304.327393670505,303.416135329059,302.560615533539,301.757447097978,301.003541496517,300.296087470733,299.63249903366,299.01038930876,298.427544673053,297.881902701855,297.371533299743,296.894622614361,296.449459251151,294.645789228135,293.421779973945,292.633388440271,292.162571663741,291.915157232295,291.819295377827,291.822709057627,291.888873924475,291.993057894191,292.118899337791,292.255755101571,292.396801852463,292.537736135647,292.675905916063,292.809734082486,292.93834707744,293.061327454654,293.178541812632,293.290050176266,293.396019216799,293.496683596031,293.592312714527,293.683190438545,293.769600967306,293.851824597754,293.93012698387,294.004762215387
34,434.547037531667,463.358115440604,433.2060922135,390.754668155678,359.954369098023,338.21400614756,334.810310322461,331.683330246858,328.811810812504,326.173422114287,323.745988496018,321.508447604366,319.441474057024,317.527748519875,315.751993904714,314.100846784267,312.562686762691,311.127400959275,309.786190942309,308.531371702451,307.356203497282,306.254755555443,305.221771800172,304.252577847315,303.342983562525,302.489232193708,301.687919308743,300.935948200757,300.230489633438,299.568948215553,298.948926664462,298.368201679138,297.824701758616,297.316488262451,296.841739230492,296.39873559532,294.605591863019,293.391125969484,292.610799688213,292.146383166068,291.903786145535,291.811405392907,291.81726380081,291.885115389542,291.990452314247,292.117079445695,292.254471197572,292.39588495045,292.537071868265,292.675415911011,292.809366914709,292.938065777664,293.061107109373,293.178365190498,293.289905284471,293.395897726054,293.496579670343,293.592222242366,293.683110502936,293.769529495345,293.851760064098,293.930068278143,294.00470847766
35,434.186126375538,463.05034367533,433.204182846957,390.750379434292,359.934944801675,338.166486283869,334.756889220222,331.624430488775,328.748026359226,326.105448182157,323.67455507947,321.43426827306,319.365213562473,317.45000645173,315.673299764336,314.021661745652,312.483409530985,311.048374589636,309.707710207221,308.453687793434,307.279537984526,306.179293633739,305.147674526869,304.179981370276,303.272011701629,302.419984510244,301.62048267278,300.87039595063,300.166882915175,299.507337098769,298.889350986506,298.310691765261,297.769279023412,297.263165722152,296.790521951272,296.349621072203,294.566714348423,293.361515619519,292.589003617318,292.130776032829,291.892829544431,291.803804967166,291.812018285072,291.881493783001,291.987940476826,292.115323867164,292.25323161811,292.394998788121,292.536429076558,292.674941791506,292.809010543764,292.937792269933,293.060892471057,293.17819281972,293.289763623429,293.39577874379,293.496477737135,293.592133389611,293.683031912924,293.76945916366,293.851696514252,293.930010433644,294.004655503743
36,433.834009557634,462.749718570448,433.202256702892,390.746255945104,359.916260423172,338.120589828352,334.705245195648,331.567439793431,328.686257490878,326.039578674157,323.605292385924,321.362308373506,319.291206223968,317.374538617777,315.596887539796,313.944762795372,312.406409863027,310.971615385237,309.631478322934,308.37823155156,307.205070814945,306.105999019095,305.075710289515,304.109483183723,303.203096084115,302.352751152335,301.555016435221,300.806768381085,300.105153566032,299.447554625397,298.831553979242,298.25490946041,297.715531898164,297.2114660022,296.740874057226,296.302022023214,294.529082037496,293.332885887879,292.56795144253,292.115713898097,291.882261179186,291.796475614479,291.80695970766,291.878000323846,291.98551638487,292.113628507063,292.252033556015,292.394141432346,292.535806430755,292.674481889607,292.808664315433,292.937526090296,293.060681053263,293.178024458353,293.289625014284,293.395662135297,293.496377692771,293.592046074688,293.682954602795,293.769389918114,293.851633902682,293.929953411345,294.004603259584
37,433.490243723846,462.455888358191,433.200313277914,390.742286656704,359.898268913391,338.07622076489,334.65527465657,331.51224830271,328.626393960001,325.97569487292,323.538078821302,321.292444265403,319.219327050874,317.301219259718,315.522636617848,313.870024032042,312.331566939187,310.89699871718,309.557371705245,308.304878694248,307.13268113656,306.034752494572,305.005761657412,304.040965393831,303.136123240138,302.2874207977,301.49141151794,300.744957314897,300.045195821166,299.38949752225,298.775436332001,298.200758056839,297.663366329697,297.161297751008,296.692706938987,296.255852590873,294.492621403193,293.30517913697,292.54759861151,292.101163589117,291.872057127259,291.789400498708,291.802076412694,291.874626951174,291.983174497978,292.111989548274,292.250874370121,292.39331112593,292.535202712417,292.674035355849,292.808327632582,292.937266814912,293.060476902493,293.177859884878,293.289489293051,293.395547776838,293.496279441898,293.591960222429,293.682878511871,293.769321708669,293.851572187202,293.929897175048,294.004548007396
38,433.154419005734,462.168527417212,433.198352117089,390.738461544208,359.880927356399,338.033291088004,334.606882575726,331.458755172364,328.568327991533,325.913687694841,323.472802621545,321.224562274931,319.149461105614,317.229932717177,315.450428390056,313.797329642165,312.258763112257,310.824407625779,309.485274662477,308.233516695887,307.062257772258,305.965444390474,304.937718165432,303.974321750897,303.07098880326,302.22389106276,301.429566169872,300.684867438786,299.986916588387,299.333074967744,298.720905340698,298.148147280001,297.61269588454,297.112577027914,296.645939185288,296.211033923827,294.457266727575,293.278342535576,292.527904335773,292.087094769287,291.862195531267,291.782564246935,291.797357743425,291.871364284857,291.980910040851,292.110403811997,292.249751958647,292.392506237092,292.534616786084,292.673601394073,292.807999932091,292.937014041454,293.060277528739,293.177698886277,293.289356299555,293.395435544972,293.496182896599,293.591875763399,293.682803584026,293.769254488943,293.851511328673,293.929837968893,294.004497004509
39,432.826155689884,461.887333703411,433.19637280833,390.734771473958,359.864196510587,337.991719947784,334.55998158215,331.406865330863,328.511962475377,325.853456680465,323.409360824966,321.158557654806,319.081502456167,317.160572376625,315.380155984105,313.726572851549,312.187892009274,310.753740970781,309.415086331819,308.164041804017,306.993698214639,305.897973592247,304.871485059325,303.909454302662,303.007596563478,302.162066132994,301.369390797745,300.626406873957,299.930226051629,299.278199277595,298.667879712662,298.096998012573,297.563440950911,297.065226529513,296.600495834696,296.167493431382,294.422957460041,293.252327545123,292.508831184482,292.073479629236,291.852656372261,291.775952784223,291.792794012831,291.868209989716,291.978718287187,292.108867999443,292.248663996644,292.391725360591,292.534047692486,292.673179346181,292.8076807593,292.936767452133,293.060082706901,293.177541300147,293.28922591874,293.395325358732,293.496087971143,293.591792628975,293.682729767197,293.769186756569,293.851447553415,293.929783083171,294.004446642147
40,432.505101294454,461.612026491629,433.194374977629,390.731208104001,359.848040410969,337.951432905098,334.514491169282,331.356497771889,328.457207823932,325.794909113555,323.347658375285,321.09433367632,319.015353261397,317.093039753531,315.311720666053,313.657655009474,312.118855345284,310.684898809748,309.34670560912,308.096358151047,306.926907748119,305.83224667399,304.806967930779,303.846272553324,302.945856212543,302.101861692125,301.310798576461,300.56949206749,299.875042568981,299.224790777586,298.616280393184,298.047233289066,297.515526656529,297.019174910279,296.556307713304,296.12516413742,294.38963783387,293.227089472388,292.49034473113,292.060292618394,291.843421272348,291.769553211374,291.788376254824,291.865155745778,291.976595076515,292.107379276373,292.247608550364,292.390967088846,292.533494442513,292.672768510655,292.807369612102,292.936526686289,293.059890701818,293.177386935939,293.289098005432,293.39521710308,293.495994600971,293.591710769895,293.682657010559,293.769117654932,293.851388181876,293.929728888494,294.004396894736
