p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
43,1.23416243254203,1.29720827286166,1.27964180214091,1.24592992279684,1.22414999905578,1.21023188045554,1.20824359123007,1.20648769118862,1.20494522493423,1.20359579984751,1.20241884405145,1.20139468388851,1.20050527677258,1.19973456204627,1.19906854379364,1.19849519010948,1.19800423036052,1.19758694027922,1.19723591148425,1.19694483902297,1.19670834661256,1.19652182262088,1.19638130781987,1.196283368419,1.19622502078969,1.19620364576945,1.19621693878286,1.19626285397959,1.19633955956602,1.19644540612505,1.19657889868792,1.19673866848622,1.19692345346309,1.19713208075165,1.19736345192665,1.19761653137118,1.19917444501991,1.20114148186905,1.20342083887315,1.20592676687221,1.2085863236422,1.2113411411239,1.21414726951184,1.21697325327083,1.21979748869069,1.22260562772465,1.22538845561569,1.22814028615775,1.23085783043444,1.23353941866968,1.23618447427894,1.23879316089493,1.24136614294381,1.24390444723262,1.24640930922995,1.24888213817504,1.25132446857892,1.25373790019463,1.25612409412634,1.25848474620852,1.26082161126453,1.26313643782951,1.26543102590069
44,1.23388285053911,1.29688848089959,1.27963947882297,1.24592627538023,1.22413431229828,1.210192788623,1.2081993407777,1.20643856102493,1.20489165384638,1.20353833593797,1.20235808456473,1.20133122710578,1.20043968948453,1.19966736166201,1.19900019138294,1.19842609048039,1.19793473581089,1.19751735628938,1.19716650270571,1.19687583493923,1.19663994668844,1.19645420060385,1.19631461562635,1.19621773907363,1.19616057100735,1.19614047793765,1.19615514266139,1.19620250801995,1.19628073193207,1.19638815554958,1.19652327516339,1.19668471378744,1.19687120158139,1.19708155825344,1.1973146782591,1.19756951913974,1.1991362072097,1.20111146238476,1.20339797884547,1.20590976788936,1.20857388845793,1.21133213066549,1.21414076645885,1.21696855972934,1.21979409219723,1.22260315938429,1.22538665246949,1.22813896124944,1.23085685065666,1.23353868891786,1.23618392630832,1.23879274554054,1.2413658247147,1.24390420023711,1.24640911001843,1.24888198243698,1.25132434181308,1.25373779517758,1.2561240055914,1.25848467039526,1.26082154523301,1.26313637956873,1.26543097383157
45,1.23360893801579,1.29657498923648,1.27963713282228,1.24592273983959,1.2241191077714,1.21015478383687,1.20815629093505,1.20639072864123,1.20483946404177,1.20348232171231,1.20229882921057,1.20126931660959,1.20037568008055,1.19960176179989,1.19893345454605,1.19835861288312,1.19786686725485,1.19744939793865,1.19709871380578,1.19680844136843,1.19657314120705,1.19638816117459,1.19624948728357,1.1961536542039,1.19609764342757,1.19607880814568,1.19609481868792,1.19614360673018,1.19622332003299,1.19633229043634,1.19646900560229,1.19663208043391,1.19682023741139,1.19703228892078,1.1972671224012,1.19752368865623,1.1990989640337,1.20108224943583,1.20337574994036,1.20589324775137,1.20856180683159,1.21132337866676,1.2141344499079,1.21696400015719,1.21979078990263,1.22260076012919,1.22538489908804,1.22813767229673,1.23085589694054,1.23353797811941,1.23618339217029,1.23879234032127,1.24136551394288,1.24390395410951,1.24640891951045,1.24888182979526,1.25132421740084,1.25373769197197,1.25612391847039,1.25848459569977,1.26082148010359,1.26313632204275,1.26543092237116
46,1.23334046099076,1.29626754170524,1.27963476382234,1.24591931015757,1.22410436066514,1.21011781392068,1.20811438350801,1.20634413341249,1.20478859172037,1.20342769082956,1.20224100966101,1.20120888255622,1.20031317759804,1.19953769071219,1.198868261032,1.19829268906399,1.19780055468018,1.19738299278525,1.19703247261299,1.19674258654051,1.19650786591894,1.19632363373137,1.19618585456673,1.1960910447663,1.19603616991047,1.19601856923123,1.19603590074608,1.19608608510318,1.19616726003003,1.19627774816998,1.19641602866409,1.19658070840793,1.19677050230287,1.19698421551232,1.19722072855864,1.19747898484038,1.19906266898645,1.2010538033807,1.2033541215787,1.20587718291958,1.20855006342562,1.21131487220268,1.21412831050362,1.21695956783198,1.21978758084728,1.22259842650947,1.22538319299658,1.22813641752021,1.23085496800388,1.23353728534804,1.23618287119415,1.23879194474975,1.24136520664266,1.24390371776702,1.24640873292939,1.24888168011013,1.25132409523885,1.25373759050104,1.25612383270628,1.25848452207993,1.26082141584241,1.26313626523091,1.26543087150702
47,1.2330771999318,1.29596589779367,1.2796323715324,1.245915980761,1.2240900479389,1.21008183013097,1.20807356546561,1.20629871878079,1.20473897733214,1.20337438134698,1.20218456207464,1.20114985967434,1.20025211570947,1.19947508134996,1.19880454331064,1.19822824912631,1.19773572896793,1.19731807305506,1.19696771161911,1.19667820336009,1.19644405074936,1.19626055226525,1.19612365133885,1.19602984621407,1.1959760867575,1.19595969841349,1.19597832703699,1.19602988238164,1.1961124922629,1.19622447023894,1.19636428703418,1.19653054163683,1.19672194146696,1.19693728456176,1.19717544462338,1.19743535850545,1.19902727866843,1.20102609080384,1.2033330652776,1.20586155148648,1.20853864071409,1.21130659925672,1.21412233955034,1.21695525650589,1.21978445864295,1.22259615531823,1.22538153189419,1.22813519526538,1.23085406265402,1.23353660974183,1.23618236275531,1.23879155388198,1.24136490963181,1.24390348644522,1.24640855009781,1.24888153325054,1.2513239752297,1.25373749069187,1.25612374814305,1.25848444936257,1.26082135224772,1.26313620888446,1.26543082092962
48,1.23281894857851,1.29566983137955,1.27962994670456,1.24591274647946,1.22407614816146,1.21004678708293,1.20803378740195,1.20625443180245,1.20469056511688,1.20332233523544,1.20212942672643,1.20109218688795,1.20019243233915,1.1994138708727,1.1987422381028,1.19816522956459,1.19767232656701,1.19725457533895,1.19690436764561,1.19661522897337,1.19638163333132,1.19619885497117,1.19606281644284,1.19596999811614,1.19591733433485,1.1959021369214,1.19592203971282,1.19597494169703,1.19605896089449,1.19617240188615,1.19631372708087,1.19648152765657,1.19667450364653,1.19689144605523,1.19713122185819,1.19739276145866,1.19899275254196,1.20099907718622,1.20331255446618,1.20584633303118,1.2085275234284,1.21129854863936,1.21411652895276,1.21695106036291,1.21978141912253,1.22259394356976,1.22537991363833,1.22813400399125,1.23085317977979,1.23353595049754,1.23618186187097,1.2387911761568,1.24136461908478,1.24390325991851,1.24640837084983,1.24888138909379,1.25132385725707,1.2537373924433,1.25612366498916,1.25848437784763,1.26082128973212,1.26313615355737,1.26543077137094
49,1.23256551288336,1.29537912959188,1.27962750667761,1.24590960250868,1.22406264136827,1.2100126423009,1.2079950030467,1.20621122301083,1.20464330293946,1.20327149823464,1.20207554761191,1.20103580691444,1.20013406926328,1.19935400045855,1.19868128614964,1.19810357088436,1.19761028791953,1.19719244015888,1.19684238143684,1.19655360255176,1.19632055519415,1.19613848158884,1.1960032925385,1.19591144381548,1.19585985673594,1.1958458296605,1.19586698454823,1.19592120974594,1.19600661359247,1.19612149179609,1.19626429854813,1.19643361731031,1.19662814082085,1.19684665314221,1.19708801461409,1.19735114928107,1.19895905264965,1.20097273118709,1.20329256423606,1.20583150849023,1.20851669732345,1.21129070991542,1.21411087116299,1.21694697398072,1.21977845840085,1.22259178848008,1.22537833623087,1.22813284226037,1.23085231834449,1.2335353025624,1.23618137668426,1.23879080680734,1.24136433471354,1.24390303797596,1.24640819502433,1.24888124751733,1.25132374129992,1.253737295775,1.25612358300215,1.25848430724467,1.26082122793577,1.26313609879605,1.26543072225245
50,1.23231671005682,1.29509359178329,1.27962504261281,1.24590654437771,1.22404950893415,1.20997935602043,1.20795716905501,1.20616904600646,1.20459714188371,1.20322181940404,1.20202287223128,1.20098066604692,1.20007697187807,1.19929541484921,1.198621631787,1.19804321720552,1.19754955709325,1.19713161166799,1.19678169735786,1.19649327259771,1.19626076141502,1.19607938231486,1.1959450257922,1.19585413012223,1.19580360147806,1.19579072491357,1.19581311064521,1.19586863649942,1.19595540124327,1.19607169181369,1.1962159542796,1.19638676447779,1.19658280794044,1.19680286187608,1.19704578007669,1.19731048031721,1.19892614343005,1.20094702353972,1.20327307157118,1.20581706004214,1.20850614908997,1.21128307333907,1.2141053591333,1.21694299229666,1.21977557285031,1.22258968744943,1.2253767978056,1.22813170872995,1.23085147737942,1.23353467373196,1.2361809024006,1.2387904454641,1.24136405624726,1.24390282041843,1.2464080224914,1.24888110843342,1.25132362722899,1.25373720056251,1.25612350215348,1.25848423754144,1.26082116686151,1.2631360446186,1.26543067360925
51,1.23207236770466,1.29481302860102,1.27962255451066,1.24590356791977,1.22403673345913,1.20994688955686,1.20792024476932,1.20612785724336,1.20455203601949,1.20317325089926,1.20197135123976,1.20092671379225,1.20002108884189,1.19923806210583,1.19856322269024,1.19798411476175,1.19749008150605,1.19707203736549,1.19672226310485,1.19643418520965,1.19620220038748,1.19602150369673,1.19588796559754,1.19579800703724,1.19574851922938,1.19573677407106,1.19576037016735,1.19581717494126,1.19590527769461,1.19602295669131,1.19616864997013,1.19634092583164,1.19653846268842,1.19676003098058,1.19700447803813,1.19727071545264,1.19889399050892,1.20092192680344,1.20325405457641,1.20580297092458,1.20849586627585,1.21127562979563,1.21409998627372,1.21693911057723,1.21977275907901,1.22258763804672,1.22537529661708,1.22813060214385,1.23085065167618,1.23353405915687,1.2361804385443,1.23879009178061,1.24136378343709,1.24390260706543,1.24640785310288,1.24888097172561,1.25132351497364,1.25373710675528,1.25612342240813,1.25848416871556,1.26082110649774,1.26313599102338,1.26543062544967
52,1.23183232304679,1.29453726114494,1.27962004166273,1.24590066924609,1.2240242986661,1.20991521072642,1.20788419200469,1.20608761580099,1.20450794216817,1.20312574772747,1.20192093822194,1.20087390264707,1.19996637184557,1.19918189335107,1.19850600961472,1.19792621657102,1.19743181166497,1.19701366783368,1.19666402944446,1.19637629143564,1.19614482352578,1.19596479760324,1.1958320643288,1.19574302750267,1.19569456356237,1.19568393138789,1.19570871810005,1.19576678083185,1.19585619832048,1.1959752438604,1.19612234394174,1.19629606061768,1.19649506526524,1.19671812163929,1.19696407069093,1.19723181791244,1.19886256453993,1.20089741521705,1.20323549285058,1.20578922569655,1.20848583708896,1.21126837053001,1.2140947460951,1.21693532415795,1.21977001363714,1.22258563769119,1.2253738307057,1.22812951680658,1.23084984853906,1.23353345822248,1.23617998466934,1.23878974543341,1.24136351604342,1.24390239773973,1.24640768673208,1.24888083730062,1.25132340446507,1.25373701430255,1.25612334372888,1.25848410074035,1.26082104682597,1.26313593799896,1.26543057776861
53,1.23159641734211,1.29426612020333,1.27961750423644,1.24589784472251,1.22401218930875,1.20988428525635,1.20784897485514,1.20604828318192,1.20446481968942,1.20307926752629,1.20187158946461,1.20082218786476,1.19991277537684,1.1991268625324,1.19844994615782,1.19786947481901,1.1973747009293,1.19695645650147,1.19660694997922,1.19631954514322,1.1960885850437,1.19590921866633,1.19577727561847,1.19568914718176,1.19564169073104,1.19563215376353,1.19565811203371,1.19571741113064,1.1958081246123,1.19592851322515,1.196076996941,1.1962521304563,1.19645257819421,1.19667709730517,1.19692452244231,1.19719375308021,1.19883183503438,1.20087346456664,1.20321736723122,1.20577580953621,1.20847605090349,1.21126128808992,1.21408963361976,1.21693162948113,1.21976733425506,1.22258368503987,1.22537239534099,1.22812846076705,1.2308490640091,1.23353287035239,1.23617954035746,1.23878940611699,1.24136325384412,1.24390219227856,1.24640752325919,1.24888070506984,1.25132329563729,1.2537369231549,1.25612326607849,1.25848403358776,1.26082098782509,1.26313588552976,1.26543053055498
54,1.23136451453858,1.2939994455576,1.27961493297349,1.24589509094835,1.2240003910886,1.20985408221274,1.20781455951788,1.20600982312474,1.20442263028749,1.20303377036415,1.20182326375234,1.20077152724726,1.1998602565093,1.19907292620908,1.19839498854523,1.1978138455511,1.19731870529587,1.19690035943045,1.19655098093426,1.19626390280764,1.19603344174382,1.19585472408437,1.19572356005283,1.19563632423123,1.19558985947357,1.19558140054269,1.19560851196733,1.19566902924624,1.19576101680153,1.19588272697561,1.19603257195561,1.19620909916256,1.19641096614527,1.19663692352836,1.19688579974571,1.19715648833355,1.19880177421969,1.20085005206585,1.20319965969675,1.20576270868268,1.20846649722173,1.21125437457321,1.21408464287631,1.2169280222123,1.21976471761564,1.22258177557539,1.22537099643947,1.22812742826129,1.23084829630345,1.23353229500463,1.23617910521507,1.23878907354503,1.24136299663016,1.24390199052856,1.24640736257113,1.24888057494936,1.25132318842759,1.25373683326502,1.25612318942091,1.25848396723007,1.26082092947354,1.26313583359888,1.26543048379552
55,1.23113647199994,1.2937370853488,1.27961234553565,1.24589240473746,1.22398889058004,1.20982457245864,1.2077809141352,1.20597220143666,1.20438133783619,1.20298921855919,1.20177592218184,1.20072188095608,1.19980877471094,1.199020043359,1.19834109543651,1.19775928725447,1.19726378320437,1.19684533512063,1.19649607908359,1.19620932331972,1.19597935205973,1.1958012734325,1.1956708761881,1.1955845191538,1.19553903080908,1.19553163333811,1.19555988013016,1.19562159671468,1.19571483846861,1.19583784941798,1.19598903404787,1.19616693258302,1.1963701957752,1.19659756779983,1.19684787094808,1.19711999289505,1.19877235591157,1.20082715624753,1.20318235328625,1.20574991015107,1.20845716639424,1.21124762295271,1.21407976872132,1.2169244987231,1.21976216113947,1.22257990729395,1.22536962877522,1.22812641828607,1.23084754506321,1.2335317316696,1.2361786788721,1.23878874744799,1.24136274420461,1.24390179234515,1.2464072045612,1.24888044685989,1.25132308277656,1.2537367445879,1.25612311372164,1.25848390164058,1.26082087175023,1.2631357821895,1.26543043747658
56,1.23091215892689,1.29347889549932,1.27960973302957,1.24588978310115,1.22397767516261,1.20979572851981,1.20774800864956,1.20593538584087,1.20434090821955,1.20294557651467,1.20172952799322,1.20067321134047,1.19975829167007,1.19896817520311,1.19828822774861,1.19770576068094,1.19720989536028,1.19679134433373,1.19644220907084,1.19615576781063,1.19592627894469,1.19574882849004,1.19561918621472,1.19553369460163,1.19548916790371,1.19548281585029,1.19551218081966,1.19557507845776,1.19566955519306,1.19579384682043,1.19594635020336,1.19612559844732,1.19633023558236,1.19655899940925,1.19681070615104,1.19708423769688,1.19874355539646,1.20080475686526,1.20316543200861,1.20573740172536,1.2084480493325,1.21124102656927,1.21407500643532,1.21692105558469,1.21975966237923,1.22257808445813,1.22536829107195,1.22812543004632,1.23084680962581,1.23353117986736,1.23617826097995,1.23878842757184,1.24136249638181,1.24390159759196,1.24640704912868,1.24888032072653,1.25132297862798,1.25373665708092,1.25612303894792,1.2584838367938,1.26082081463496,1.26313573128535,1.2654303915848
57,1.23069145117057,1.2932247391841,1.27960709531292,1.24588722323261,1.22396673295955,1.20976752446271,1.20771581467257,1.20589934583765,1.20430130918673,1.20290281056904,1.20168404641642,1.20062548278095,1.19970877113677,1.19891728504534,1.19823634849499,1.19765322868565,1.19715700457358,1.19673834993222,1.19638933203992,1.19610319949238,1.19587418512663,1.19569735308422,1.19556845434967,1.19548381522964,1.19544023456013,1.1954349137421,1.19546538025373,1.1955294412864,1.19562513441044,1.19575068727262,1.1959044891931,1.1960850662331,1.19629105577439,1.19652118931569,1.19677427708458,1.19704919525746,1.19871534932469,1.20078283480386,1.20314888077946,1.20572517188656,1.20843913746982,1.21123457918885,1.21407035150294,1.21691768955891,1.21975721510534,1.22257630149642,1.22536698217223,1.22812446267772,1.23084608936678,1.23353063914549,1.23617785120984,1.23878811367697,1.24136225298659,1.24390140614023,1.24640689617842,1.24888019647845,1.25132287592864,1.25373657070367,1.25612296506867,1.25848377266553,1.26082075810846,1.26313568087089,1.26543034610741
58,1.23047423078489,1.29297448634627,1.2796044322658,1.24588472249301,1.22395605278204,1.20973993578332,1.20768430536538,1.20586405257787,1.20426251021982,1.20286088885928,1.20163944453097,1.20057866154653,1.19966017877817,1.19886733812665,1.19818542263874,1.19760165607986,1.19710507355776,1.19668631673235,1.1963374129371,1.19605158351233,1.19582303601689,1.1956468129465,1.19551864669499,1.19543484612781,1.1953922004119,1.19538789448938,1.195419446436,1.19548465376796,1.19558154528196,1.19570834055751,1.19586342144775,1.19604530704277,1.19625262814755,1.19648411002957,1.19673855699176,1.19701483956911,1.19868771561303,1.20076137199802,1.20313268468419,1.20571320976206,1.20843042271853,1.21122827490837,1.21406579966322,1.21691439758836,1.21975482486678,1.22257455684875,1.22536570094452,1.22812351536485,1.23084538369688,1.23353010907695,1.23617744925143,1.2387878055371,1.24136201385342,1.2439012178683,1.24640674562044,1.24888007404863,1.25132277462819,1.25373648541787,1.25612289205438,1.25848370923275,1.26082070215242,1.26313563093132,1.2654303010322
