p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
14,1221.51718207712,1292.51079440697,1861.02119464305,2388.87486261054,2758.92194043601,2967.74392859401,2991.39279743267,3010.0681002577,3024.36695531275,3034.87224727066,3042.12142897246,3046.5905331979,3048.68989331246,3048.76711830543,3047.11326030417,3043.97071440519,3039.54081583807,3033.99077366021,3027.45966257333,3020.06345619128,3011.89921028911,3003.04841412176,2993.57972492844,2983.5514190936,2973.01305599219,2962.00703294884,2950.56981731479,2938.73296085256,2926.52393893586,2913.96684837435,2901.08299069756,2887.8913621739,2874.4090674261,2860.65167000199,2846.63351932397,2832.36788718465,2757.75007272633,2678.67649395567,2596.53218887549,2512.73788162947,2428.68513077496,2345.6118727525,2264.50199971206,2186.05051078921,2110.68522011277,2038.62042502175,1969.91573748734,1904.5275730725,1842.34830716295,1783.23390875927,1727.02213952926,1673.54472318534,1622.6341029355,1574.12844136176,1527.87331715584,1483.7236168258,1441.54351516414,1401.20660429409,1362.59558917892,1325.60182856201,1290.12488662863,1256.07155160336,1223.3560145882
15,1226.1049130668,1297.00016161478,1861.04416370675,2389.28386816859,2760.84539582254,2972.09619268823,2996.18104137572,3015.24005947665,3029.86534285433,3040.63974776713,3048.10401853204,3052.73933144294,3054.96169324317,3055.12438441407,3053.5236488348,3050.40646363074,3045.97810873544,3040.40914109445,3033.84145538134,3026.39339353415,3018.16400253091,3009.23642464522,2999.68080252143,2989.55655535375,2978.91430567279,2967.79735269471,2956.24295456242,2944.28336464229,2931.94668869363,2919.25759741876,2906.23792179286,2892.90715290187,2879.28286332726,2865.38106466348,2851.21650986884,2836.80297981782,2761.43642867575,2681.63433738221,2598.82465479839,2514.45905235633,2429.94320383507,2346.51270091278,2265.13782110346,2186.49523407314,2110.99468715874,2038.8352162559,1970.06463266745,1904.6307044081,1842.41967309808,1783.2832124776,1727.05611170858,1673.56804045214,1622.65001931261,1574.13922051493,1527.88054554315,1483.72839587345,1441.54661197553,1401.2085524779,1362.59675923558,1325.60247657356,1290.12518584369,1256.07162748745,1223.3559472326
16,1230.43052834091,1301.24234880111,1861.06558255295,2389.65532821906,2762.60686984178,2976.1258969849,3000.62318742217,3020.04654179626,3034.98274728611,3046.01417423659,3053.68437918777,3058.47912075308,3060.81987585921,3061.06510106263,3059.51600843497,3056.42393587149,3051.99792825414,3046.41174398372,3039.80997789589,3032.31324171398,3024.02249209283,3015.02244923483,3005.38470628363,2995.16975548954,2984.42924915322,2973.20735355549,2961.54208752209,2949.46637970913,2937.00894297248,2924.19500100638,2911.046895163,2897.58459364676,2883.82612062425,2869.78791917196,2855.48515907848,2840.93202807389,2764.86014153527,2684.37420150579,2600.9426658377,2516.04549402851,2431.10056796986,2347.34025253147,2265.72139219757,2186.90320811375,2111.27852473385,2039.03221439988,1970.20120426548,1904.72531147262,1842.48514296302,1783.32844158201,1727.08727140111,1673.58942017615,1622.66460466501,1574.14908927823,1527.8871542455,1483.73275567553,1441.54942784041,1401.21031477279,1362.59780820631,1325.60304750048,1290.12543793291,1256.07167592423,1223.3558655911
17,1234.52389644336,1305.26491304714,1861.08570773405,2389.99470095635,2764.22853664641,2979.87406106288,3004.76274161743,3024.53305217288,3039.76624359878,3051.04380727779,3058.91167557072,3063.85982543473,3066.31470569425,3066.63979150075,3065.14097171201,3062.07374618999,3057.65076323386,3052.04885111984,3045.41519719984,3037.87259445599,3029.5238359794,3020.45518680502,3010.73955611676,3000.43854962785,2989.60478501845,2978.28326429844,2966.51273986231,2954.32679193445,2941.75471945346,2928.82228020594,2915.55230866635,2901.9652341199,2888.0795169631,2873.91201735773,2859.47830746196,2844.79296752996,2768.05423024711,2686.92402698951,2602.9089241815,2517.51503837663,2432.17074801417,2348.10447988066,2266.25986473653,2187.27942831928,2111.54026499491,2039.21387502943,1970.32715170237,1904.81256615182,1842.5455273812,1783.37015569464,1727.11600462063,1673.60912825406,1622.67804176815,1574.15817286111,1527.89322858441,1483.73675450554,1441.5520020862,1401.21191733397,1362.59875335252,1325.60355255047,1290.12564996456,1256.07170124898,1223.35577269157
18,1238.40996549023,1309.09094649763,1861.1047452427,2390.30639071648,2765.72847894373,2983.37449607577,3008.63561519639,3028.73719347387,3044.2547653086,3055.76860354411,3063.82663002179,3068.92267220126,3071.48782904874,3071.89032498948,3070.44050469552,3067.39785019387,3062.97846709005,3057.36213452188,3050.69853500161,3043.11256271243,3034.70875070351,3025.57494451586,3015.7851769264,3005.40232500074,2994.47977215233,2983.06338324542,2971.19261966676,2958.90169168356,2946.22046521671,2933.17521495374,2919.78925275616,2906.08345433871,2892.07670243408,2877.78626087366,2863.22809101118,2848.41711954824,2771.04594947111,2689.30671115224,2604.74207323736,2518.88225143099,2433.16479609533,2348.81350002275,2266.75906354739,2187.62812179153,2111.78278084773,2039.38219245408,1970.44386487905,1904.89342726925,1842.6014883854,1783.40881265953,1727.14262841709,1673.62738553703,1622.69048605351,1574.16658296902,1527.89883791699,1483.74043931064,1441.55436630199,1401.21338121506,1362.59960853299,1325.6040684967,1290.12582758044,1256.0717069204,1223.35566892649
19,1242.10979699467,1312.74000170109,1861.12286263842,2390.59399651884,2767.12161866462,2986.65538782341,3012.27178527509,3032.69038852204,3048.48087406769,3060.22200143376,3068.46333800573,3073.70221027217,3076.37413697921,3076.85178634306,3075.44977826224,3072.43141336723,3068.01612163692,3062.38652479479,3055.69471194917,3048.06760566196,3039.61144758104,3030.41552700751,3020.55509782033,3010.09408551494,2999.08676773886,2987.57979347076,2975.6133106832,2963.22214004247,2950.43669700183,2937.28375741662,2923.78709611624,2909.96802179616,2895.84582675329,2881.43816614077,2866.76137836836,2851.83075586173,2773.85803355222,2691.54136105598,2606.4575994111,2520.15931859733,2434.091854788,2349.47401604251,2267.22379217458,2187.95261959132,2112.00843792336,2039.53880928884,1970.55245396804,1904.96866846511,1842.65356135212,1783.44477985778,1727.16739250234,1673.64435648765,1622.702039441,1574.17437338885,1527.90403951421,1483.74384893454,1441.55654663579,1401.21472384404,1362.60038520758,1325.60446532103,1290.12597537778,1256.07169567425,1223.35555735723
20,1245.64133720769,1316.22878756037,1861.1401977986,2390.86049241919,2768.42039980173,2989.74046940198,3015.69652633224,3036.41915813826,3052.47207384363,3064.43226271241,3072.85062996873,3078.22772076748,3081.00315067648,3081.553866392,3080.19856015041,3077.20420162674,3072.79342360213,3067.15159136693,3060.43311963983,3052.76689277535,3044.26080595111,3035.00554638119,3025.07755067705,3014.54176031158,3003.45331964299,2991.8596380658,2979.80152960641,2967.31440731232,2954.42922014461,2941.17323065943,2927.5706633755,2913.64324756566,2899.41067329434,2884.8909756171,2870.10085876055,2855.05596965141,2776.50964483855,2693.64402807845,2608.06849635322,2521.35632778058,2434.95955098497,2350.09160879116,2267.65804657255,2188.2557396836,2112.21920421511,2039.68510029,1970.65390469046,1905.03895625186,1842.70220653008,1783.47837758947,1727.19052169979,1673.66020358023,1622.71282473116,1574.18164421082,1527.90888107669,1483.74701572973,1441.55856487079,1401.21595975298,1362.60109295811,1325.60481899329,1290.1260973025,1256.07166997532,1223.35543894379
21,1249.02001912636,1319.57170118347,1861.15686535088,2391.10836075759,2769.63529813983,2992.6499045765,3018.93133887268,3039.94608569416,3056.25180335533,3068.42348614753,3077.01310062633,3082.52413824304,3085.4000690226,3086.02191354047,3084.71226780029,3081.7416331319,3077.33573342148,3071.6825865513,3064.93885844929,3057.23533409475,3048.68151160804,3039.36943399812,3029.37668535652,3018.76916139647,3007.6029436177,2995.926084296,2983.78007652183,2971.20090912179,2958.2200497832,2944.86523440085,2931.16112490174,2917.129859648,2902.79151553077,2888.16449690478,2873.26586336897,2858.11160591543,2779.01706886486,2695.62837399583,2609.58576568163,2522.48185508825,2435.77433724942,2350.670995064,2268.06519833817,2188.53985607027,2112.41673600267,2039.82219027369,1970.74896724703,1905.10483993345,1842.74780518547,1783.50987073132,1727.21220041522,1673.67505489074,1622.72293064858,1574.18845626502,1527.91340269908,1483.7499668735,1441.56043928496,1401.21710110943,1362.60173977373,1325.60513464247,1290.12619655543,1256.07163173838,1223.35531472858
22,1252.2592002395,1322.78124016436,1861.17296147998,2391.33969220058,2770.77520767654,2995.40096330628,3021.99466030797,3043.29055604245,3059.84019681751,3072.21638485431,3080.97189858589,3086.61292716725,3089.58657259421,3090.27774095544,3089.01277661008,3086.06558580437,3081.664880474,3076.00124715765,3069.23353435355,3061.49437123859,3052.89481221062,3043.52821721817,3033.47328530784,3022.79684212381,3011.55587329604,2999.79906349491,2987.56856418574,2974.90092461399,2961.82811750263,2948.37833969439,2934.57667912136,2920.4456725539,2906.00577352537,2891.27574580858,2876.27298478305,2861.01383525107,2781.39429795375,2697.50605759831,2611.01883210891,2523.54318526116,2436.54169118603,2351.2161714408,2268.44810256916,2188.80697767844,2112.60243358249,2039.95107488074,1970.83834883771,1905.16677790462,1842.79066941206,1783.53946865118,1727.23256535621,1673.68896206334,1622.7324037192,1574.19482730293,1527.91764422949,1483.75273355454,1441.56218536823,1401.21815821914,1362.60233241683,1325.60541660814,1290.12627584605,1256.07158259025,1223.35518561066
23,1255.37053082484,1325.8683262967,1861.18856757227,2391.55626194372,2771.84773765052,2998.00854534167,3024.9024164993,3046.46932925788,3063.2546749606,3075.82889047925,3084.74534027648,3090.51268347865,3093.5814272802,3094.34025451881,3093.11904878004,3090.19502563986,3085.79978964002,3080.12641824047,3073.33587894535,3065.56259287685,3056.91912749861,3047.50009131097,3037.38536541013,3026.64260905264,3015.32964355623,3003.49584651382,2991.18398515376,2978.43115487615,2965.26982073417,2951.72862895335,2937.83308281933,2923.60610761402,2909.0685239704,2894.23943581132,2879.13660472137,2863.77667142665,2783.65338736962,2699.28713960519,2612.37577294526,2524.54661470289,2437.26631129123,2351.73056182258,2268.80920257464,2189.05882473973,2112.7774980146,2040.072581141,1970.92261797899,1905.22517593947,1842.83108423805,1783.5673737654,1727.25176283737,1673.70209897448,1622.74132770407,1574.20082518003,1527.92161917405,1483.75531378757,1441.56382019568,1401.21914518103,1362.60288391424,1325.60566858174,1290.12633747279,1256.07152390498,1223.35505234356
24,1258.36423362948,1328.84255943432,1861.20375301783,2391.75958851677,2772.85944373213,3000.48559103628,3027.66845490936,3049.49699155429,3066.51040978989,3079.27662851348,3088.34939308663,3094.23962328174,3097.4010628221,3098.22594727909,3097.04762851368,3094.14650152161,3089.75697475169,3084.07454434296,3077.26223773639,3069.45621944575,3060.7705298474,3051.30102385318,3041.12864272488,3030.32194953394,3018.93951684935,3007.03149672068,2994.64115817931,2981.80616243542,2968.55945496333,2954.93012066995,2940.94406831331,2926.6245922491,2911.99289108845,2897.06841078317,2881.86922055488,2866.41228784376,2785.80482679552,2700.98035299313,2613.66359850692,2525.49755185063,2437.95225369281,2352.21711825157,2269.15060312569,2189.29687683713,2112.94296052059,2040.18742416287,1971.00226913351,1905.28037523601,1842.86928454882,1783.59374721456,1727.26990281598,1673.71450785567,1622.74975260112,1574.2064832077,1527.92536476658,1483.75774150101,1441.56534523347,1401.2200558997,1362.60338054252,1325.60589799611,1290.12638921992,1256.07146473043,1223.35491556041
25,1261.24933004618,1331.71243667958,1861.21857738914,2391.95097970465,2773.81601002843,3002.84340725264,3030.30488855002,3052.38631359621,3069.62069409818,3082.57329635457,3091.79805977109,3097.80797176858,3101.05983681928,3101.94929307543,3100.81303627539,3097.93453919403,3093.55093149552,3087.86006064825,3081.02695896465,3073.18948908934,3064.46312688278,3054.94494251002,3044.7169112627,3033.84847797393,3022.39897947984,3010.41923053554,2997.95308345858,2985.03872097654,2971.7095578989,2957.99510769905,2943.92166513995,2929.51292495521,2914.79040595054,2899.77389697138,2884.48178765985,2868.93135382368,2787.85778903271,2702.59331812482,2614.88840904579,2526.40071400765,2438.60302717417,2352.67840223809,2269.47412897659,2189.52241638202,2113.09971499817,2040.29622428538,1971.07773189049,1905.33267299557,1842.90547581077,1783.61873088488,1727.28708305456,1673.72625581241,1622.75772413761,1574.21183213047,1527.92890119408,1483.76002931631,1441.5667774522,1401.22090669524,1362.60383991713,1325.60609602785,1290.12641704485,1256.07144676506,1223.35477900777
26,1264.03382296462,1334.48550091971,1861.23309215544,2392.13156879586,2774.72231500012,3005.09192853032,3032.82237185828,3055.14853809706,3072.59723821333,3085.7309670425,3095.1036873792,3101.23027584837,3104.57043418209,3105.52306304306,3104.42808583398,3101.57195809665,3097.194453396,3091.49570755889,3084.64270628664,3076.77496804137,3068.00936917658,3058.44416598024,3048.16234333558,3037.23420721256,3025.71984109068,3013.67070727472,3001.13122817087,2988.14009638499,2974.73118563878,2960.93441822811,2946.7765067521,2932.28147796902,2917.47120255817,2902.36579505632,2886.98395744054,2871.3432665482,2789.82034397591,2704.13273458702,2616.05556705157,2527.26022945605,2439.22174068975,2353.11664960206,2269.78137161857,2189.73656133977,2113.24854056057,2040.39952217136,1971.14938069831,1905.38232833066,1842.93983722911,1783.64244861231,1727.30338898819,1673.73740154323,1622.76528244271,1574.21689910736,1527.93224653182,1483.76218887058,1441.56812517059,1401.22170292367,1362.60426533192,1325.60627438722,1290.12643511247,1256.07136287054,1223.35463435389
27,1266.7248458421,1337.1684898064,1861.24734204462,2392.30234347948,2775.58286239022,3007.2399283172,3035.23032401977,3057.79361279105,3075.45041050706,3088.76033553035,3098.27721781094,3104.51765776272,3107.94410192088,3108.95858244813,3107.90414155721,3105.07012850415,3100.69888827453,3094.99278601944,3088.12071256755,3080.22380253443,3071.42029996687,3061.80961996816,3051.47573410107,3040.48979013153,3028.91257197015,3016.79626428685,3004.18575815821,2991.12025914635,2977.63411080309,2963.7576610046,2949.5179709489,2934.93944802523,2920.04426512199,2904.85287129588,2889.38427368901,2873.6563429839,2791.69962406604,2705.60450901167,2617.16978993936,2528.07973017305,2439.81108499618,2353.53382248348,2270.07372669555,2189.94029167106,2113.39012000932,2040.4977916341,1971.21754373397,1905.42956837158,1842.97252592004,1783.66500900219,1727.31889558187,1673.74799673665,1622.7724630252,1574.22170841501,1527.93541728614,1483.76423129161,1441.56939535457,1401.22244881165,1362.6046590079,1325.60643374931,1290.12644282078,1256.07127453056,1223.35448926817
28,1269.32878572543,1339.76744549661,1861.2613870546,2392.46416909317,2776.40140458827,3009.29519126856,3037.53711128833,3060.33038075647,3078.18943397542,3091.67092005194,3101.32839274876,3107.68002256582,3111.19085832788,3112.2659408625,3111.25132898072,3108.43918198075,3104.07434815329,3098.36136649335,3091.47098760294,3083.54592497843,3074.70575953793,3065.05103953798,3054.66670168641,3043.624717364,3031.98658411199,3019.80509359257,3007.12571146854,2993.98812235139,2980.42710982797,2966.4734080795,2952.1544598426,2937.49500330746,2922.51757112848,2907.24290785457,2891.69033596786,2875.87797933086,2793.50196418283,2707.01388384279,2618.23525129847,2528.86243057211,2440.37344863453,2353.931635501,2270.35242429421,2190.1344707348,2113.52505479014,2040.59145001926,1971.28251008268,1905.4745932177,1843.00368033393,1783.68650778537,1727.33366894601,1673.75808692934,1622.77929715541,1574.22628141357,1527.93842795219,1483.76616631107,1441.57059442755,1401.22314847622,1362.60502343838,1325.60657543307,1290.12644061538,1256.07118148837,1223.35434288146
29,1271.85138431703,1342.28779132303,1861.27522117552,2392.61780748273,2777.18133261186,3011.26465489399,3039.75019699647,3062.76673711399,3080.82254816963,3094.47122805907,3104.26592258019,3110.72622918433,3114.31966546823,3115.45414143606,3114.47870847813,3111.68818496575,3107.32988239269,3101.61046133796,3094.70248945771,3086.75022402328,3077.87455379431,3068.17713600946,3057.74385223543,3046.647464507,3034.9502008347,3022.70542776703,3009.9592071838,2996.75164478259,2983.11795927784,2969.08928899808,2954.69344063808,2939.95549243705,2924.89829783185,2909.54290642652,2893.90891566462,2878.01478135622,2795.23301567369,2708.36552728738,2619.25567030376,2529.6111733606,2440.91095459907,2354.31165361323,2270.61855365842,2190.31986274154,2113.65387718676,2040.6808666713,1971.34453559672,1905.51757998518,1843.03342302848,1783.70702971117,1727.34776760993,1673.76771245639,1622.78581254473,1574.2306370502,1527.94129141348,1483.76800261616,1441.5717281774,1401.22380570429,1362.60536102894,1325.60670088188,1290.12642926342,1256.07108402178,1223.3541951031
