p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
49,1316.0720651474,1480.92596800671,2053.53867255644,2483.21947781813,2785.31268883884,2990.09070686743,3119.412204516,3191.92086069489,3201.18464617769,3209.01880149409,3215.54784901899,3220.88935161563,3225.15301575589,3228.44066138571,3230.84613586347,3232.4554108724,3233.34694775223,3233.5920404328,3233.25528685511,3232.39508323064,3231.06412970494,3229.30992981472,3227.17527135187,3224.69868589501,3221.91485167394,3218.85501063568,3215.54731732104,3212.01711922111,3191.75673620359,3168.57660212824,3143.81603617774,3118.318152833,3092.62547148487,3067.09255350532,3041.95266084472,3017.35873060469,2993.40917381413,2970.16476178981,2947.65964803647,2925.90938905405,2904.91616237139,2884.67267666131,2865.16496618483,2846.37448742227,2828.2794208183,2810.85611397453,2794.07969193706,2777.92473349615,2762.36574096204,2747.37749795791,2732.93509068562,2719.01448752936,2705.5923546653,2692.64621507859,2680.15449461183
50,1317.70712363713,1481.8851204051,2053.55306629787,2483.33779415707,2785.70393875357,2990.88958924397,3120.65984958236,3193.54714705463,3202.87105406391,3210.75954310224,3217.33715812127,3222.72158988065,3227.02275356912,3230.34273830736,3232.77570100492,3234.40794514776,3235.31827425336,3235.57832269013,3235.25301983371,3234.40107885021,3233.07549888897,3231.32406258052,3229.18981607678,3226.71152323698,3223.92408897214,3220.85895582532,3217.54444724799,3214.00607882238,3193.68923035324,3170.43581793888,3145.59364816902,3120.01099201243,3094.23352960731,3068.61776041205,3043.39811316688,3018.72819609957,2994.70676520877,2971.39472147318,2948.8262042979,2927.01666358695,2905.96811096614,2885.67305393545,2866.11730687358,2847.28209902875,2829.1453845664,2811.68329031404,2794.87073609247,2778.68208922893,2763.09165702075,2748.07407120727,2733.60424451743,2719.65799571975,2706.21185293389,2693.24321227839,2680.73038319538
51,1319.31325307932,1482.83934761879,2053.56712874215,2483.45273422441,2786.08461243265,2991.66825927612,3121.8780938535,3195.1375919315,3204.52072086631,3212.4627618628,3219.08827183163,3224.51506024865,3228.85324183338,3232.20516602388,3234.66529082366,3236.32024409325,3237.24916434122,3237.52402016663,3237.21006677186,3236.36632928325,3235.04610141469,3233.29744094704,3231.16364888783,3228.68372360243,3225.89278467833,3222.82246389753,3219.50128045495,3215.95489484954,3195.58255487665,3172.25707438168,3147.33464324999,3121.66862247403,3095.80780924093,3070.11061182071,3044.81260595492,3020.0680576337,2995.97605888792,2972.59763490397,2949.96690787146,2928.09921973891,2906.9964161785,2886.65080441808,2867.04798053563,2848.16894860291,2829.99144173557,2812.49136339819,2795.64342078375,2779.42179503263,2763.8006030619,2748.75430437757,2734.25765139824,2720.28631564358,2706.81668943067,2693.82604413933,2681.29257480982
52,1320.89150970163,1483.78853604892,2053.58087749231,2483.56445689938,2786.45518799646,2992.42759116038,3123.06814655427,3196.69363269235,3206.13511294904,3214.12994902215,3220.8027025546,3226.27129293536,3230.64602558583,3234.02950166003,3236.51647230575,3238.19388225369,3239.14119828624,3239.43071716416,3239.12801448895,3238.29242251266,3236.9775252161,3235.23165171264,3233.09835447259,3230.61686334924,3227.82250991759,3224.74711930522,3221.4193686313,3217.86512423097,3197.43823699834,3174.04185557029,3149.04045797192,3123.29243089635,3097.34964629888,3071.57239289829,3046.19737425794,3021.37950123372,2997.21819339391,2973.77459481077,2951.08280747762,2929.15806410684,2908.00204440117,2887.60685621853,2867.95788010898,2849.03589483565,2830.81841002517,2813.28111854029,2796.39851902749,2780.14459773009,2764.49328896232,2749.41888248854,2734.89597283636,2720.90008656788,2707.40748237798,2694.39530896521,2681.8416489051
53,1322.44287932597,1484.73258754141,2053.59432898674,2483.67311074894,2786.81611349094,2993.16840587413,3124.23117266955,3198.21662333519,3207.7156118486,3215.76250975405,3222.48187556946,3227.99173015206,3232.40256110637,3235.81721308498,3238.33072257458,3240.03034401368,3240.99586593263,3241.29990737808,3241.0083590946,3240.18085577715,3238.87126751031,3237.12819104136,3234.99542701662,3232.51243385336,3229.71475250921,3226.63439913235,3223.30022456142,3219.73825296206,3199.25771662654,3175.79156063193,3150.71244646001,3124.88372419801,3098.86029961691,3073.00431443338,3047.55358148474,3022.66364401926,2998.43424094557,2974.9266301,2952.17489042696,2930.19414419568,2908.98589484842,2888.54207212143,2868.84783027863,2849.88372904847,2831.62705766617,2814.05329522462,2797.136735648,2780.85117406888,2765.17036468813,2750.0684495245,2735.51983065363,2721.4999093537,2707.98481280775,2694.95156902335,2682.3781499782
54,1323.96833128635,1485.6714176528,2053.6074985965,2483.77883487518,2787.16781015913,2993.89147532817,3125.36824297542,3199.70784077524,3209.26352065893,3217.36176962921,3224.12713557149,3229.67773269687,3234.12422261446,3237.56968550238,3240.10943567593,3241.83103034083,3242.81457345824,3243.13300066832,3242.85251276552,3242.03304234912,3240.72874157212,3238.98847123053,3236.85627696056,3234.37184290928,3231.5709168918,3228.48570382363,3225.14522624747,3221.57566435367,3201.04235287716,3177.50751006077,3152.35188657737,3126.44373552418,3100.34095680337,3074.40751853734,3048.88232488044,3023.92153940962,2999.62521245867,2976.05471069635,2953.24408728605,2931.20834855448,2909.94885107884,2889.45730242042,2869.71865262719,2850.71324182779,2832.41814267115,2814.80862382317,2797.85877895867,2781.54221202348,2765.83249952468,2750.7035989229,2736.12979593342,2722.0863337862,2708.54921019762,2695.49533440971,2682.90256961045
55,1325.46874814416,1486.60495478494,2053.62040071268,2483.88175967837,2787.51067104128,2994.59752612622,3126.48037582573,3201.16849055116,3210.78006982841,3218.92898049009,3225.73975260898,3231.33058596287,3235.81230827218,3239.28822755177,3241.85391519745,3243.59726491022,3244.5986495148,3244.93132920985,3244.66180990137,3243.85031769159,3242.55128288816,3240.81382685853,3238.6822371385,3236.19642085596,3233.39233023467,3230.30235677169,3226.95569275949,3223.37867266176,3202.79342452384,3179.19095149643,3153.95998554343,3127.97362969341,3101.79273950143,3075.78308371999,3050.18460508685,3025.15418184907,3000.79206210228,2977.15975193443,2954.29127444324,2932.20153107011,2910.89170165663,2890.35330175109,2870.5710695851,2851.52512825664,2833.19233486404,2815.54774943744,2798.5652667702,2782.2183032713,2766.48026010363,2751.32493203059,2736.72645369747,2722.65992983343,2709.10123066745,2696.02714854355,2683.41543960978
56,1326.94497825867,1487.5331389288,2053.63304882561,2483.98200754665,2787.8450686704,2995.28724297472,3127.56853253733,3202.59971201437,3212.26642243245,3220.46532579319,3227.32092749025,3232.95150538002,3237.46804568784,3240.97407683568,3243.56543354198,3245.33029967754,3246.34935081546,3246.69615308962,3246.43751272669,3245.6339450612,3244.34015475744,3242.6055203796,3240.47456836415,3237.98742615206,3235.18024799915,3232.08560986312,3228.7328718897,3225.14852111647,3204.512158841,3180.84306497868,3155.53788503588,3129.47450813981,3103.21670816852,3077.13202950612,3051.46147161693,3026.36251110337,3001.9356908422,2978.24261794174,2955.31728550394,2933.17447804777,2911.81521184882,2891.23080631077,2871.40578891827,2852.32006725677,2833.95028552525,2816.27129736929,2799.2568010157,2782.88002765863,2767.11420540207,2751.93289687777,2737.31030274051,2723.2211763062,2709.64133388132,2696.54745271879,2683.91718362244
57,1328.39782677869,1488.45592064611,2053.6454555956,2484.07969347953,2788.1713524693,2995.96127178109,3128.63362151884,3204.00258305654,3213.7236789774,3221.971925479,3228.87179670419,3234.54164138797,3239.09259692299,3242.62840495698,3245.24515672488,3247.03131995892,3248.06786722796,3248.4286654085,3248.18081639769,3247.38512061605,3246.09655339682,3244.36474722434,3242.23446452363,3239.74605045839,3236.93585900897,3233.83664853448,3230.47794519255,3226.88637413094,3206.19969865794,3182.46496202832,3157.08666584049,3130.94741341707,3104.61386643141,3078.45532064133,3052.7138158902,3027.54741617332,3003.05695292547,2979.30412795349,2956.32290158799,2934.12794359338,2912.72010463677,2892.09050925822,2872.22347564863,2853.09869770107,2834.69260877053,2816.97985831577,2799.93395025339,2783.52793282236,2767.73486329212,2752.52814576488,2737.88183462896,2723.77054810581,2710.16997899019,2697.05669119697,2684.40823182817
58,1329.82805855609,1489.37326013069,2053.65763291771,2484.17492565299,2788.489851946,2996.62022182848,3129.67650203497,3205.37812239613,3215.15288178498,3223.44984041548,3230.39343691571,3236.10208397234,3240.68706306382,3244.2523221183,3246.89420229467,3248.70144906957,3249.75532642551,3250.12999694027,3249.89285366534,3249.10497807983,3247.82161260349,3246.09264045734,3243.96305722597,3241.4734232793,3238.66029008049,3235.55659638959,3232.19203258738,3228.59337292252,3207.85713421365,3184.05771455092,3158.60734503071,3132.39333330971,3105.9851650612,3079.75387093042,3053.94251527782,3028.7097387459,3004.15665457302,2980.34505515763,2957.30886540998,2935.06263957899,2913.60706286916,2892.9330658525,2873.02475885078,2853.86162384579,2835.41988537237,2817.67399083489,2800.59725204433,2784.16253648743,2768.3427327602,2753.11108853295,2738.44151393386,2724.30849401069,2710.68759984952,2697.55528372696,2684.88899063612
59,1331.23640081651,1490.28512634719,2053.66959198031,2484.26780592422,2788.80087796532,2997.2646709837,3130.69798764386,3206.72730203553,3216.5550190001,3224.90007646125,3231.88686907515,3237.63386681284,3242.25248840131,3245.84688132779,3248.5136302871,3250.34175256568,3251.41279813994,3251.80122039235,3251.57469914051,3250.79459300798,3249.51640801907,3247.79027503731,3245.66142005689,3243.170616208,3240.3546102577,3237.24651942267,3233.87619656839,3230.27056348677,3209.48549977639,3185.62231904744,3160.10091026747,3133.81319683075,3107.33150560737,3081.02854674624,3055.14840144037,3029.85027698653,3005.23556103508,2981.36613309097,2958.27588022214,2935.97924031606,2914.47673328025,2893.75909661187,2873.81023416747,2854.60941777454,2836.13266509833,2818.35422360199,2801.24721513167,2784.78432856671,2768.9382859364,2753.68218051828,2738.98978013089,2724.83543851422,2711.19460679677,2698.0436272666,2685.35984435246
60,1332.62354561126,1491.19149624148,2053.68134331782,2484.35843033478,2789.10472409285,2997.89516400876,3131.69884934127,3208.05103742721,3217.93102596542,3226.3235881858,3233.35306218138,3239.13797108227,3243.78986425918,3247.4130822519,3250.10444709642,3251.95324212985,3253.04129805799,3253.44335430899,3253.22737320079,3252.45498669556,3251.18196103618,3249.45867171967,3247.33057247558,3244.83864681565,3242.01983469206,3238.90742988744,3235.53144606146,3231.91895103459,3211.08577740465,3187.15972919371,3161.56827391482,3135.20791116604,3108.65373598726,3082.28017022487,3056.33226363642,3030.96978763199,3006.29439805029,2982.36805743789,2959.22461288988,2936.87838513482,2915.32972896846,2894.56918970247,2874.58046611175,2855.34262158783,2836.83146885312,2819.02105747668,2801.88432143494,2785.39377309118,2769.52196995926,2754.24185290843,2739.52704934497,2725.35178351477,2711.69138828913,2698.52209756986,2685.82115672036
61,1333.9901520714,1492.09235401732,2053.69289685932,2484.44688947732,2789.40166782236,2998.51221745265,3132.67981844071,3209.35020024921,3219.28179823742,3227.72128228131,3234.79293673316,3240.61532893084,3245.30013250571,3248.95187474829,3251.66760902706,3253.53687913597,3254.64179139534,3255.0573666521,3254.85184557493,3254.08712976262,3252.8192423824,3251.09880063708,3248.97148338983,3246.47848221952,3243.65692820209,3240.54028984663,3237.15873996249,3233.5394909253,3212.65890039876,3188.67085123403,3163.01031231979,3136.57831021111,3109.95268705473,3083.50952228762,3057.49485120604,3032.0689894126,3007.33385462111,2983.35148857183,2960.15569633951,2937.76068074257,2916.16663166789,2895.36390312703,2875.33599017699,2856.06174945998,2837.51679064181,2819.67496739873,2802.50902788224,2785.99130997946,2770.09420868734,2754.79051439921,2740.0537159549,2725.85790986977,2712.17831248859,2698.9910507295,2686.27327242166
62,1335.33684848326,1492.9876904737,2053.7042619722,2484.53326892499,2789.69197169725,2999.11632091984,3133.64158921545,3210.62561893569,3220.60817940999,3229.09401826174,3236.20736789895,3242.06682668669,3246.78418877954,3250.46416211233,3253.20402555492,3255.09357792425,3256.21519618106,3256.64417809057,3256.44903863588,3255.6919454483,3254.42917541311,3252.71158458933,3250.58507444097,3248.09104236145,3245.26680854394,3242.14601443364,3238.75899038888,3235.13309190639,3214.20575647223,3190.15654706922,3164.42785885539,3137.92519741236,3111.2291238858,3084.71734521544,3058.63687645485,3033.14856536237,3008.35458543565,2984.31705388776,2961.06973180476,2938.62670338736,2916.98799383269,2896.14376673365,2876.07731477354,2856.76728950074,2838.1890993719,2820.31640412735,2803.12176809056,2786.57735666246,2770.65540427105,2755.32855274027,2740.5701540917,2726.35417884664,2712.65572827751,2699.45082413764,2686.71651798511
63,1336.66423420172,1493.87750239752,2053.71544750278,2484.61764957475,2789.97588433798,2999.70793887509,3134.58482132586,3211.8780814713,3221.91097472732,3230.44262159734,3237.59718534321,3243.49330779979,3248.24288545677,3251.95080406335,3254.71456232926,3256.6242088132,3257.76238627845,3258.20466502868,3258.01983043067,3257.2703126412,3256.01263914128,3254.29790207009,3252.17222302637,3249.67720302444,3246.85034942081,3243.72547485342,3240.33306567095,3236.70061909482,3215.72719066957,3191.61763709802,3165.82170667753,3139.24933878338,3112.48377401585,3085.9043452378,3059.75901696928,3034.2091651308,3009.35721309414,2985.26534994625,2961.96729089144,2939.47700084621,2917.79434055253,2896.9092840614,2876.80492300737,2857.45970547076,2838.84884050886,2820.94579583986,2803.72295391007,2787.15230958312,2771.20593860245,2755.85633601564,2741.07671887276,2726.84093332859,2713.12396721914,2699.90173844997,2687.151201174
64,1337.97288141685,1494.76179200755,2053.72646181265,2484.70010797158,2790.25364138381,3000.28751230103,3135.51014205253,3213.10833796431,3223.19095083875,3231.76787012045,3238.96318892442,3244.89557555358,3249.67703438446,3253.41261949551,3256.20004393747,3258.12958631504,3259.28419416794,3259.7396623929,3259.56505747338,3258.82306867359,3257.57047102842,3255.85859005497,3253.73376508352,3251.23779861187,3248.40838325552,3245.27950114737,3241.88179310812,3238.24289672362,3217.22400805473,3193.05490283526,3167.1926112652,3140.55145905082,3113.71734283503,3087.07119479229,3060.86191782491,3035.25140710933,3010.34233015799,2986.19694444676,2962.84891747734,2940.31209425487,2918.58617131456,2897.66093403774,2877.51927431648,2858.13943835949,2839.49643759817,2821.56354960267,2804.31297684459,2787.71654553433,2771.74617461389,2756.37421415061,2741.57374787889,2727.31849817062,2713.58334301629,2700.34409690048,2687.57762307407
65,1339.26333678668,1495.64056644496,2053.73733800185,2484.78071660566,2790.52546635742,3000.85546022279,3136.41814835329,3214.3171030189,3224.44883821148,3233.07050796224,3240.30613054929,3246.27439260923,3251.08740940167,3254.85038901529,3257.6612564555,3259.61052974504,3260.7814135152,3261.24996620505,3261.0855173181,3260.35101189583,3259.10346956256,3257.39444657746,3255.27049766045,3252.77362470994,3249.94170374688,3246.80888474281,3243.40596151075,3239.7607106754,3218.69697619122,3194.46908932684,3168.54128815741,3141.83224768642,3114.93048907977,3088.21853463663,3061.94619362255,3036.27585452272,3011.31050103888,2987.11237804608,2963.71512946308,2941.1324797932,2919.36396162666,2898.39917254233,2878.22080597754,2858.80689428574,2840.13228318842,2822.17004060177,2804.89219546477,2788.27040718588,2772.27645755618,2756.88251945784,2742.06156162729,2727.78718594573,2714.03415790438,2700.77819196448,2687.9960591903
66,1340.53612294858,1496.51383730669,2053.7480339621,2484.85954418503,2790.79157145995,3001.4121811127,3137.3094087613,3215.50505792537,3225.68533335843,3234.35124475129,3241.62673104248,3247.6304957923,3252.47474521375,3256.26485728507,3259.09894980349,3261.0677788033,3262.25480154286,3262.73633595869,3262.58197093903,3261.85490405608,3260.61239663319,3258.90623310233,3256.78318128946,3254.28544046256,3251.45106823831,3248.31438081354,3244.90632355085,3241.25481082135,3220.14682742661,3195.86090736709,3169.8684352207,3143.09238265076,3116.12386966624,3089.34696957185,3063.01242337608,3037.28311290965,3012.26225584469,2988.0121121109,2964.56641241285,2941.93862250036,2920.12815715983,2899.12442697845,2878.9099290217,2859.46250715415,2840.75678497958,2822.76566526214,2805.46099607013,2788.81428302293,2772.79711589032,2757.38156980621,2742.54046681484,2728.24728961784,2714.47669471646,2701.20429689957,2688.40677630901
