p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
10,1.27204529378389,1.30772466614176,1.26078795828202,1.2339164287832,1.21742251439354,1.20696184272794,1.2002412890676,1.19587290934073,1.19519666476181,1.19457284661249,1.19399681009266,1.19346437529462,1.19297178166712,1.19251565369528,1.19209295176828,1.19170094280917,1.19133716598052,1.19099940306492,1.19068565186451,1.19039410243827,1.19012311596903,1.1898712060221,1.18963702196248,1.18941933430206,1.18921702176225,1.189029059854,1.18885451079584,1.18869251804113,1.18804525618639,1.18761601177845,1.18735054317179,1.18721036335084,1.18716734145067,1.18720040297415,1.18729343363822,1.18743390501103,1.18761194213525,1.1878196727772,1.18805076447949,1.18830008464581,1.18856344854024,1.18883742826198,1.18911920589168,1.1894064590658,1.18969727076322,1.18999005712481,1.19028351093903,1.1905765529335,1.19086829434319,1.19115800725328,1.19144509478897,1.19172907519478,1.19200955813692,1.19228622396446,1.19255884628442
11,1.27094271117868,1.30761516925732,1.26078131087759,1.23387033404396,1.21730564201052,1.20676948444381,1.19998694579981,1.19557781617171,1.19489586469137,1.1942670504454,1.1936866761471,1.1931505093118,1.19265473804486,1.19219593760901,1.19177102262195,1.19137721674948,1.19101201945029,1.19067317612397,1.19035865140781,1.19006660525282,1.18979537158684,1.18954343935635,1.18930943572016,1.18909211117767,1.18889032642245,1.18870304072652,1.1885293016772,1.18836823610635,1.1877270594277,1.18730554528884,1.18704874466774,1.18691773892046,1.18688410731241,1.18692658423649,1.18702892623089,1.18717851708296,1.18736542254567,1.18758173125319,1.18782108610904,1.18807834050977,1.18834930355804,1.1886305470041,1.18891925686906,1.18921311786609,1.18951022230068,1.18980899719512,1.19010814728135,1.19040660582479,1.19070349427081,1.19099810239531,1.19128984476204,1.19157825037416,1.191862941986,1.19214362110154,1.19242005670941
12,1.26992502830058,1.30749772997188,1.26077547500667,1.23382978137286,1.21720180056719,1.20659709359172,1.19975744350495,1.19531030208497,1.19462299432005,1.19398948328433,1.19340502465187,1.19286533830573,1.19236656545748,1.19190523646143,1.1914782229941,1.19108270891589,1.19071615673782,1.19037627791214,1.19006100606563,1.18976847294463,1.18949698691105,1.18924501378953,1.18901115986349,1.18879415680486,1.18859284833662,1.18840617843681,1.18823318090814,1.18807297015338,1.1874374103417,1.18702304977658,1.18677428958926,1.1866517825295,1.18662684924987,1.18667804178389,1.18678899593999,1.18694701379458,1.18714210622281,1.18736632594551,1.18761329356283,1.18787785012965,1.18815579973332,1.18844371451157,1.1887387848393,1.18903870655725,1.1893415742923,1.18964582789956,1.18995018663797,1.19025359292884,1.19055517387241,1.19085424582812,1.19115022884952,1.1914426638176,1.19173118498887,1.19201550493266,1.19229540192912
13,1.26897945254166,1.30737289011601,1.26077028565494,1.23379372309454,1.21710865596308,1.20644124010259,1.19954863967163,1.195065846308,1.19437348623492,1.19373554049552,1.19314721762126,1.1926041965687,1.19210257540242,1.19163884311582,1.19120983137772,1.19081268694721,1.19044483776464,1.19010396343717,1.18978796844049,1.18949495796342,1.18922321626016,1.18897118732927,1.18873745773065,1.18852074133496,1.18831986581058,1.18813376066084,1.18796144663794,1.18780202637486,1.18717168599276,1.18676399118229,1.18652272489664,1.18640815398581,1.18639132542316,1.18645063730036,1.18656960810501,1.18673546343292,1.18693816307805,1.18716972661124,1.18742375432743,1.18769507635625,1.18797949369502,1.18827357785958,1.18857452462041,1.18888003325979,1.18918821455889,1.18949751665105,1.1898066671472,1.19011462306629,1.19042053257721,1.19072370499902,1.19102358076626,1.19131971118023,1.19161174324344,1.19189938960859,1.19218245621232
14,1.26809593090268,1.30724115672905,1.2607656348424,1.23376137547077,1.21702443242427,1.20629928770351,1.19935733346406,1.19484095169672,1.19414380508918,1.19350164743682,1.19290965585544,1.19236346237114,1.19185912785816,1.19139310248662,1.19096218094135,1.19056347510028,1.19019438040868,1.18985254646502,1.18953585021876,1.18924237174028,1.1889703724504,1.18871827565468,1.18848464919587,1.18826819004017,1.18806771060174,1.18788212662506,1.18771044645323,1.18755176153528,1.18692629868166,1.18652485194166,1.18629061322245,1.18618347483407,1.18617425307556,1.18624116493176,1.18636763858665,1.18654082299036,1.18675063016222,1.18698904908732,1.18724966123845,1.18752728714502,1.1878177236207,1.18811754531506,1.18842395223826,1.18873465107942,1.1890477617356,1.18936174259049,1.18967533220199,1.18998749890911,1.19029740288382,1.19060436298473,1.19090783258022,1.1912073740238,1.19150264288109,1.19179337214862,1.19207935959147
15,1.26726641324377,1.30710306834064,1.26076142660794,1.2337321317153,1.2169477465992,1.20616916886102,1.19918100232292,1.19463284813904,1.1939311502069,1.19328498431295,1.19268949281171,1.19214027088721,1.191633342691,1.19116512234368,1.19073236981302,1.1903321641615,1.18996187016992,1.18961910904853,1.18930173165486,1.18900779421057,1.18873553643001,1.18848336192427,1.18824982070803,1.18803359363468,1.18783347857077,1.18764837813775,1.18747728883381,1.18731929140904,1.18669840870719,1.18630284424354,1.1860752257596,1.1859750898209,1.1859730226075,1.18604709711541,1.1861806197772,1.18636068999086,1.18657716929246,1.18682201779576,1.18708880018683,1.1873723282444,1.18766839626423,1.18797358084024,1.1882850871477,1.18860062932531,1.18891833629181,1.18923667647394,1.18955439910919,1.18987048348985,1.19018410081078,1.19049458081664,1.1908013875813,1.19110409375903,1.19140236483862,1.19169594329957,1.19198463592569
16,1.2664843487947,1.30695912519588,1.26075759021362,1.2337055242303,1.21687749950895,1.2060492350347,1.19901762380399,1.19443931129133,1.19373327181727,1.1930832774574,1.19248443631041,1.19193231552124,1.19142290253239,1.19095257516466,1.19051806244083,1.19011641244459,1.18974496092106,1.18940130213472,1.18908326212816,1.18878887440543,1.18851635797741,1.1882640976499,1.18803062640198,1.18781460967957,1.18761483143304,1.18743018171186,1.18725964567698,1.18710229384806,1.18648573010461,1.18609572591452,1.1858743688173,1.18578085507683,1.1857855508661,1.1858663850391,1.18600656928178,1.18619313516595,1.18641590344533,1.18666680752582,1.18693939633707,1.18722847394091,1.18752983273161,1.18784005161752,1.18815634111467,1.18847642283292,1.18879843461299,1.18912085473065,1.18944244283375,1.18976218884555,1.19007927462041,1.19039304039777,1.19070296054537,1.19100861759792,1.19130968654368,1.19160591892219,1.19189713011887
17,1.26574432797734,1.30680982193761,1.26075406901257,1.23368117201241,1.2168128155144,1.205938147094,1.1988655524665,1.19425852709717,1.19354833457553,1.1928946734136,1.19229262258585,1.19173771567099,1.19122591533915,1.19075356036271,1.19031735146768,1.18991430740447,1.18954173634268,1.18919720689473,1.18887852143399,1.18858369176173,1.18831091708489,1.1880585642037,1.18782514977214,1.18760932445987,1.18740985886004,1.18722563096562,1.18705561505072,1.18689887180743,1.18628639565143,1.18590166593068,1.18568625147906,1.18559902216715,1.18561013346385,1.18569737291806,1.18584387093967,1.18603658626069,1.18626530377706,1.18652193178367,1.18680000466816,1.18709431959745,1.18740066760374,1.18771563022772,1.18803642346925,1.18836077641458,1.18868683572318,1.18901308933285,1.18933830704824,1.1896614891235,1.18998182773637,1.1902986732626,1.19061150998546,1.19091992993804,1.19122361722232,1.19152233205444,1.19181589804386
18,1.26504184450653,1.30665561491476,1.26075081924898,1.23365876942493,1.21675297282788,1.2058348103801,1.19872343226277,1.19408899708573,1.19337482198614,1.19271764034076,1.19211250442239,1.19155491884707,1.19104081411551,1.19056650608557,1.19012865927122,1.18972426698483,1.18935061113826,1.18900523585997,1.1886859208888,1.18839065723996,1.18811762512931,1.18786517407405,1.18763180504158,1.18741615449799,1.18721698019335,1.18703314851675,1.1868636232638,1.18670745566556,1.18609886062954,1.18571914985673,1.1855093913917,1.18542814402294,1.18544536676174,1.18553869583221,1.18569119021093,1.18588974549721,1.186124108691,1.18638616447166,1.18666943374674,1.18696870751946,1.18727977593514,1.18759922344134,1.18792427163844,1.18825265708134,1.18858253476595,1.18891240324348,1.18924104110455,1.18956745903108,1.18989085921236,1.19021060182904,1.19052618073253,1.19083719710386,1.19114334380601,1.19144438938204,1.19174016532186
19,1.2643730834806,1.3064969980975,1.26074780351682,1.23363806731226,1.2166973782598,1.20573831456863,1.19859013289901,1.19392946945846,1.19321146683738,1.19255089789547,1.19194279038264,1.19138262197934,1.19086629515838,1.19039009535933,1.18995066624524,1.18954496775481,1.18917025907063,1.18882406089803,1.1885041312813,1.1882084412826,1.18793515286585,1.18768259891904,1.18744926530756,1.18723377481434,1.18703487280847,1.18685141448936,1.18668235354516,1.18652673207892,1.18592183271438,1.18554691097085,1.18534255317948,1.18526701742854,1.18529006094962,1.18538921076756,1.18554741255383,1.18575152940985,1.18599126533054,1.18625848273077,1.18654668999379,1.18685067261348,1.18716622026922,1.18748992055387,1.18781900076314,1.18815120490262,1.18848469657007,1.18881798364285,1.18914985438511,1.18947932927241,1.18980562021553,1.19012809689248,1.19044626240201,1.19075972675038,1.19106819119669,1.19137143237541,1.19166928930338
