p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
35,517.486827643796,555.091466162839,507.002435351723,470.073891678393,443.491555421462,424.210669864962,410.22258990037,400.088062366036,398.419495378936,396.851339627536,395.37636654559,393.987828461439,392.679452981067,391.445421395218,390.280370173864,389.179355459581,388.137831719708,387.151625064836,386.216905948012,385.330162068884,384.488172105143,383.687980699144,382.926878124679,382.202365599815,381.512154862271,380.854136383211,380.226366031139,379.627049871984,377.00338369674,374.887698535126,373.162504357549,371.743147005491,370.566978990786,369.586578370362,368.765389857152,368.074778798619,367.492044655555,366.998986952642,366.580880403639,366.225720778704,365.923653582051,365.666541043934,365.447626999037,365.261275943544,365.102765084591,364.968123474785,364.853996333938,364.757542102595,364.676344317203,364.608343673072,364.55177789979,364.50513688936,364.467121987553,364.436613938558,364.412645836311
36,517.053949078424,554.916445485425,507.001132706878,470.065487334719,443.465750379454,424.161220414285,410.149063441509,399.995488884625,398.324010427282,396.753255701472,395.275989314647,393.885452391417,392.575358212713,391.339871338486,390.17361047648,389.071613383334,388.029316165091,387.042527021007,386.107399238873,385.22040429213,384.378305683313,383.578133981288,382.817166572155,382.092892626894,381.403013120271,380.745408650858,380.118126123981,379.519363482311,376.89921623749,374.787844267936,373.067334991966,371.652778663197,370.481370813995,369.505594684287,368.688838825765,368.002437177787,367.423674226992,366.934345220141,366.519727671502,366.16782471478,365.868792025225,365.614503818682,365.398216789797,365.214308099823,365.058067969526,364.925537932497,364.813375133496,364.718748911263,364.639253986589,364.572840570489,364.517755504,364.472497430076,364.435774746329,364.406475619892,364.383639657083
37,516.631350903512,554.741508789304,506.999860996584,470.057408921863,443.440896085952,424.113474648418,410.077899926595,399.905709460076,398.231377204169,396.658072858389,395.17855488921,393.786053896175,392.474269513219,391.237350224867,390.069897496801,388.966931296853,387.923869832295,386.936503824882,386.00096978492,385.113723305273,384.271513021014,383.471355701455,382.710516088559,381.986471524281,381.296912414105,380.639709657467,380.012901351745,379.414677455562,376.797961727719,374.690800683798,372.974866697523,371.564997923147,370.398237341263,369.426974324806,368.614542749306,367.932245959478,367.357353973303,366.871658050059,366.460438621019,366.111706236972,365.81562678098,365.564086150133,365.350353652038,365.168819255029,365.014785838972,364.884307201808,364.774052185178,364.681201170215,364.603359214978,364.538486141416,364.484837707576,364.44092040404,364.405450863775,364.377323868661,364.355585382915
38,516.218527384066,554.566739914073,506.99861776638,470.049635491974,443.416934015916,424.067332260441,410.00896574338,399.818570717449,398.141439832483,396.565633114265,395.083903525277,393.689471799115,392.376024556603,391.137694783978,389.969067335412,388.865144827737,387.82132805489,386.833390675624,385.897452793178,385.009954450187,384.167629708401,383.367481799363,382.606759663585,381.882939192892,381.193690238184,380.536877555657,379.910530583143,379.312831428286,376.699464244049,374.596416959452,372.884953828508,371.479665520678,370.317444065887,369.350588596916,368.542378323684,367.864087065018,367.292970846714,366.810817224005,366.402909706324,366.057266219737,365.764062769187,365.515196913182,365.303950378434,365.124725762013,364.972838408597,364.844354177193,364.735953400483,364.644827297306,364.568591062735,364.50521393606,364.452960406549,364.410344995262,364.376091724381,364.349102155119,364.328428462208
39,515.81501004172,554.392251899496,506.997400782671,470.042147942684,443.393810632353,424.022701221791,409.942138015974,399.733931396401,398.054054719694,396.475790906603,394.991888025932,393.595557562274,392.280473727029,391.040754581763,389.870968918834,388.766102439333,387.721539017215,386.733035626993,385.796696319321,384.908945902653,384.06650414687,383.2663609963,382.505753125706,381.7821452377,381.093196744359,380.43676310443,379.810865238187,379.213677529646,376.603580020702,374.504554054498,372.797462323754,371.396652278263,370.238868000966,369.276318615548,368.472231979807,367.797851759918,367.230420787196,366.751723158319,366.34704556828,366.004413365801,365.714012606843,365.467752400606,365.258926745296,365.081950694571,364.932151870622,364.805607997973,364.699010702552,364.609561844437,364.534886563675,364.472963331536,364.422065190532,364.380714523562,364.347642582468,364.321757557764,364.30211769407
40,515.42036406085,554.21811200783,506.996208007832,470.034928812583,443.371476848225,423.97949691062,409.877303496479,399.651661114557,397.969089303517,396.388411836468,394.902372461179,393.504173999683,392.187478828595,390.946390631982,389.775462628187,388.669664130239,387.624362452767,386.635298285879,385.6985599671,384.810557373476,383.967996252693,383.167853501927,382.407353743992,381.683950682541,380.995293461474,380.339228393802,379.713768018346,379.11707911748,376.510176218647,374.415083491781,372.712268423947,371.315839200461,370.162394529943,369.20405568731,368.40399888908,367.733439705823,367.169607764646,366.694283962728,366.292758289967,365.953063531711,365.665395737686,365.42167545987,365.215208824895,365.040423176571,364.89265823402,364.768003398892,364.663161400135,364.575344550319,364.502187750143,364.441678525019,364.39209830027,364.351977159122,364.320053430434,364.295241790529,364.276606419569
41,515.034185100499,554.044392153082,506.995037577589,470.027962103779,443.34988755805,423.937641351378,409.814357595258,399.571639283728,397.886420957954,396.30337155707,394.815231049798,393.415194152635,392.0969084849,390.854474285561,389.682419275067,388.575700306771,387.529668503298,386.540048671303,385.602913748158,384.714658969876,383.87197632059,383.071829880577,382.311432425763,381.588223501808,380.899852172828,380.244145726888,379.619111793403,379.022909670129,376.419129847219,374.327886354128,372.629257545362,371.237116160823,370.087915681007,369.133698215104,368.337582095127,367.670758109928,367.110443003933,366.638414711198,366.239966622634,365.90313897168,365.61813774505,365.376894832276,365.172728349606,365.000077770037,364.854294735236,364.731480142458,364.628347640481,364.542119812854,364.470441143826,364.411308042273,364.363010152845,364.324085104271,364.293278156242,364.269510333563,364.251851623382
42,514.656096477782,553.871157267157,506.993887786359,470.021233127439,443.329001231592,423.89706254858,409.753203529707,399.493754158961,397.80593602777,396.220554799555,394.730347176993,393.328500300746,392.008650951136,390.764886232448,389.591719021484,388.484090728167,387.43733671527,386.447166210886,385.509637079198,384.62113019395,383.778324024037,382.978170053969,382.217869409675,381.494850925823,380.806753928648,380.151396636252,379.526778622207,378.931051812073,376.330326812382,374.242852332455,372.54832342218,371.160381044036,370.015338144251,369.065152027452,368.272891744678,367.609720999932,367.052844269115,366.584036749406,366.188595332829,365.854567710128,365.572169748709,365.333344572968,365.131422154023,364.960853222098,364.81700332136,364.69598252108,364.594515929511,364.509836226474,364.439597309452,364.381804306782,364.334754925465,364.296994191231,364.267274154421,364.244522056737,364.227813569257
43,514.285736794218,553.698465840871,506.992757064893,470.014728368771,443.308779542863,423.857693914695,409.693751574503,399.417901998759,397.727528978411,396.13985451392,394.647612528016,393.243983089496,391.922592638311,390.677515621055,389.503250517368,388.394723703447,387.347255161365,386.356538855277,385.418617896961,384.5298590588,383.686927533138,382.886762421197,382.126553388173,381.403718726454,380.715888174672,380.060871016044,379.436658888473,378.841396453195,376.24366108424,374.159878923747,372.469367320467,371.085538807635,369.944568212857,368.998330179875,368.209844416222,367.550248572538,366.996735240454,366.531077096171,366.138574627324,365.807282989035,365.52742787368,365.290963540233,365.091231683807,364.922694855434,364.780730195244,364.661458919036,364.561616709798,364.478446175267,364.409610462255,364.35312326084,364.307290189516,364.270663528418,364.242001984021,364.220238888714,364.204455479536
44,513.922796793799,553.526357258718,506.991643969979,470.008435368767,443.289187075239,423.81947369437,409.635918428182,399.343986322916,397.651101644137,396.061171109114,394.566926321476,393.161540758336,391.838630995587,390.59225927893,389.416910119026,388.3074952517,387.259319627861,386.268062296005,385.329751874928,384.440741306269,383.597682733731,382.797503079711,382.03738073076,381.314723599259,380.627151980823,379.972466353721,379.348650535816,378.75384202794,376.159033951648,374.078870712364,372.392297293814,371.012501608671,369.875522094121,368.933151290913,368.148362522497,367.492266620157,366.94204496364,366.479467914326,366.089839644764,365.761222779606,365.483852780947,365.249694944426,365.052102561941,364.885549859063,364.745425413957,364.627861425831,364.529603988022,364.447905473882,364.380438121649,364.325224031323,364.280576587835,364.245055188607,364.217425067069,364.196625525177,364.18174325271
